製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:37,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,-0.0193,0.8933,-0.4049,,0
2,0.1855,0.0193,0.8933,-0.2763,,0.1855
3,0.0722,0.0064,0.8933,-0.2763,,0.0722
4,0.0124,0.0064,0.8933,-0.2763,,0.0124
5,-0.1162,0.0064,0.9061,-0.2635,,0.1162
6,-0.1467,0.0193,0.9061,-0.2635,,0.1467
7,-0.1269,0.0064,0.8933,-0.2763,,0.1269
8,-0.088,-0.0064,0.9061,-0.2635,,0.088
9,-0.0412,-0.0064,0.8933,-0.2763,,0.0412
10,0.0501,-0.0064,0.8933,-0.2892,,0.0501
11,0.1107,0.0064,0.8933,-0.2635,,0.1107
12,0.1711,0.0064,0.8804,-0.2763,,0.1711
13,0.1543,0.0064,0.8933,-0.2635,,0.1543
14,0.1319,-0.0064,0.8933,-0.2892,,0.1319
15,0.0353,-0.0064,0.8933,-0.2892,,0.0353
16,0.0501,-0.0064,0.8933,-0.2892,,0.0501
17,0.0711,0.0064,0.8933,-0.2892,,0.0711
18,0.0349,-0.0064,0.8804,-0.2635,,0.0349
19,0.0629,0.0064,0.8804,-0.2763,,0.0629
20,0.0201,-0.0064,0.8804,-0.2763,,0.0201
21,0.0258,0.0064,0.8933,-0.2763,,0.0258
22,-0.0073,-0.0064,0.8933,-0.2892,,0.0073
23,-0.0746,0.0064,0.9061,-0.2635,,0.0746
24,-0.0689,0.0064,0.9061,-0.2635,,0.0689
25,0.0843,-0.0064,0.8933,-0.302,,0.0843
