製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
104,-0.0316,0.045,0.8933,-0.4563,,0.0316
105,0.0159,0.0321,0.8676,-0.4563,,0.0159
106,0.0422,0.0193,0.8804,-0.4563,,0.0422
107,0.0412,0.045,0.8676,-0.4434,,0.0412
108,0.0493,0.0321,0.8804,-0.4434,,0.0493
109,0.0532,0.0064,0.8804,-0.4434,,0.0532
110,0.0495,0.0193,0.8676,-0.4563,,0.0495
111,0.0536,0.0193,0.8676,-0.4434,,0.0536
112,0.0614,0.0321,0.8676,-0.4434,,0.0614
113,0.0628,0.0321,0.8676,-0.4306,,0.0628
114,0.0932,0.0193,0.8676,-0.4563,,0.0932
115,0.1189,0.0321,0.8804,-0.4434,,0.1189
116,0.1334,0.0193,0.8804,-0.4563,,0.1334
117,0.1419,0.0321,0.8804,-0.4434,,0.1419
118,0.1677,0.0193,0.8804,-0.4306,,0.1677
119,0.1616,0.0321,0.8804,-0.4434,,0.1616
120,0.0855,0.0193,0.8676,-0.4306,,0.0855
121,0.0555,0.0193,0.8676,-0.4563,,0.0555
122,0.013,0.045,0.8804,-0.4434,,0.013
123,-0.003,0.0321,0.8676,-0.4177,,0.003
124,0.0339,0.0321,0.8804,-0.4177,,0.0339
125,0.045,0.0193,0.8676,-0.4306,,0.045
126,-0.0056,0.0193,0.8676,-0.4434,,0.0056
127,0.0716,0.0321,0.8676,-0.4306,,0.0716
128,0.1001,0.0321,0.8804,-0.4563,,0.1001
129,0.1296,0.0321,0.8804,-0.4306,,0.1296
130,0.097,0.0193,0.8804,-0.4563,,0.097
131,0.0376,0.0193,0.8676,-0.4434,,0.0376
132,-0.0347,0.0193,0.8676,-0.4434,,0.0347
133,-0.0409,0.0193,0.8676,-0.4306,,0.0409
134,-0.0679,0.0321,0.8676,-0.4563,,0.0679
135,-0.131,0.045,0.8676,-0.4434,,0.131
136,-0.1192,0.0193,0.8676,-0.4691,,0.1192
137,-0.1159,0.0321,0.8804,-0.4563,,0.1159
138,-0.057,0.0193,0.8676,-0.4563,,0.057
139,0.042,0.0321,0.8804,-0.4563,,0.042
140,0.0524,0.0193,0.8804,-0.4306,,0.0524
141,0.0539,0.0193,0.8804,-0.4563,,0.0539
142,0.0361,0.0321,0.8804,-0.4434,,0.0361
143,0.0196,0.0321,0.8676,-0.4306,,0.0196
144,0.1576,0.0321,0.8804,-0.4434,,0.1576
145,0.2272,0.045,0.8676,-0.4434,,0.2272
146,0.1711,0.0321,0.8804,-0.4434,,0.1711
