製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.1092,0.8676,-0.0321,,0
2,0.0755,0.0964,0.8804,-0.4177,,0.0755
3,0.0511,0.0964,0.8804,-0.4177,,0.0511
4,0.0902,0.0964,0.8804,-0.4434,,0.0902
5,0.0968,0.1092,0.8933,-0.4306,,0.0968
6,0.1067,0.0964,0.8933,-0.4434,,0.1067
7,0.1033,0.0964,0.8804,-0.4306,,0.1033
8,0.0317,0.1092,0.8804,-0.4563,,0.0317
9,0.014,0.1092,0.8933,-0.4306,,0.014
10,0.0289,0.1092,0.8676,-0.4306,,0.0289
11,-0.0015,0.1092,0.8933,-0.4434,,0.0015
12,-0.0218,0.0964,0.8933,-0.4434,,0.0218
13,0.0122,0.0964,0.8933,-0.4177,,0.0122
14,-0.0219,0.0964,0.8933,-0.4177,,0.0219
15,-0.0127,0.1092,0.9061,-0.4434,,0.0127
16,0.0035,0.0964,0.8933,-0.4306,,0.0035
17,0.0606,0.1092,0.8933,-0.4306,,0.0606
18,0.0283,0.0835,0.8933,-0.4306,,0.0283
19,-0.0131,0.1092,0.8804,-0.4306,,0.0131
20,0.0042,0.0964,0.8804,-0.4177,,0.0042
21,0.0672,0.0835,0.8933,-0.4177,,0.0672
22,0.0643,0.0835,0.8804,-0.4177,,0.0643
23,0.0311,0.0835,0.9061,-0.4177,,0.0311
24,0.071,0.0964,0.8933,-0.4049,,0.071
25,0.0404,0.0835,0.8933,-0.4177,,0.0404
26,0.0268,0.0835,0.8676,-0.4177,,0.0268
27,0.0927,0.0835,0.8804,-0.4306,,0.0927
28,0.1291,0.0707,0.8933,-0.4177,,0.1291
29,0.0975,0.0578,0.8933,-0.4177,,0.0975
30,0.114,0.0578,0.8933,-0.4049,,0.114
31,0.0858,0.0707,0.9061,-0.4306,,0.0858
32,0.0693,0.0707,0.8933,-0.4306,,0.0693
33,0.0543,0.0578,0.8804,-0.4177,,0.0543
34,0.0473,0.0707,0.8933,-0.4177,,0.0473
35,0.0103,0.0578,0.8933,-0.4177,,0.0103
36,0.0169,0.0578,0.8933,-0.4177,,0.0169
37,-0.0185,0.0578,0.8804,-0.4177,,0.0185
38,0.0031,0.045,0.8804,-0.4177,,0.0031
39,0.0122,0.0578,0.8933,-0.4177,,0.0122
40,0.0479,0.0578,0.8676,-0.4177,,0.0479
41,0.017,0.045,0.8676,-0.4177,,0.017
42,0.0613,0.045,0.8676,-0.4177,,0.0613
43,0.0647,0.045,0.8804,-0.392,,0.0647
44,0.0779,0.0578,0.8804,-0.3792,,0.0779
45,0.1123,0.045,0.8804,-0.392,,0.1123
46,0.1224,0.045,0.8676,-0.3792,,0.1224
47,0.092,0.045,0.8676,-0.4177,,0.092
48,0.0976,0.0321,0.8547,-0.4177,,0.0976
49,0.0354,0.0578,0.8547,-0.392,,0.0354
