製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:02,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.739,0.6491,-0.4948,,0
2,-0.0289,0.8033,0.6105,-0.5077,,0.0289
3,-0.0229,0.7776,0.5976,-0.5077,,0.0229
4,-0.0441,0.7904,0.5976,-0.5205,,0.0441
5,-0.0394,0.8033,0.5976,-0.5334,,0.0394
6,-0.0546,0.8161,0.6105,-0.5205,,0.0546
7,-0.0551,0.8161,0.6105,-0.5077,,0.0551
8,-0.054,0.8161,0.5848,-0.4948,,0.054
9,-0.0478,0.8033,0.5976,-0.5205,,0.0478
10,-0.0277,0.8033,0.5976,-0.5205,,0.0277
11,-0.0122,0.8033,0.5976,-0.5205,,0.0122
12,-0.0263,0.8161,0.6234,-0.5077,,0.0263
13,-0.0275,0.829,0.5976,-0.5077,,0.0275
14,-0.0579,0.8161,0.5976,-0.4948,,0.0579
15,-0.0325,0.8161,0.5976,-0.5334,,0.0325
16,-0.0492,0.8161,0.5976,-0.5077,,0.0492
17,-0.0428,0.8161,0.5848,-0.5205,,0.0428
18,-0.0463,0.7904,0.5976,-0.5205,,0.0463
19,-0.0389,0.8033,0.5976,-0.5077,,0.0389
20,-0.0426,0.8033,0.5976,-0.5205,,0.0426
21,-0.0594,0.8033,0.5848,-0.5334,,0.0594
22,-0.0617,0.8161,0.5848,-0.5077,,0.0617
23,-0.0502,0.8161,0.5976,-0.5205,,0.0502
24,-0.0468,0.8161,0.5976,-0.5077,,0.0468
25,-0.0646,0.8033,0.5848,-0.5334,,0.0646
26,-0.0378,0.8161,0.5976,-0.5205,,0.0378
27,-0.039,0.829,0.6105,-0.5334,,0.039
28,-0.042,0.8161,0.5976,-0.5077,,0.042
29,-0.0407,0.8161,0.6105,-0.5205,,0.0407
30,-0.0488,0.8161,0.5976,-0.5205,,0.0488
31,-0.0371,0.8033,0.5976,-0.5462,,0.0371
32,-0.0343,0.8161,0.5976,-0.5205,,0.0343
33,-0.0289,0.8547,0.5848,-0.4948,,0.0289
34,-0.0256,0.8161,0.5976,-0.5334,,0.0256
35,-0.0188,0.8033,0.5976,-0.5205,,0.0188
36,-0.0105,0.7904,0.5976,-0.5334,,0.0105
37,0.0158,0.8033,0.5848,-0.5077,,0.0158
38,0.0396,0.8161,0.5976,-0.5205,,0.0396
39,0.0438,0.8161,0.5848,-0.5077,,0.0438
40,-0.0045,0.8033,0.5848,-0.5205,,0.0045
41,-0.0188,0.8033,0.5848,-0.5077,,0.0188
42,-0.0217,0.8033,0.5976,-0.5205,,0.0217
43,-0.047,0.8033,0.5976,-0.5205,,0.047
44,-0.0698,0.8033,0.5976,-0.4948,,0.0698
45,-0.0504,0.8033,0.5848,-0.5077,,0.0504
46,-0.0383,0.8161,0.5976,-0.5077,,0.0383
47,-0.0478,0.8161,0.5848,-0.5077,,0.0478
48,-0.0627,0.8418,0.5848,-0.4948,,0.0627
49,-0.0622,0.7776,0.5976,-0.4948,,0.0622
50,-0.0404,0.8033,0.5976,-0.5077,,0.0404
51,-0.054,0.8033,0.5848,-0.4948,,0.054
52,-0.0732,0.8033,0.5976,-0.5077,,0.0732
53,-0.0539,0.7904,0.5848,-0.5077,,0.0539
54,-0.0124,0.8033,0.5976,-0.5334,,0.0124
55,0.0207,0.8033,0.5976,-0.5205,,0.0207
56,-0.001,0.8033,0.5976,-0.5205,,0.001
57,-0.0114,0.8033,0.5976,-0.5205,,0.0114
58,0.0006,0.8161,0.6105,-0.4948,,0.0006
59,-0.0001,0.8033,0.6105,-0.5205,,0.0001
60,-0.0387,0.7904,0.5848,-0.4948,,0.0387
61,-0.019,0.8033,0.6105,-0.482,,0.019
62,-0.0325,0.8033,0.5848,-0.5205,,0.0325
63,-0.0265,0.8547,0.5976,-0.4948,,0.0265
64,-0.0356,0.8161,0.5976,-0.5077,,0.0356
65,-0.027,0.8033,0.6105,-0.5077,,0.027
66,-0.0307,0.8033,0.6105,-0.5077,,0.0307
67,-0.0489,0.8033,0.5976,-0.4948,,0.0489
68,-0.0463,0.8033,0.5976,-0.5077,,0.0463
69,-0.0474,0.8033,0.5976,-0.4948,,0.0474
70,-0.0486,0.8161,0.5976,-0.4948,,0.0486
71,-0.0513,0.8033,0.5848,-0.4948,,0.0513
72,-0.0313,0.8033,0.5976,-0.4948,,0.0313
73,-0.0255,0.7904,0.5976,-0.4948,,0.0255
74,-0.0389,0.8033,0.6105,-0.482,,0.0389
75,-0.0445,0.8161,0.6105,-0.4948,,0.0445
76,-0.0492,0.8033,0.6105,-0.4948,,0.0492
77,-0.0511,0.8033,0.5848,-0.5205,,0.0511
78,-0.064,0.8033,0.5976,-0.5205,,0.064
79,-0.046,0.8161,0.5976,-0.5205,,0.046
80,-0.0536,0.8161,0.6105,-0.5205,,0.0536
81,-0.0461,0.8033,0.5976,-0.5077,,0.0461
