製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 11:59,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
102,-0.0345,0.5462,0.7262,-0.5334,,0.0345
103,-0.0375,0.5976,0.739,-0.5205,,0.0375
104,-0.0484,0.5719,0.739,-0.5334,,0.0484
105,-0.0398,0.5591,0.7262,-0.5334,,0.0398
106,-0.0537,0.5591,0.7262,-0.5334,,0.0537
107,-0.0453,0.5719,0.739,-0.5077,,0.0453
108,-0.0316,0.5591,0.7262,-0.5462,,0.0316
109,-0.0056,0.5462,0.7262,-0.5205,,0.0056
110,-0.0062,0.5591,0.739,-0.5205,,0.0062
111,-0.0177,0.5591,0.7262,-0.5334,,0.0177
112,-0.0351,0.5462,0.739,-0.5334,,0.0351
113,-0.0283,0.5462,0.7262,-0.5462,,0.0283
114,-0.0302,0.5591,0.739,-0.5077,,0.0302
115,-0.0379,0.5591,0.739,-0.5334,,0.0379
116,-0.0248,0.5591,0.7262,-0.5334,,0.0248
117,0.0004,0.5462,0.739,-0.5334,,0.0004
118,-0.0218,0.6105,0.739,-0.5462,,0.0218
119,-0.0409,0.5719,0.7262,-0.5462,,0.0409
120,-0.0382,0.5591,0.739,-0.5205,,0.0382
121,-0.0409,0.5719,0.7262,-0.5591,,0.0409
122,-0.0497,0.5591,0.739,-0.5205,,0.0497
123,-0.0497,0.5719,0.7262,-0.5205,,0.0497
124,-0.0589,0.5591,0.739,-0.5334,,0.0589
125,-0.0387,0.5591,0.7262,-0.5077,,0.0387
126,-0.0246,0.5591,0.739,-0.5591,,0.0246
127,-0.0226,0.5591,0.7262,-0.5462,,0.0226
128,-0.022,0.5591,0.739,-0.5591,,0.022
129,-0.0453,0.5591,0.7262,-0.5462,,0.0453
130,-0.0409,0.5591,0.7262,-0.5205,,0.0409
131,-0.0206,0.5591,0.7262,-0.5205,,0.0206
132,-0.0303,0.5462,0.7262,-0.5591,,0.0303
133,-0.0212,0.5976,0.739,-0.5334,,0.0212
134,-0.0527,0.5591,0.739,-0.5334,,0.0527
135,-0.0353,0.5591,0.739,-0.5205,,0.0353
136,-0.0362,0.5591,0.739,-0.5077,,0.0362
137,-0.0263,0.5591,0.7262,-0.5591,,0.0263
138,-0.0288,0.5591,0.7262,-0.5334,,0.0288
139,-0.0291,0.5591,0.7262,-0.5334,,0.0291
140,-0.0279,0.5591,0.7262,-0.5205,,0.0279
141,-0.0045,0.5334,0.7262,-0.5591,,0.0045
142,0.002,0.5591,0.739,-0.5591,,0.002
143,-0.0102,0.5591,0.7262,-0.5462,,0.0102
144,-0.0325,0.5591,0.7262,-0.5462,,0.0325
145,-0.0457,0.5591,0.7262,-0.5205,,0.0457
146,-0.0351,0.5462,0.7262,-0.5591,,0.0351
147,-0.0519,0.5719,0.739,-0.5205,,0.0519
148,-0.0317,0.6105,0.7262,-0.5077,,0.0317
149,-0.0312,0.5719,0.7262,-0.5462,,0.0312
150,-0.0387,0.5591,0.739,-0.5462,,0.0387
151,-0.051,0.5719,0.739,-0.5334,,0.051
152,-0.0506,0.5591,0.7262,-0.5334,,0.0506
153,-0.0571,0.5591,0.7262,-0.5334,,0.0571
154,-0.0593,0.5591,0.739,-0.5334,,0.0593
155,-0.0445,0.5591,0.739,-0.5205,,0.0445
156,-0.0314,0.5719,0.739,-0.5334,,0.0314
157,-0.0085,0.5591,0.7262,-0.5077,,0.0085
158,0.0001,0.5462,0.7262,-0.5334,,0.0001
159,-0.0313,0.5591,0.7262,-0.5205,,0.0313
160,-0.0225,0.5591,0.7262,-0.5334,,0.0225
161,-0.0442,0.5719,0.7262,-0.5462,,0.0442
162,-0.0426,0.5591,0.7262,-0.5077,,0.0426
163,-0.0453,0.5334,0.7262,-0.5462,,0.0453
164,-0.0511,0.5591,0.7262,-0.5334,,0.0511
165,-0.0393,0.5591,0.7262,-0.5077,,0.0393
166,-0.0107,0.5719,0.7262,-0.5205,,0.0107
167,-0.0237,0.5591,0.7262,-0.5334,,0.0237
168,-0.0448,0.5719,0.739,-0.5462,,0.0448
169,-0.0274,0.5719,0.739,-0.5077,,0.0274
170,-0.051,0.5591,0.7262,-0.5462,,0.051
171,-0.055,0.5591,0.7262,-0.5334,,0.055
172,-0.0818,0.5591,0.739,-0.5591,,0.0818
173,-0.0536,0.5462,0.7262,-0.5334,,0.0536
174,-0.0303,0.5591,0.7262,-0.5334,,0.0303
175,-0.0281,0.5591,0.7262,-0.5591,,0.0281
176,-0.0316,0.5591,0.739,-0.5205,,0.0316
177,-0.0311,0.5591,0.7262,-0.5334,,0.0311
178,-0.0451,0.5462,0.739,-0.5462,,0.0451
179,-0.0237,0.5591,0.739,-0.5077,,0.0237
180,-0.0331,0.5591,0.739,-0.5334,,0.0331
181,-0.0316,0.5591,0.7519,-0.5334,,0.0316
182,-0.013,0.5719,0.739,-0.5591,,0.013
183,-0.0141,0.5591,0.7262,-0.5334,,0.0141
184,-0.0009,0.5719,0.7262,-0.5719,,0.0009
185,-0.0056,0.5719,0.7262,-0.5334,,0.0056
186,-0.0151,0.5591,0.739,-0.5334,,0.0151
187,-0.0254,0.5591,0.7262,-0.5334,,0.0254
188,-0.0235,0.5848,0.7262,-0.5205,,0.0235
189,-0.0387,0.5591,0.7262,-0.5205,,0.0387
190,-0.0532,0.5591,0.7262,-0.5334,,0.0532
191,-0.0346,0.5591,0.7262,-0.5591,,0.0346
192,-0.0472,0.5591,0.7262,-0.5334,,0.0472
193,-0.0497,0.5591,0.7262,-0.5334,,0.0497
194,-0.0827,0.5591,0.739,-0.5077,,0.0827
195,-0.0571,0.5591,0.739,-0.5334,,0.0571
196,-0.0593,0.5591,0.7262,-0.5334,,0.0593
197,-0.0555,0.5462,0.739,-0.5591,,0.0555
198,-0.0379,0.5591,0.739,-0.5077,,0.0379
199,-0.04,0.5591,0.739,-0.5334,,0.04
200,-0.0289,0.5591,0.739,-0.5334,,0.0289
201,-0.0086,0.5462,0.739,-0.5334,,0.0086
202,-0.0124,0.5462,0.739,-0.5462,,0.0124
203,0.0294,0.5334,0.739,-0.5205,,0.0294
204,0.0486,0.5462,0.739,-0.5462,,0.0486
205,0.025,0.5462,0.7262,-0.5205,,0.025
206,0.0229,0.5591,0.7262,-0.5205,,0.0229
207,-0.0094,0.5591,0.739,-0.5077,,0.0094
208,-0.0308,0.5462,0.739,-0.5334,,0.0308
209,-0.0247,0.5591,0.739,-0.5205,,0.0247
210,-0.0529,0.5462,0.739,-0.5462,,0.0529
211,-0.0656,0.5462,0.739,-0.5205,,0.0656
212,-0.0664,0.5462,0.739,-0.5334,,0.0664
213,-0.0452,0.5591,0.739,-0.5205,,0.0452
214,-0.0444,0.5591,0.7262,-0.5462,,0.0444
215,-0.0309,0.5462,0.7262,-0.5462,,0.0309
216,-0.0525,0.5591,0.739,-0.5205,,0.0525
217,-0.0569,0.5462,0.739,-0.5205,,0.0569
218,-0.0426,0.5462,0.7262,-0.5334,,0.0426
219,-0.0398,0.5591,0.739,-0.5462,,0.0398
220,-0.0415,0.5462,0.7262,-0.5334,,0.0415
221,-0.0368,0.5462,0.7262,-0.5462,,0.0368
222,-0.0213,0.5462,0.7262,-0.5462,,0.0213
223,-0.0316,0.5591,0.7262,-0.5334,,0.0316
224,-0.0157,0.5462,0.739,-0.5462,,0.0157
225,-0.0252,0.5591,0.7262,-0.5591,,0.0252
226,-0.0343,0.5462,0.739,-0.5205,,0.0343
227,-0.0489,0.5462,0.739,-0.5334,,0.0489
228,-0.0387,0.5591,0.739,-0.5205,,0.0387
229,-0.0409,0.5591,0.739,-0.5334,,0.0409
230,-0.0305,0.5591,0.7262,-0.5462,,0.0305
231,-0.051,0.5591,0.739,-0.5334,,0.051
232,-0.0616,0.5591,0.739,-0.5462,,0.0616
233,-0.0387,0.5976,0.739,-0.5462,,0.0387
234,-0.0158,0.5462,0.7262,-0.5462,,0.0158
235,0.0032,0.5462,0.739,-0.5205,,0.0032
236,-0.0071,0.5334,0.739,-0.5591,,0.0071
237,-0.0163,0.5591,0.7262,-0.5334,,0.0163
238,-0.0177,0.5591,0.7262,-0.5334,,0.0177
239,-0.0358,0.5462,0.739,-0.5334,,0.0358
240,-0.0387,0.5591,0.7262,-0.5462,,0.0387
241,-0.039,0.5591,0.739,-0.5334,,0.039
242,-0.0256,0.5591,0.739,-0.5334,,0.0256
243,-0.0345,0.5591,0.7262,-0.5462,,0.0345
244,-0.0508,0.5591,0.739,-0.5462,,0.0508
245,-0.0396,0.5591,0.739,-0.5462,,0.0396
246,-0.0394,0.5591,0.7262,-0.5462,,0.0394
247,-0.0228,0.5591,0.739,-0.5462,,0.0228
248,-0.0272,0.6105,0.739,-0.5462,,0.0272
249,-0.0283,0.5591,0.7262,-0.5334,,0.0283
250,-0.0204,0.5591,0.7262,-0.5462,,0.0204
251,-0.0406,0.5719,0.7262,-0.5591,,0.0406
252,-0.043,0.5591,0.7262,-0.5334,,0.043
253,-0.0463,0.5591,0.7262,-0.5334,,0.0463
254,-0.058,0.5719,0.7262,-0.5462,,0.058
255,-0.043,0.5591,0.7262,-0.5334,,0.043
256,-0.0483,0.5591,0.7133,-0.5334,,0.0483
257,-0.0345,0.5591,0.739,-0.5334,,0.0345
258,-0.0511,0.5591,0.7262,-0.5077,,0.0511
259,-0.06,0.5719,0.739,-0.5334,,0.06
260,-0.0708,0.5591,0.7262,-0.5462,,0.0708
261,-0.0684,0.5591,0.7133,-0.5591,,0.0684
262,-0.0574,0.5719,0.7262,-0.5334,,0.0574
263,-0.0593,0.6105,0.7262,-0.5462,,0.0593
264,-0.0541,0.5591,0.7262,-0.5205,,0.0541
265,-0.0252,0.5591,0.7262,-0.5077,,0.0252
266,-0.0209,0.5462,0.7133,-0.5334,,0.0209
267,-0.0299,0.5719,0.739,-0.5077,,0.0299
268,-0.02,0.5591,0.7262,-0.5462,,0.02
269,-0.0167,0.5719,0.739,-0.5591,,0.0167
270,0.0231,0.5462,0.7262,-0.5591,,0.0231
271,-0.0114,0.5719,0.7262,-0.5205,,0.0114
272,-0.025,0.5462,0.7262,-0.5462,,0.025
273,-0.0311,0.5719,0.739,-0.5591,,0.0311
274,-0.025,0.5591,0.739,-0.5205,,0.025
275,-0.0292,0.5719,0.739,-0.5462,,0.0292
276,-0.0182,0.5591,0.7262,-0.5462,,0.0182
277,-0.0097,0.5719,0.739,-0.5205,,0.0097
278,-0.0214,0.5462,0.7262,-0.5462,,0.0214
279,-0.028,0.5719,0.7262,-0.5205,,0.028
280,-0.047,0.5719,0.739,-0.5462,,0.047
281,-0.0297,0.5591,0.7133,-0.5591,,0.0297
282,-0.0451,0.5462,0.7262,-0.5205,,0.0451
283,-0.0215,0.5719,0.7133,-0.5591,,0.0215
284,-0.0609,0.5848,0.7133,-0.5591,,0.0609
285,-0.0706,0.5848,0.7262,-0.5719,,0.0706
286,-0.044,0.5591,0.7133,-0.5334,,0.044
287,-0.0503,0.5719,0.7262,-0.5334,,0.0503
288,-0.0505,0.5591,0.739,-0.5462,,0.0505
289,-0.0596,0.5976,0.739,-0.5205,,0.0596
290,-0.0558,0.5591,0.739,-0.5334,,0.0558
291,-0.053,0.5719,0.7262,-0.5334,,0.053
292,-0.079,0.5719,0.739,-0.5591,,0.079
293,-0.0713,0.5719,0.7133,-0.5205,,0.0713
294,-0.0566,0.5591,0.7262,-0.5591,,0.0566
295,-0.0303,0.5719,0.739,-0.5077,,0.0303
296,-0.0214,0.5591,0.7262,-0.5334,,0.0214
297,0.0101,0.5591,0.7262,-0.5334,,0.0101
298,0.032,0.5591,0.739,-0.5205,,0.032
299,0.0155,0.5591,0.7262,-0.5334,,0.0155
300,-0.0273,0.5719,0.739,-0.5462,,0.0273
301,-0.0229,0.5591,0.7262,-0.5462,,0.0229
302,-0.0335,0.5591,0.7262,-0.5205,,0.0335
303,-0.0444,0.5462,0.739,-0.5334,,0.0444
304,-0.0272,0.5848,0.739,-0.5334,,0.0272
305,-0.0045,0.5719,0.739,-0.5334,,0.0045
306,-0.0258,0.5719,0.739,-0.5334,,0.0258
307,-0.0257,0.5719,0.7262,-0.5205,,0.0257
308,-0.032,0.5591,0.7262,-0.5462,,0.032
309,-0.0247,0.5719,0.739,-0.5462,,0.0247
310,-0.0218,0.5719,0.7262,-0.5591,,0.0218
311,-0.0153,0.5591,0.739,-0.5591,,0.0153
312,-0.0234,0.5462,0.7262,-0.5462,,0.0234
313,-0.0294,0.5719,0.7262,-0.5591,,0.0294
314,-0.024,0.5591,0.7262,-0.5334,,0.024
315,-0.0426,0.5591,0.739,-0.5462,,0.0426
316,-0.0409,0.5719,0.7262,-0.5462,,0.0409
317,-0.051,0.5591,0.7133,-0.5462,,0.051
318,-0.0438,0.5591,0.7262,-0.5334,,0.0438
319,-0.0571,0.5719,0.739,-0.5334,,0.0571
320,-0.0579,0.5719,0.739,-0.5334,,0.0579
321,-0.048,0.5848,0.7262,-0.5334,,0.048
322,-0.0625,0.5719,0.7262,-0.5462,,0.0625
323,-0.0712,0.5719,0.7262,-0.5334,,0.0712
324,-0.0645,0.5719,0.739,-0.5334,,0.0645
325,-0.0471,0.5848,0.739,-0.5462,,0.0471
326,-0.0005,0.5848,0.739,-0.5205,,0.0005
327,0.0145,0.5591,0.7262,-0.5462,,0.0145
328,-0.0207,0.5719,0.739,-0.5462,,0.0207
329,-0.0265,0.5719,0.739,-0.5334,,0.0265
330,-0.0332,0.5848,0.739,-0.5334,,0.0332
331,-0.0301,0.5719,0.7262,-0.5334,,0.0301
332,-0.0297,0.5719,0.739,-0.5462,,0.0297
333,-0.0609,0.5591,0.7262,-0.5205,,0.0609
334,-0.0473,0.5719,0.739,-0.5462,,0.0473
335,-0.055,0.5719,0.7519,-0.5462,,0.055
336,-0.0658,0.5719,0.739,-0.5205,,0.0658
337,-0.0475,0.5848,0.739,-0.5591,,0.0475
338,-0.0468,0.5719,0.7262,-0.5848,,0.0468
339,-0.073,0.5848,0.7133,-0.5462,,0.073
340,-0.0649,0.5591,0.7262,-0.5719,,0.0649
341,-0.0574,0.5848,0.739,-0.5462,,0.0574
342,-0.0549,0.5719,0.739,-0.5077,,0.0549
343,-0.0171,0.5591,0.739,-0.5462,,0.0171
344,0.0049,0.5719,0.739,-0.5719,,0.0049
345,0.0042,0.5591,0.7262,-0.5462,,0.0042
346,-0.0195,0.5719,0.7262,-0.5462,,0.0195
347,-0.0078,0.5719,0.739,-0.5334,,0.0078
348,-0.0196,0.5462,0.7262,-0.5462,,0.0196
349,-0.017,0.5719,0.7133,-0.5462,,0.017
350,-0.01,0.5591,0.7262,-0.5591,,0.01
351,-0.0285,0.5719,0.739,-0.5334,,0.0285
352,-0.046,0.5719,0.7262,-0.5334,,0.046
353,-0.0457,0.5591,0.7262,-0.5591,,0.0457
354,-0.0507,0.5719,0.7262,-0.5334,,0.0507
355,-0.0489,0.5719,0.7262,-0.5591,,0.0489
356,-0.0507,0.5591,0.7262,-0.5591,,0.0507
357,-0.0401,0.5591,0.7262,-0.5591,,0.0401
358,-0.0679,0.5591,0.739,-0.5591,,0.0679
359,-0.0672,0.5719,0.739,-0.5334,,0.0672
360,-0.057,0.5591,0.7262,-0.5591,,0.057
361,-0.0567,0.5719,0.7262,-0.5719,,0.0567
362,-0.0043,0.5591,0.7262,-0.5334,,0.0043
363,-0.0173,0.6234,0.7262,-0.5591,,0.0173
364,-0.0186,0.5719,0.7262,-0.5334,,0.0186
365,-0.0037,0.5719,0.7262,-0.5334,,0.0037
366,-0.0035,0.5591,0.7519,-0.5462,,0.0035
367,-0.0314,0.5591,0.7519,-0.5462,,0.0314
368,-0.0212,0.5719,0.7262,-0.5334,,0.0212
369,-0.0294,0.5719,0.739,-0.5205,,0.0294
370,-0.0277,0.5719,0.7262,-0.5205,,0.0277
371,-0.0534,0.5719,0.739,-0.5591,,0.0534
372,-0.0398,0.5591,0.7262,-0.5334,,0.0398
373,-0.04,0.5591,0.739,-0.5205,,0.04
374,-0.0116,0.5719,0.7262,-0.5591,,0.0116
375,-0.0221,0.5591,0.7262,-0.5462,,0.0221
376,-0.0338,0.5591,0.739,-0.5462,,0.0338
377,-0.0411,0.5719,0.7262,-0.5591,,0.0411
378,-0.0576,0.5719,0.7262,-0.5591,,0.0576
379,-0.0585,0.5719,0.739,-0.5719,,0.0585
380,-0.0394,0.5719,0.7262,-0.5334,,0.0394
381,-0.065,0.5591,0.7262,-0.5334,,0.065
382,-0.0622,0.5719,0.7262,-0.5205,,0.0622
383,-0.0717,0.5719,0.739,-0.5462,,0.0717
384,-0.0563,0.5719,0.7262,-0.5462,,0.0563
385,-0.0424,0.5848,0.7262,-0.5462,,0.0424
386,-0.0611,0.5719,0.7262,-0.5334,,0.0611
387,-0.0902,0.5591,0.7262,-0.5462,,0.0902
388,-0.0844,0.5591,0.7262,-0.5591,,0.0844
389,-0.0782,0.5719,0.7133,-0.5205,,0.0782
390,-0.0376,0.5591,0.7133,-0.5334,,0.0376
391,-0.0155,0.5591,0.7262,-0.5334,,0.0155
392,0.0032,0.5719,0.7133,-0.5462,,0.0032
393,0.0452,0.5591,0.7262,-0.5205,,0.0452
394,0.0535,0.5719,0.7262,-0.5334,,0.0535
395,0.0701,0.5719,0.7133,-0.5462,,0.0701
396,0.0644,0.5591,0.7262,-0.5205,,0.0644
397,0.0138,0.5591,0.7262,-0.5077,,0.0138
398,-0.0199,0.5591,0.739,-0.5205,,0.0199
399,-0.0175,0.5719,0.739,-0.5205,,0.0175
400,-0.0146,0.5719,0.7262,-0.5334,,0.0146
401,-0.0503,0.5719,0.739,-0.5591,,0.0503
402,-0.0449,0.5719,0.7519,-0.5591,,0.0449
403,-0.0514,0.5462,0.7262,-0.5334,,0.0514
404,-0.0508,0.5719,0.7133,-0.5462,,0.0508
405,-0.0699,0.5462,0.7262,-0.5462,,0.0699
406,-0.0649,0.5462,0.7262,-0.5462,,0.0649
407,-0.0457,0.5591,0.739,-0.5205,,0.0457
408,-0.0633,0.5591,0.7262,-0.5334,,0.0633
409,-0.0636,0.5719,0.7262,-0.5205,,0.0636
410,-0.0419,0.5719,0.7262,-0.5462,,0.0419
411,-0.0295,0.5719,0.7262,-0.5205,,0.0295
412,-0.0045,0.5591,0.739,-0.5334,,0.0045
413,0.0037,0.5591,0.739,-0.5205,,0.0037
414,0.01,0.5591,0.739,-0.5334,,0.01
415,0.0126,0.5591,0.739,-0.5077,,0.0126
416,-0.0065,0.5719,0.739,-0.5591,,0.0065
417,-0.0361,0.5591,0.739,-0.5334,,0.0361
418,-0.0415,0.6105,0.739,-0.5334,,0.0415
419,-0.0338,0.5719,0.7262,-0.5205,,0.0338
420,-0.0328,0.5334,0.7262,-0.5462,,0.0328
421,-0.0178,0.5462,0.739,-0.5334,,0.0178
422,-0.0435,0.5591,0.739,-0.5334,,0.0435
423,-0.0496,0.5591,0.7262,-0.5462,,0.0496
424,-0.0533,0.5591,0.7519,-0.5205,,0.0533
425,-0.0616,0.5591,0.739,-0.5205,,0.0616
426,-0.0489,0.5719,0.7519,-0.5334,,0.0489
427,-0.036,0.5591,0.7519,-0.5462,,0.036
428,-0.0241,0.5719,0.7519,-0.5334,,0.0241
429,-0.0322,0.5591,0.739,-0.5334,,0.0322
430,-0.0273,0.5591,0.739,-0.5591,,0.0273
431,-0.031,0.5591,0.739,-0.5205,,0.031
432,-0.0393,0.5591,0.739,-0.5462,,0.0393
433,-0.0298,0.5591,0.739,-0.5077,,0.0298
434,-0.0107,0.5591,0.739,-0.5462,,0.0107
435,-0.0291,0.5591,0.739,-0.5462,,0.0291
436,-0.013,0.5462,0.7262,-0.5334,,0.013
437,-0.0519,0.5462,0.739,-0.5462,,0.0519
438,-0.0435,0.5719,0.739,-0.5334,,0.0435
439,-0.059,0.5719,0.7262,-0.5462,,0.059
440,-0.033,0.5848,0.739,-0.5462,,0.033
441,-0.0563,0.5719,0.739,-0.5205,,0.0563
442,-0.0661,0.5719,0.7262,-0.5462,,0.0661
443,-0.0727,0.5591,0.7519,-0.5334,,0.0727
444,-0.0677,0.5719,0.739,-0.5205,,0.0677
445,-0.0742,0.5719,0.7262,-0.5591,,0.0742
446,-0.0386,0.5719,0.739,-0.5205,,0.0386
447,-0.0317,0.5719,0.7519,-0.5591,,0.0317
448,-0.0221,0.5591,0.739,-0.5591,,0.0221
449,-0.0131,0.5848,0.7262,-0.5462,,0.0131
450,-0.0248,0.5719,0.7262,-0.5205,,0.0248
451,-0.0124,0.5591,0.739,-0.5591,,0.0124
452,-0.0171,0.5719,0.739,-0.5334,,0.0171
453,-0.0056,0.5591,0.739,-0.5462,,0.0056
454,-0.0203,0.5719,0.7262,-0.5591,,0.0203
455,-0.0199,0.5719,0.739,-0.5462,,0.0199
456,-0.0554,0.5719,0.739,-0.5462,,0.0554
457,-0.03,0.5848,0.739,-0.5462,,0.03
458,-0.0511,0.5719,0.739,-0.5334,,0.0511
459,-0.0409,0.5719,0.739,-0.5334,,0.0409
460,-0.0545,0.5719,0.739,-0.5077,,0.0545
461,-0.0441,0.5719,0.7262,-0.5591,,0.0441
462,-0.0409,0.5719,0.739,-0.5462,,0.0409
