製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:01,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.6876,0.6876,-0.5205,,0
2,-0.0198,0.6619,0.6876,-0.4948,,0.0198
3,-0.0162,0.6619,0.6748,-0.482,,0.0162
4,-0.0003,0.6876,0.6876,-0.4948,,0.0003
5,-0.0412,0.6748,0.6748,-0.482,,0.0412
6,-0.0656,0.6748,0.6748,-0.4948,,0.0656
7,-0.0691,0.6748,0.6748,-0.4948,,0.0691
8,-0.0727,0.6876,0.6748,-0.482,,0.0727
9,-0.0748,0.6876,0.6748,-0.482,,0.0748
10,-0.0209,0.6748,0.6748,-0.482,,0.0209
11,-0.0193,0.6748,0.6876,-0.4948,,0.0193
12,-0.0375,0.6748,0.6748,-0.4948,,0.0375
13,-0.0236,0.6876,0.6876,-0.4948,,0.0236
14,-0.0159,0.6876,0.6876,-0.4948,,0.0159
15,-0.0333,0.6876,0.6748,-0.4948,,0.0333
16,-0.0141,0.6876,0.6748,-0.5077,,0.0141
17,-0.018,0.7005,0.6876,-0.4948,,0.018
18,-0.0067,0.7262,0.6748,-0.4691,,0.0067
19,0.0144,0.6876,0.6748,-0.482,,0.0144
20,0.0086,0.6619,0.6748,-0.482,,0.0086
21,-0.0207,0.6748,0.6876,-0.4948,,0.0207
22,-0.0385,0.6876,0.6748,-0.482,,0.0385
23,-0.0491,0.6876,0.6748,-0.482,,0.0491
24,-0.0338,0.6876,0.6748,-0.4691,,0.0338
25,-0.0427,0.6748,0.6748,-0.5077,,0.0427
26,-0.0274,0.6748,0.6748,-0.4691,,0.0274
27,-0.017,0.6748,0.6876,-0.482,,0.017
28,0.0059,0.6876,0.6748,-0.4691,,0.0059
29,0.0072,0.6876,0.6748,-0.482,,0.0072
