製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 11:32,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,絶対値
111,0.0628,0.0964,1.0218,0.045,0.0628
112,0.0661,0.0964,1.0089,0.0578,0.0661
113,0.0503,0.0964,1.0089,0.0578,0.0503
114,0.1057,0.0964,1.0218,0.0707,0.1057
115,0.1444,0.0835,1.0089,0.0707,0.1444
116,0.1406,0.0835,1.0218,0.045,0.1406
117,0.1255,0.0835,1.0218,0.0578,0.1255
118,0.0928,0.1478,1.0089,0.0707,0.0928
119,0.0254,0.1092,1.0089,0.0578,0.0254
120,-0.0591,0.0964,1.0089,0.0707,0.0591
121,-0.0521,0.0964,1.0089,0.0964,0.0521
122,-0.018,0.0835,1.0089,0.0707,0.018
123,0.0455,0.0707,1.0089,0.0578,0.0455
124,0.0988,0.0835,1.0089,0.0835,0.0988
125,0.1218,0.0707,1.0089,0.0578,0.1218
126,0.1101,0.0835,1.0089,0.045,0.1101
127,0.0837,0.0835,1.0089,0.0578,0.0837
128,0.0883,0.0964,1.0089,0.0707,0.0883
129,0.0848,0.0964,1.0089,0.0707,0.0848
130,0.106,0.0707,1.0218,0.0707,0.106
131,0.0927,0.0835,1.0218,0.0578,0.0927
132,0.0533,0.0835,1.0346,0.0707,0.0533
133,0.0622,0.0707,1.0089,0.0707,0.0622
134,0.0508,0.0964,1.0089,0.0707,0.0508
135,0.0191,0.0835,1.0089,0.0707,0.0191
136,0.0024,0.0835,1.0089,0.0578,0.0024
137,0.0793,0.0707,1.0218,0.0707,0.0793
138,0.0944,0.0835,1.0218,0.0707,0.0944
139,0.0412,0.0707,1.0089,0.0707,0.0412
140,0.0786,0.0835,1.0089,0.0578,0.0786
141,0.1485,0.0835,1.0218,0.0835,0.1485
142,0.1082,0.0835,1.0089,0.0707,0.1082
143,0.0235,0.0835,1.0089,0.0707,0.0235
144,0.0124,0.0835,1.0089,0.0578,0.0124
145,0.029,0.0835,1.0089,0.0835,0.029
146,0.0332,0.0707,1.0089,0.0707,0.0332
147,-0.0207,0.0835,1.0089,0.045,0.0207
148,-0.0409,0.135,1.0218,0.0707,0.0409
149,-0.029,0.0964,1.0218,0.0707,0.029
150,-0.0056,0.0835,0.9961,0.045,0.0056
151,-0.0174,0.0964,1.0218,0.0578,0.0174
152,-0.0435,0.0964,1.0089,0.045,0.0435
153,-0.0404,0.0835,1.0218,0.0578,0.0404
154,-0.0354,0.0835,1.0089,0.0707,0.0354
