製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 11:33,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,0.0707,1.0089,0.1607,0
2,0.0614,-0.045,1.0346,-0.0064,0.0614
3,0.0606,-0.0321,1.0346,0.0064,0.0606
4,0.0517,-0.0321,1.0475,-0.0064,0.0517
5,0.0604,-0.0321,1.0346,-0.0064,0.0604
6,0.0415,-0.045,1.0475,0.0064,0.0415
7,0.0105,-0.0321,1.0475,0.0193,0.0105
8,0.0445,-0.0321,1.0603,0.0193,0.0445
9,0.0705,-0.0321,1.0603,-0.0064,0.0705
10,0.0466,-0.045,1.0603,-0.0064,0.0466
11,0.0206,-0.045,1.0346,0.0064,0.0206
12,-0.0261,-0.045,1.0475,-0.0064,0.0261
13,-0.0927,-0.045,1.0475,0.0064,0.0927
14,-0.1206,-0.0578,1.0475,0.0064,0.1206
15,-0.0902,-0.045,1.0475,0.0064,0.0902
16,-0.0746,-0.045,1.0603,-0.0193,0.0746
17,-0.0472,-0.045,1.0346,0.0064,0.0472
18,0.0037,-0.0064,1.0346,-0.0064,0.0037
19,0.0287,-0.045,1.0475,-0.0064,0.0287
20,0.0239,-0.0321,1.0603,0.0064,0.0239
21,0.0247,-0.045,1.0603,-0.0321,0.0247
22,0.051,-0.045,1.0603,-0.0193,0.051
23,0.0461,-0.0578,1.0603,-0.0064,0.0461
24,0.0437,-0.045,1.0603,-0.0064,0.0437
25,0.0412,-0.045,1.0603,-0.0193,0.0412
26,0.0501,-0.0578,1.0475,-0.0064,0.0501
27,0.0513,-0.045,1.0603,-0.0064,0.0513
28,0.0173,-0.045,1.0475,-0.0064,0.0173
29,0.0136,-0.045,1.0475,0.0064,0.0136
30,0.013,-0.0578,1.0475,-0.0064,0.013
31,0.0122,-0.0578,1.0475,-0.0064,0.0122
32,0.0041,-0.045,1.0603,-0.0064,0.0041
33,0.0018,-0.0707,1.0475,0.0064,0.0018
34,0.0167,-0.045,1.0475,-0.0064,0.0167
35,0.0373,-0.045,1.0603,-0.0193,0.0373
36,0.047,-0.045,1.0475,0.0064,0.047
37,0.0618,-0.045,1.0603,0.0064,0.0618
38,0.0745,-0.045,1.0603,-0.0064,0.0745
39,0.0512,-0.045,1.0603,0.0193,0.0512
40,0.0541,-0.045,1.0603,0.0064,0.0541
41,0.07,-0.045,1.0603,-0.0193,0.07
42,0.0636,-0.045,1.0475,-0.0193,0.0636
43,0.0631,-0.0193,1.0475,0.0193,0.0631
44,0.0746,-0.045,1.0603,-0.0064,0.0746
45,0.0768,-0.0578,1.0475,-0.0193,0.0768
46,0.1003,-0.0578,1.0475,0.0193,0.1003
47,0.1199,-0.045,1.0603,-0.0064,0.1199
48,0.134,-0.0578,1.0603,0.0064,0.134
