製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 11:47 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       103,   0.0246,  -0.6362,   0.5591,  -0.1992
       104,   0.0287,  -0.6876,   0.5848,  -0.1864
       105,   0.0242,  -0.7005,   0.5719,  -0.1735
       106,   0.0093,  -0.7005,   0.5719,  -0.1864
       107,   0.0112,  -0.7005,   0.5719,  -0.1607
       108,   0.0098,  -0.7005,   0.5719,  -0.1864
       109,   0.0168,  -0.7005,   0.5719,  -0.1864
       110,   0.0115,  -0.7133,   0.5719,  -0.1735
       111,   0.0263,  -0.7005,   0.5719,  -0.1864
       112,   0.0131,  -0.6876,   0.5719,  -0.1735
       113,   0.0155,  -0.7133,   0.5719,  -0.1864
       114,   0.0302,  -0.7005,   0.5719,  -0.1735
       115,   0.0335,  -0.7005,   0.5719,  -0.1478
       116,   0.0407,  -0.7005,   0.5719,  -0.1864
       117,   0.0321,  -0.6876,   0.5719,  -0.1735
       118,   0.0412,  -0.7005,   0.5719,  -0.2121
       119,   0.0420,  -0.6748,   0.5719,  -0.1992
       120,   0.0362,  -0.7005,   0.5719,  -0.1864
       121,   0.0431,  -0.7005,   0.5591,  -0.1864
       122,   0.0316,  -0.7005,   0.5719,  -0.1864
       123,   0.0324,  -0.7005,   0.5591,  -0.1735
       124,   0.0137,  -0.7133,   0.5848,  -0.1992
       125,   0.0221,  -0.7005,   0.5591,  -0.1992
       126,   0.0141,  -0.6876,   0.5848,  -0.1864
       127,   0.0005,  -0.6876,   0.5719,  -0.1864
       128,   0.0159,  -0.6876,   0.5591,  -0.1992
       129,   0.0248,  -0.6876,   0.5719,  -0.1735
       130,   0.0259,  -0.7005,   0.5848,  -0.1735
       131,   0.0116,  -0.7133,   0.5719,  -0.1735
       132,   0.0017,  -0.7005,   0.5719,  -0.1735
       133,   0.0196,  -0.6876,   0.5848,  -0.1992
       134,   0.0019,  -0.6876,   0.5719,  -0.1992
       135,   0.0179,  -0.7005,   0.5591,  -0.1735
       136,   0.0281,  -0.7005,   0.5848,  -0.2249
       137,   0.0342,  -0.7005,   0.5719,  -0.1992
       138,   0.0445,  -0.7005,   0.5719,  -0.1864
       139,   0.0374,  -0.6876,   0.5719,  -0.1864
       140,   0.0294,  -0.7133,   0.5719,  -0.1864
       141,   0.0357,  -0.7005,   0.5719,  -0.1735
       142,   0.0505,  -0.6876,   0.5591,  -0.1864
       143,   0.0518,  -0.7005,   0.5719,  -0.1992
       144,   0.0442,  -0.6876,   0.5719,  -0.1735
       145,   0.0444,  -0.6876,   0.5591,  -0.1735
       146,   0.0409,  -0.6876,   0.5848,  -0.1992
       147,   0.0356,  -0.6876,   0.5848,  -0.1607
       148,   0.0259,  -0.6876,   0.5848,  -0.1864
       149,   0.0342,  -0.6748,   0.5591,  -0.1864
       150,   0.0167,  -0.6876,   0.5719,  -0.1735
       151,   0.0311,  -0.6748,   0.5591,  -0.1735
       152,   0.0305,  -0.6876,   0.5719,  -0.1735
       153,   0.0179,  -0.7005,   0.5719,  -0.1864
       154,   0.0445,  -0.7005,   0.5591,  -0.1864
       155,   0.0204,  -0.7005,   0.5591,  -0.1735
       156,   0.0204,  -0.6876,   0.5719,  -0.1992
       157,   0.0294,  -0.6748,   0.5719,  -0.1864
       158,   0.0196,  -0.7005,   0.5591,  -0.1864
       159,   0.0102,  -0.6876,   0.5719,  -0.1864
       160,   0.0258,  -0.6876,   0.5719,  -0.1735
       161,   0.0353,  -0.6876,   0.5719,  -0.1607
       162,   0.0346,  -0.6876,   0.5848,  -0.1735
       163,   0.0416,  -0.6876,   0.5591,  -0.1478
       164,   0.0287,  -0.6748,   0.5848,  -0.1735
       165,   0.0184,  -0.6876,   0.5719,  -0.1864
       166,   0.0302,  -0.6876,   0.5719,  -0.1864
       167,   0.0162,  -0.6876,   0.5848,  -0.1735
       168,   0.0226,  -0.6748,   0.5719,  -0.1735
       169,   0.0127,  -0.7005,   0.5848,  -0.1864
       170,   0.0131,  -0.6876,   0.5848,  -0.1735
       171,   0.0140,  -0.6876,   0.5719,  -0.1864
       172,   0.0173,  -0.6876,   0.5848,  -0.1735
       173,   0.0554,  -0.6748,   0.5719,  -0.1992
