製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:09 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.1735,   0.8418,  -0.0835
         2,   0.0242,  -0.4049,   0.7904,   0.0064
         3,   0.0451,  -0.4177,   0.7904,  -0.0064
         4,   0.0327,  -0.4177,   0.7904,   0.0193
         5,   0.0524,  -0.4306,   0.7904,  -0.0064
         6,   0.0455,  -0.4306,   0.7904,  -0.0064
         7,   0.0273,  -0.4306,   0.7904,   0.0064
         8,   0.0186,  -0.4177,   0.7904,   0.0064
         9,   0.0030,  -0.4177,   0.7904,  -0.0193
        10,   0.0229,  -0.4177,   0.7776,  -0.0193
        11,   0.0130,  -0.4306,   0.7904,  -0.0193
        12,   0.0215,  -0.4306,   0.7904,   0.0064
        13,   0.0100,  -0.4434,   0.7776,   0.0064
        14,   0.0058,  -0.4434,   0.7904,   0.0064
        15,   0.0214,  -0.4434,   0.7904,   0.0064
        16,   0.0003,  -0.4434,   0.7776,  -0.0193
        17,  -0.0020,  -0.4434,   0.7776,  -0.0064
        18,  -0.0166,  -0.3920,   0.7519,  -0.0193
        19,   0.0248,  -0.4434,   0.7647,  -0.0321
        20,   0.0133,  -0.4434,   0.7647,  -0.0064
        21,   0.0204,  -0.4434,   0.7647,  -0.0064
        22,   0.0113,  -0.4434,   0.7647,  -0.0064
        23,   0.0114,  -0.4563,   0.7647,  -0.0321
        24,   0.0086,  -0.4434,   0.7519,  -0.0193
        25,   0.0015,  -0.4434,   0.7519,  -0.0193
        26,   0.0231,  -0.4434,   0.7519,  -0.0193
        27,   0.0026,  -0.4306,   0.7647,  -0.0321
        28,   0.0174,  -0.4434,   0.7519,  -0.0321
        29,   0.0057,  -0.4434,   0.7519,  -0.0064
        30,  -0.0020,  -0.4434,   0.7519,  -0.0064
        31,   0.0204,  -0.4306,   0.7647,  -0.0193
        32,   0.0064,  -0.4434,   0.7519,  -0.0064
        33,   0.0201,  -0.4563,   0.7390,  -0.0450
        34,   0.0351,  -0.4177,   0.7519,  -0.0321
        35,   0.0343,  -0.4306,   0.7519,  -0.0193
        36,   0.0064,  -0.4434,   0.7519,  -0.0321
        37,   0.0146,  -0.4434,   0.7519,  -0.0321
        38,  -0.0024,  -0.4434,   0.7519,  -0.0321
        39,   0.0239,  -0.4306,   0.7519,  -0.0450
        40,   0.0233,  -0.4306,   0.7647,  -0.0321
        41,   0.0478,  -0.4306,   0.7519,  -0.0193
        42,   0.0206,  -0.4434,   0.7390,  -0.0064
        43,   0.0174,  -0.4306,   0.7519,  -0.0193
        44,   0.0130,  -0.4306,   0.7519,  -0.0193
        45,   0.0255,  -0.4306,   0.7647,  -0.0064
        46,   0.0193,  -0.4306,   0.7647,  -0.0193
        47,   0.0189,  -0.4306,   0.7519,  -0.0064
        48,   0.0197,  -0.3792,   0.7390,  -0.0193
        49,   0.0080,  -0.4306,   0.7519,  -0.0064
        50,   0.0107,  -0.4434,   0.7390,  -0.0064
        51,   0.0162,  -0.4434,   0.7647,  -0.0064
        52,   0.0185,  -0.4434,   0.7519,  -0.0193
        53,   0.0166,  -0.4434,   0.7519,   0.0193
        54,   0.0297,  -0.4434,   0.7519,   0.0064
        55,   0.0283,  -0.4434,   0.7647,  -0.0193
        56,   0.0368,  -0.4306,   0.7647,  -0.0064
        57,   0.0314,  -0.4306,   0.7519,  -0.0064
        58,   0.0213,  -0.4434,   0.7647,  -0.0064
        59,   0.0168,  -0.4434,   0.7647,   0.0064
        60,   0.0175,  -0.4306,   0.7776,   0.0064
        61,   0.0234,  -0.4306,   0.7776,   0.0064
        62,   0.0246,  -0.4177,   0.7776,   0.0193
        63,   0.0302,  -0.4306,   0.7647,   0.0064
        64,   0.0207,  -0.4306,   0.7776,   0.0193
        65,   0.0230,  -0.4306,   0.7776,  -0.0064
        66,   0.0445,  -0.4306,   0.7647,  -0.0064
        67,   0.0413,  -0.4434,   0.7647,   0.0193
        68,   0.0502,  -0.4306,   0.7776,  -0.0064
        69,   0.0305,  -0.4306,   0.7776,   0.0193
        70,   0.0063,  -0.4434,   0.7776,   0.0064
        71,   0.0197,  -0.4177,   0.7776,   0.0064
        72,   0.0328,  -0.4306,   0.7776,  -0.0193
        73,   0.0322,  -0.4306,   0.7647,  -0.0064
        74,   0.0250,  -0.4177,   0.7776,   0.0193
        75,   0.0153,  -0.4306,   0.7776,  -0.0064
        76,   0.0181,  -0.4306,   0.7776,   0.0064
        77,   0.0296,  -0.4306,   0.7776,   0.0064
        78,   0.0229,  -0.3792,   0.7776,  -0.0064
        79,   0.0215,  -0.4434,   0.7519,  -0.0193
        80,   0.0201,  -0.4306,   0.7776,  -0.0064
        81,   0.0311,  -0.4306,   0.7776,   0.0064
        82,   0.0155,  -0.4306,   0.7647,  -0.0064
        83,   0.0093,  -0.4306,   0.7776,   0.0064
        84,   0.0113,  -0.4306,   0.7776,  -0.0064
        85,   0.0026,  -0.4434,   0.7647,  -0.0064
        86,   0.0151,  -0.4306,   0.7647,  -0.0064
        87,   0.0170,  -0.4177,   0.7647,  -0.0321
        88,   0.0196,  -0.4306,   0.7647,  -0.0321
        89,   0.0152,  -0.4306,   0.7647,  -0.0193
        90,   0.0012,  -0.4177,   0.7776,   0.0064
        91,   0.0012,  -0.4306,   0.7647,  -0.0064
        92,  -0.0010,  -0.4306,   0.7776,  -0.0064
        93,   0.0133,  -0.4306,   0.7647,  -0.0064
        94,   0.0199,  -0.4177,   0.7647,  -0.0321
        95,   0.0324,  -0.4434,   0.7776,  -0.0064
        96,   0.0435,  -0.4177,   0.7776,  -0.0064
        97,   0.0302,  -0.4177,   0.7776,  -0.0064
        98,   0.0318,  -0.4306,   0.7776,  -0.0064
        99,   0.0258,  -0.4434,   0.7776,  -0.0064
       100,   0.0298,  -0.4306,   0.7776,   0.0064
       101,   0.0328,  -0.4306,   0.7776,  -0.0193
       102,   0.0384,  -0.4306,   0.7776,  -0.0064
       103,   0.0305,  -0.3663,   0.7776,  -0.0321
       104,   0.0391,  -0.4177,   0.7519,  -0.0193
       105,   0.0398,  -0.4306,   0.7647,  -0.0193
       106,   0.0299,  -0.4306,   0.7776,  -0.0064
       107,   0.0338,  -0.4177,   0.7904,   0.0064
       108,   0.0111,  -0.4306,   0.7904,  -0.0064
       109,   0.0083,  -0.4306,   0.7904,  -0.0193
       110,  -0.0015,  -0.4306,   0.7776,  -0.0193
       111,   0.0122,  -0.4306,   0.7776,  -0.0064
       112,   0.0162,  -0.4306,   0.7647,  -0.0064
       113,   0.0116,  -0.4306,   0.7904,  -0.0064
