製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:37 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.3792,   0.7390,   0.2249
         2,   0.0302,  -0.4306,   0.7519,   0.1478
         3,   0.0236,  -0.4306,   0.7519,   0.1350
         4,   0.0446,  -0.4434,   0.7390,   0.1092
         5,   0.0242,  -0.4306,   0.7519,   0.1221
         6,   0.0218,  -0.4177,   0.7519,   0.1221
         7,  -0.0059,  -0.4177,   0.7519,   0.1092
         8,  -0.0034,  -0.4306,   0.7519,   0.1092
         9,  -0.0045,  -0.4177,   0.7647,   0.1350
        10,   0.0030,  -0.4306,   0.7519,   0.1221
        11,  -0.0012,  -0.4177,   0.7519,   0.1478
        12,   0.0445,  -0.4177,   0.7519,   0.1350
        13,   0.0529,  -0.4177,   0.7519,   0.1092
        14,   0.0562,  -0.4306,   0.7390,   0.1350
        15,   0.0330,  -0.4177,   0.7390,   0.1221
        16,   0.0495,  -0.4177,   0.7519,   0.1478
        17,   0.0416,  -0.4306,   0.7647,   0.1607
        18,   0.0423,  -0.4306,   0.7262,   0.1478
        19,   0.0091,  -0.4306,   0.7262,   0.1350
        20,   0.0456,  -0.4306,   0.7390,   0.1221
        21,   0.0430,  -0.4306,   0.7390,   0.1092
        22,   0.0257,  -0.4177,   0.7390,   0.1092
        23,   0.0272,  -0.4177,   0.7390,   0.1221
        24,   0.0186,  -0.4306,   0.7390,   0.1350
        25,   0.0134,  -0.4177,   0.7390,   0.1350
        26,   0.0241,  -0.4177,   0.7390,   0.1350
        27,  -0.0001,  -0.4177,   0.7519,   0.1350
        28,   0.0276,  -0.4177,   0.7519,   0.1221
        29,   0.0398,  -0.4177,   0.7390,   0.1221
        30,   0.0506,  -0.4049,   0.7390,   0.1350
        31,   0.0522,  -0.4177,   0.7390,   0.1092
        32,   0.0514,  -0.4306,   0.7390,   0.1221
        33,   0.0464,  -0.3534,   0.7519,   0.1350
        34,   0.0451,  -0.4177,   0.7262,   0.1092
        35,  -0.0166,  -0.4306,   0.7390,   0.1092
        36,  -0.0064,  -0.4049,   0.7390,   0.1350
        37,   0.0140,  -0.4177,   0.7390,   0.1221
        38,   0.0001,  -0.4177,   0.7390,   0.1350
        39,  -0.0220,  -0.4049,   0.7390,   0.1221
        40,   0.0296,  -0.4177,   0.7390,   0.1221
        41,   0.0278,  -0.4049,   0.7519,   0.1350
        42,   0.0252,  -0.4177,   0.7390,   0.1350
        43,   0.0402,  -0.4049,   0.7390,   0.1350
        44,   0.0374,  -0.4049,   0.7519,   0.1221
        45,   0.0431,  -0.4049,   0.7390,   0.1221
        46,   0.0440,  -0.4049,   0.7390,   0.1350
        47,   0.0582,  -0.4177,   0.7390,   0.1221
        48,   0.0316,  -0.4177,   0.7390,   0.1350
        49,   0.0175,  -0.4177,   0.7262,   0.1350
        50,   0.0427,  -0.4177,   0.7390,   0.1350
        51,   0.0126,  -0.4049,   0.7262,   0.1350
        52,   0.0393,  -0.4049,   0.7262,   0.1221
        53,   0.0285,  -0.4049,   0.7390,   0.1350
        54,   0.0157,  -0.4177,   0.7262,   0.1350
        55,   0.0269,  -0.4177,   0.7262,   0.1221
        56,   0.0152,  -0.4177,   0.7519,   0.1350
        57,   0.0101,  -0.4306,   0.7390,   0.1092
        58,   0.0350,  -0.4177,   0.7519,   0.1478
        59,   0.0240,  -0.4049,   0.7390,   0.1221
        60,   0.0118,  -0.4177,   0.7519,   0.1478
        61,   0.0519,  -0.4177,   0.7390,   0.1221
        62,   0.0236,  -0.4177,   0.7390,   0.1221
        63,   0.0306,  -0.3406,   0.7390,   0.1350
        64,   0.0342,  -0.4177,   0.7262,   0.1350
        65,   0.0180,  -0.4306,   0.7390,   0.1221
        66,   0.0426,  -0.4306,   0.7390,   0.1221
        67,   0.0087,  -0.4049,   0.7390,   0.1221
        68,   0.0263,  -0.4177,   0.7262,   0.1092
        69,   0.0190,  -0.4177,   0.7262,   0.1350
        70,   0.0400,  -0.4177,   0.7390,   0.1221
        71,   0.0078,  -0.4306,   0.7519,   0.1478
        72,   0.0190,  -0.4177,   0.7390,   0.1478
        73,   0.0456,  -0.4177,   0.7519,   0.1607
        74,   0.0352,  -0.4306,   0.7390,   0.1607
        75,   0.0577,  -0.4306,   0.7390,   0.1478
        76,   0.0253,  -0.4177,   0.7390,   0.1478
        77,   0.0292,  -0.4177,   0.7390,   0.1735
        78,   0.0438,  -0.4049,   0.7262,   0.1350
        79,   0.0475,  -0.4049,   0.7390,   0.1350
        80,   0.0010,  -0.4306,   0.7390,   0.1735
        81,   0.0149,  -0.4177,   0.7390,   0.1607
        82,   0.0195,  -0.4177,   0.7262,   0.1350
        83,   0.0281,  -0.4177,   0.7262,   0.1607
        84,   0.0343,  -0.4049,   0.7390,   0.1350
        85,   0.0286,  -0.4049,   0.7133,   0.1607
        86,   0.0628,  -0.4177,   0.7390,   0.1478
        87,   0.0292,  -0.4177,   0.7262,   0.1350
        88,   0.0349,  -0.4049,   0.7390,   0.1478
        89,   0.0393,  -0.4049,   0.7390,   0.1478
        90,   0.0457,  -0.4049,   0.7390,   0.1735
        91,   0.0163,  -0.4049,   0.7262,   0.1735
        92,   0.0434,  -0.4049,   0.7262,   0.1478
        93,   0.0177,  -0.4177,   0.7133,   0.1607
        94,   0.0049,  -0.3920,   0.7262,   0.1350
        95,   0.0136,  -0.4049,   0.7262,   0.1478
        96,   0.0018,  -0.4049,   0.7262,   0.1607
        97,   0.0200,  -0.4049,   0.7262,   0.1607
        98,   0.0316,  -0.3920,   0.7262,   0.1607
        99,   0.0438,  -0.3920,   0.7262,   0.1607
       100,   0.0437,  -0.3920,   0.7133,   0.1607
       101,   0.0488,  -0.3920,   0.7133,   0.1735
       102,   0.0387,  -0.3920,   0.7133,   0.1607
       103,   0.0193,  -0.3920,   0.7262,   0.1864
       104,   0.0347,  -0.3792,   0.7390,   0.1607
       105,   0.0456,  -0.3663,   0.7262,   0.1221
       106,   0.0382,  -0.3920,   0.7262,   0.1478
       107,   0.0404,  -0.3920,   0.7133,   0.1607
       108,   0.0320,  -0.3920,   0.7262,   0.1607
       109,   0.0283,  -0.3792,   0.7262,   0.1607
       110,   0.0467,  -0.3792,   0.7262,   0.1350
       111,   0.0324,  -0.3920,   0.7262,   0.1735
       112,   0.0273,  -0.3920,   0.7262,   0.1735
       113,   0.0415,  -0.3792,   0.7262,   0.1735
       114,   0.0136,  -0.3792,   0.7262,   0.1735
       115,   0.0185,  -0.3792,   0.7262,   0.1607
       116,   0.0376,  -0.3792,   0.7133,   0.1735
       117,  -0.0010,  -0.3792,   0.7133,   0.1735
       118,   0.0204,  -0.3792,   0.7262,   0.1735
       119,   0.0484,  -0.3792,   0.7262,   0.1735
       120,   0.0276,  -0.3792,   0.7390,   0.1864
       121,   0.0328,  -0.3792,   0.7390,   0.1607
       122,   0.0490,  -0.3920,   0.7262,   0.1864
       123,   0.0356,  -0.3792,   0.7133,   0.1864
       124,   0.0168,  -0.3792,   0.7262,   0.1864
       125,   0.0014,  -0.3663,   0.7262,   0.1864
       126,  -0.0136,  -0.3920,   0.7262,   0.1864
       127,   0.0319,  -0.3920,   0.7262,   0.1735
       128,   0.0344,  -0.3792,   0.7262,   0.1864
       129,   0.0538,  -0.3920,   0.7262,   0.1992
       130,   0.0584,  -0.3792,   0.7262,   0.1735
       131,   0.0401,  -0.3792,   0.7390,   0.1992
       132,   0.0621,  -0.3792,   0.7262,   0.1864
       133,   0.0570,  -0.3920,   0.7262,   0.2121
       134,   0.0092,  -0.3920,   0.7262,   0.1992
       135,  -0.0094,  -0.3792,   0.7390,   0.1992
       136,   0.0108,  -0.3792,   0.7390,   0.1735
       137,   0.0276,  -0.3920,   0.7262,   0.1735
       138,   0.0200,  -0.4049,   0.7262,   0.1735
       139,   0.0212,  -0.3920,   0.7390,   0.1735
       140,   0.0225,  -0.4049,   0.7262,   0.1992
       141,   0.0188,  -0.3920,   0.7133,   0.2121
       142,   0.0281,  -0.4049,   0.7262,   0.1864
       143,   0.0302,  -0.4049,   0.7262,   0.1992
