製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:10 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.5976,   0.6619,   0.0450
         2,   0.0287,  -0.6105,   0.6234,   0.0964
         3,   0.0367,  -0.6105,   0.6105,   0.1092
         4,   0.0396,  -0.6105,   0.6234,   0.1092
         5,   0.0442,  -0.5976,   0.6362,   0.0964
         6,   0.0518,  -0.6105,   0.6362,   0.0964
         7,   0.0582,  -0.6105,   0.6234,   0.0964
         8,   0.0394,  -0.6105,   0.6105,   0.1092
         9,   0.0232,  -0.6105,   0.6234,   0.0964
        10,   0.0302,  -0.5976,   0.6234,   0.1092
        11,   0.0294,  -0.5976,   0.6234,   0.0964
        12,   0.0192,  -0.5976,   0.6234,   0.0964
        13,   0.0258,  -0.5976,   0.6234,   0.0964
        14,   0.0243,  -0.6234,   0.6362,   0.1092
        15,   0.0182,  -0.5976,   0.6362,   0.0578
        16,   0.0270,  -0.5976,   0.6362,   0.0964
        17,   0.0190,  -0.6105,   0.6234,   0.0835
        18,   0.0001,  -0.5976,   0.6105,   0.0835
        19,   0.0064,  -0.5848,   0.6234,   0.0835
        20,   0.0082,  -0.5976,   0.6234,   0.0835
        21,   0.0233,  -0.6105,   0.6234,   0.0964
        22,   0.0288,  -0.5976,   0.6362,   0.0835
        23,   0.0327,  -0.5976,   0.6234,   0.0964
        24,   0.0119,  -0.6105,   0.6234,   0.0835
        25,   0.0203,  -0.5976,   0.6105,   0.0835
        26,   0.0262,  -0.5976,   0.6105,   0.0578
        27,   0.0398,  -0.6105,   0.6105,   0.0835
        28,   0.0371,  -0.6105,   0.6234,   0.0707
        29,   0.0347,  -0.6105,   0.6234,   0.0835
        30,   0.0352,  -0.5976,   0.6234,   0.1221
        31,   0.0428,  -0.5976,   0.6234,   0.0964
        32,   0.0379,  -0.5848,   0.6234,   0.0964
        33,   0.0318,  -0.6105,   0.6105,   0.0707
        34,   0.0281,  -0.5848,   0.6234,   0.0707
        35,   0.0321,  -0.6105,   0.6234,   0.0964
        36,   0.0416,  -0.6105,   0.6105,   0.0964
        37,   0.0401,  -0.6234,   0.6234,   0.0964
        38,   0.0328,  -0.6105,   0.6105,   0.0964
        39,   0.0347,  -0.6105,   0.6105,   0.1092
        40,   0.0292,  -0.6105,   0.6105,   0.0964
        41,   0.0226,  -0.5976,   0.6105,   0.0835
        42,   0.0045,  -0.6105,   0.6105,   0.0964
        43,   0.0116,  -0.6105,   0.6105,   0.0964
        44,   0.0307,  -0.6234,   0.6105,   0.0964
        45,   0.0240,  -0.6234,   0.6234,   0.1092
        46,   0.0307,  -0.6234,   0.6362,   0.1092
        47,   0.0090,  -0.6234,   0.6234,   0.0964
        48,   0.0225,  -0.6234,   0.6105,   0.1092
        49,   0.0051,  -0.6105,   0.5976,   0.0964
        50,   0.0200,  -0.6234,   0.6105,   0.0964
        51,   0.0148,  -0.6362,   0.6105,   0.0835
        52,   0.0212,  -0.6234,   0.6234,   0.1092
        53,   0.0275,  -0.6234,   0.5976,   0.0835
        54,   0.0136,  -0.6362,   0.6105,   0.0964
        55,   0.0230,  -0.6234,   0.5976,   0.1092
        56,   0.0331,  -0.6234,   0.5976,   0.0835
        57,   0.0235,  -0.6234,   0.6105,   0.0964
        58,   0.0289,  -0.6234,   0.5976,   0.0964
        59,   0.0120,  -0.6362,   0.5976,   0.1221
        60,   0.0119,  -0.6234,   0.6234,   0.1092
        61,   0.0036,  -0.6234,   0.6105,   0.0964
