製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:38 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.4177,   0.6748,  -0.2121
         2,   0.0356,  -0.3920,   0.7262,   0.3020
         3,   0.0530,  -0.3920,   0.7262,   0.3020
         4,   0.0307,  -0.3792,   0.7133,   0.3020
         5,   0.0485,  -0.3920,   0.7133,   0.3020
         6,   0.0391,  -0.3920,   0.7133,   0.2892
         7,   0.0493,  -0.3792,   0.7262,   0.3020
         8,   0.0360,  -0.3920,   0.7262,   0.3020
         9,   0.0137,  -0.3792,   0.7390,   0.3020
        10,   0.0225,  -0.3792,   0.7262,   0.2892
        11,   0.0295,  -0.3792,   0.7262,   0.2763
        12,   0.0016,  -0.3663,   0.7133,   0.3020
        13,   0.0279,  -0.3663,   0.7133,   0.3020
        14,   0.0109,  -0.3663,   0.7133,   0.2892
        15,   0.0387,  -0.3663,   0.7005,   0.3020
        16,   0.0265,  -0.3663,   0.7005,   0.3020
        17,   0.0248,  -0.3792,   0.7005,   0.3020
        18,   0.0570,  -0.3663,   0.7005,   0.2892
        19,   0.0595,  -0.3534,   0.7005,   0.3149
        20,   0.0506,  -0.3663,   0.6876,   0.2892
        21,   0.0559,  -0.3534,   0.7005,   0.2763
        22,   0.0423,  -0.3663,   0.7005,   0.2763
        23,   0.0180,  -0.3534,   0.7005,   0.2763
        24,   0.0080,  -0.3534,   0.7133,   0.3020
        25,   0.0424,  -0.3406,   0.7005,   0.2892
        26,   0.0327,  -0.3406,   0.7133,   0.2635
        27,   0.0459,  -0.3406,   0.7005,   0.2763
        28,   0.0495,  -0.3406,   0.7005,   0.2763
        29,   0.0162,  -0.3406,   0.6876,   0.2892
        30,   0.0174,  -0.3406,   0.7005,   0.2892
        31,   0.0393,  -0.3534,   0.7005,   0.2635
        32,   0.0300,  -0.3534,   0.6876,   0.2763
        33,   0.0213,  -0.3534,   0.6876,   0.2892
        34,   0.0224,  -0.3406,   0.6876,   0.2635
        35,   0.0177,  -0.3406,   0.6876,   0.2635
        36,   0.0155,  -0.3406,   0.6876,   0.2763
        37,   0.0367,  -0.3406,   0.6876,   0.2763
        38,   0.0434,  -0.3406,   0.6748,   0.2892
        39,   0.0231,  -0.3534,   0.6876,   0.2892
        40,   0.0247,  -0.3406,   0.6876,   0.2763
        41,   0.0220,  -0.3406,   0.6876,   0.2506
        42,   0.0500,  -0.3406,   0.6876,   0.2763
        43,   0.0477,  -0.3534,   0.6748,   0.2763
        44,   0.0385,  -0.3534,   0.6748,   0.2892
        45,   0.0224,  -0.3534,   0.6748,   0.3020
        46,   0.0048,  -0.3534,   0.6876,   0.2635
        47,   0.0281,  -0.3663,   0.6748,   0.2763
        48,   0.0373,  -0.3663,   0.6619,   0.2892
        49,   0.0288,  -0.3534,   0.6748,   0.2763
        50,  -0.0026,  -0.3534,   0.6748,   0.2892
        51,   0.0226,  -0.3663,   0.6748,   0.3020
        52,   0.0307,  -0.3663,   0.6619,   0.2763
        53,   0.0159,  -0.3663,   0.6876,   0.2763
        54,   0.0130,  -0.3792,   0.6748,   0.2763
        55,  -0.0029,  -0.3792,   0.6876,   0.2892
        56,   0.0036,  -0.3534,   0.6876,   0.2892
        57,   0.0229,  -0.3792,   0.6748,   0.2635
        58,   0.0297,  -0.3792,   0.6619,   0.2763
        59,   0.0560,  -0.3792,   0.6876,   0.2892
        60,   0.0382,  -0.3792,   0.6748,   0.2763
        61,   0.0455,  -0.3792,   0.6748,   0.2635
