製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:38 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.3534,   0.7133,   0.3149
         2,   0.0335,  -0.3663,   0.6876,   0.2892
         3,   0.0237,  -0.3663,   0.7005,   0.3020
         4,   0.0305,  -0.3663,   0.7005,   0.3020
         5,   0.0228,  -0.3663,   0.6876,   0.2892
         6,   0.0133,  -0.3663,   0.7133,   0.2892
         7,   0.0097,  -0.3663,   0.7262,   0.2763
         8,   0.0250,  -0.3663,   0.7005,   0.2763
         9,   0.0384,  -0.3663,   0.7133,   0.3020
        10,   0.0390,  -0.3534,   0.7005,   0.3020
        11,   0.0232,  -0.3534,   0.7133,   0.3020
        12,   0.0313,  -0.3663,   0.7005,   0.3149
        13,   0.0214,  -0.3663,   0.7133,   0.3020
        14,   0.0362,  -0.3792,   0.7005,   0.3149
        15,   0.0404,  -0.3792,   0.7133,   0.2892
        16,   0.0431,  -0.3663,   0.7133,   0.2892
        17,   0.0338,  -0.3663,   0.7133,   0.2763
        18,   0.0467,  -0.3663,   0.7133,   0.2635
        19,   0.0347,  -0.3663,   0.7133,   0.3020
        20,   0.0519,  -0.3534,   0.7133,   0.2892
        21,   0.0158,  -0.3792,   0.7133,   0.2763
        22,   0.0327,  -0.3663,   0.7262,   0.3020
        23,   0.0232,  -0.3534,   0.7262,   0.3020
        24,   0.0300,  -0.3663,   0.7262,   0.2763
        25,   0.0296,  -0.3792,   0.7133,   0.3020
        26,   0.0234,  -0.3663,   0.7133,   0.2763
        27,   0.0252,  -0.3534,   0.7133,   0.3020
        28,   0.0294,  -0.3663,   0.7133,   0.3020
        29,   0.0355,  -0.3663,   0.7133,   0.2892
        30,   0.0376,  -0.3663,   0.7133,   0.3149
        31,   0.0329,  -0.3792,   0.7133,   0.3020
        32,   0.0255,  -0.3534,   0.7005,   0.2892
        33,   0.0470,  -0.2892,   0.7133,   0.3020
        34,   0.0302,  -0.3534,   0.7005,   0.2892
        35,   0.0169,  -0.3534,   0.7133,   0.2763
        36,   0.0355,  -0.3663,   0.7133,   0.2892
        37,   0.0439,  -0.3534,   0.7262,   0.3020
        38,   0.0522,  -0.3534,   0.7262,   0.2763
        39,   0.0214,  -0.3406,   0.7262,   0.3020
        40,   0.0127,  -0.3534,   0.7133,   0.3149
        41,   0.0098,  -0.3406,   0.7133,   0.2763
        42,   0.0155,  -0.3534,   0.7262,   0.2763
        43,   0.0230,  -0.3534,   0.7133,   0.3020
        44,   0.0229,  -0.3406,   0.7005,   0.2892
        45,   0.0387,  -0.3406,   0.7262,   0.2763
        46,   0.0415,  -0.3663,   0.7133,   0.2892
        47,   0.0214,  -0.3534,   0.7133,   0.2892
        48,   0.0309,  -0.2892,   0.7133,   0.3149
        49,   0.0274,  -0.3406,   0.7262,   0.2763
        50,   0.0339,  -0.3277,   0.7133,   0.2763
        51,   0.0240,  -0.3406,   0.7005,   0.2635
        52,   0.0226,  -0.3406,   0.7133,   0.2892
        53,   0.0353,  -0.3534,   0.7262,   0.3020
        54,   0.0434,  -0.3406,   0.7262,   0.3020
        55,   0.0262,  -0.3406,   0.7390,   0.2892
        56,  -0.0008,  -0.3406,   0.7133,   0.2892
        57,   0.0207,  -0.3406,   0.7005,   0.2892
        58,   0.0261,  -0.3406,   0.7005,   0.2635
        59,  -0.0031,  -0.3406,   0.7133,   0.3020
        60,   0.0373,  -0.3406,   0.7133,   0.2892
        61,   0.0221,  -0.3534,   0.7262,   0.3020
        62,   0.0554,  -0.3406,   0.7262,   0.3020
        63,   0.0677,  -0.3534,   0.7133,   0.2892
        64,   0.0419,  -0.3277,   0.7133,   0.2892
        65,   0.0347,  -0.3406,   0.7133,   0.3020
        66,   0.0280,  -0.3277,   0.7262,   0.2892
        67,   0.0250,  -0.3406,   0.7133,   0.3149
