製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:11 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.5976,   0.6362,   0.0964
         2,  -0.0042,  -0.6234,   0.6234,   0.0835
         3,   0.0145,  -0.6234,   0.6105,   0.1092
         4,   0.0190,  -0.6234,   0.6234,   0.0707
         5,   0.0397,  -0.6234,   0.6234,   0.0964
         6,   0.0393,  -0.6362,   0.6234,   0.0835
         7,   0.0638,  -0.6234,   0.6105,   0.0578
         8,   0.0555,  -0.6234,   0.6234,   0.0835
         9,   0.0299,  -0.6362,   0.6234,   0.0835
        10,   0.0305,  -0.6105,   0.6105,   0.0707
        11,   0.0298,  -0.6362,   0.6234,   0.0964
        12,   0.0376,  -0.6234,   0.6105,   0.0707
        13,   0.0201,  -0.6234,   0.6105,   0.0835
        14,   0.0376,  -0.6362,   0.6234,   0.0964
        15,   0.0373,  -0.6362,   0.6234,   0.0835
        16,   0.0290,  -0.6234,   0.6234,   0.0835
        17,   0.0130,  -0.6234,   0.6105,   0.0707
        18,   0.0160,  -0.6362,   0.5976,   0.0835
        19,   0.0307,  -0.6105,   0.6105,   0.0964
        20,   0.0463,  -0.6491,   0.6234,   0.0578
        21,   0.0167,  -0.6234,   0.6234,   0.0835
        22,   0.0167,  -0.6362,   0.6234,   0.0964
        23,   0.0237,  -0.6362,   0.6234,   0.0707
        24,   0.0233,  -0.6362,   0.6234,   0.0707
        25,   0.0275,  -0.6362,   0.6234,   0.0835
        26,   0.0341,  -0.6362,   0.6105,   0.0835
        27,   0.0451,  -0.6234,   0.6105,   0.0835
        28,   0.0229,  -0.6234,   0.6105,   0.0707
        29,   0.0261,  -0.6234,   0.6234,   0.0707
        30,   0.0200,  -0.6234,   0.6362,   0.1092
        31,   0.0390,  -0.6362,   0.6234,   0.0964
        32,   0.0419,  -0.6234,   0.6362,   0.0707
        33,   0.0312,  -0.5848,   0.6105,   0.0707
        34,   0.0330,  -0.6234,   0.6234,   0.0707
        35,   0.0539,  -0.6105,   0.6105,   0.0707
        36,   0.0434,  -0.6362,   0.6105,   0.0835
        37,   0.0250,  -0.6362,   0.6105,   0.0835
        38,   0.0301,  -0.6234,   0.6105,   0.0835
        39,   0.0422,  -0.6362,   0.6234,   0.0707
        40,   0.0415,  -0.6105,   0.6234,   0.0835
        41,   0.0179,  -0.6105,   0.5976,   0.0578
        42,   0.0221,  -0.6234,   0.6234,   0.0835
        43,   0.0270,  -0.6234,   0.6105,   0.0835
        44,   0.0145,  -0.6234,   0.6105,   0.0707
        45,   0.0237,  -0.6234,   0.6362,   0.0835
        46,   0.0016,  -0.6105,   0.6234,   0.0707
        47,   0.0254,  -0.6234,   0.6105,   0.0835
        48,   0.0126,  -0.5719,   0.6105,   0.0835
        49,   0.0120,  -0.5976,   0.5976,   0.0707
        50,   0.0248,  -0.6105,   0.6105,   0.0835
        51,   0.0023,  -0.6105,   0.6234,   0.0707
        52,   0.0305,  -0.6234,   0.6234,   0.0707
        53,   0.0317,  -0.6234,   0.6234,   0.0835
        54,   0.0096,  -0.6234,   0.6105,   0.0707
        55,   0.0306,  -0.6234,   0.6105,   0.0707
        56,   0.0316,  -0.6105,   0.6234,   0.0835
        57,   0.0259,  -0.6234,   0.6105,   0.0707
        58,   0.0174,  -0.6234,   0.5976,   0.0835
        59,   0.0177,  -0.6234,   0.6105,   0.0707
        60,   0.0343,  -0.6105,   0.6105,   0.0707
        61,   0.0275,  -0.6105,   0.6234,   0.0964
        62,   0.0094,  -0.6234,   0.6362,   0.0835
        63,   0.0201,  -0.6234,   0.5976,   0.0707
        64,   0.0111,  -0.5976,   0.6105,   0.0707
        65,   0.0308,  -0.6105,   0.6105,   0.0707
        66,   0.0299,  -0.6105,   0.6105,   0.0835
        67,   0.0299,  -0.6234,   0.5976,   0.0835
        68,   0.0343,  -0.6362,   0.5976,   0.0835
        69,   0.0173,  -0.6234,   0.6234,   0.0450
        70,   0.0175,  -0.6234,   0.6105,   0.0835
        71,   0.0251,  -0.6105,   0.6234,   0.0707
        72,   0.0107,  -0.6105,   0.6234,   0.0707
        73,   0.0166,  -0.6234,   0.6234,   0.0707
        74,   0.0206,  -0.6234,   0.6105,   0.0964
        75,   0.0246,  -0.6234,   0.6105,   0.0835
        76,   0.0193,  -0.6234,   0.6362,   0.1092
        77,   0.0273,  -0.6234,   0.6234,   0.0707
        78,   0.0164,  -0.6105,   0.6234,   0.0835
        79,   0.0141,  -0.6234,   0.5976,   0.0964
        80,   0.0230,  -0.6105,   0.5976,   0.0835
        81,   0.0228,  -0.6105,   0.6105,   0.0835
        82,   0.0368,  -0.6234,   0.6234,   0.0835
        83,   0.0324,  -0.6234,   0.6362,   0.0964
        84,   0.0371,  -0.6362,   0.6362,   0.0835
        85,   0.0240,  -0.6234,   0.6234,   0.0835
        86,   0.0259,  -0.6234,   0.6234,   0.0578
        87,   0.0068,  -0.6234,   0.6234,   0.0707
        88,   0.0275,  -0.6105,   0.6105,   0.0707
        89,   0.0059,  -0.6105,   0.6105,   0.0835
        90,   0.0204,  -0.6105,   0.6362,   0.0964
        91,   0.0147,  -0.6234,   0.6234,   0.0964
        92,   0.0094,  -0.6234,   0.6362,   0.0835
        93,   0.0173,  -0.5591,   0.6362,   0.0964
        94,   0.0137,  -0.6234,   0.6234,   0.0835
        95,   0.0147,  -0.6105,   0.6234,   0.0835
        96,   0.0191,  -0.6234,   0.6234,   0.0707
        97,   0.0151,  -0.6234,   0.6234,   0.0964
        98,   0.0072,  -0.6105,   0.6234,   0.0707
        99,   0.0186,  -0.6234,   0.6234,   0.1092
       100,   0.0159,  -0.6234,   0.6234,   0.0964
       101,   0.0215,  -0.6234,   0.6362,   0.0835
       102,   0.0158,  -0.6105,   0.6234,   0.0707
       103,   0.0284,  -0.5591,   0.6234,   0.0964
       104,   0.0233,  -0.6105,   0.6234,   0.0707
       105,   0.0336,  -0.6234,   0.6362,   0.0835
       106,   0.0259,  -0.6105,   0.6362,   0.0707
       107,   0.0181,  -0.6234,   0.6491,   0.0835
       108,   0.0122,  -0.6234,   0.6362,   0.0835
       109,   0.0343,  -0.6105,   0.6362,   0.0964
       110,   0.0402,  -0.6234,   0.6362,   0.0578
       111,   0.0325,  -0.6105,   0.6362,   0.0835
       112,   0.0382,  -0.6234,   0.6234,   0.0964
       113,   0.0442,  -0.6234,   0.6362,   0.0835
       114,   0.0389,  -0.6234,   0.6234,   0.0964
       115,   0.0398,  -0.6105,   0.6362,   0.0964
       116,   0.0466,  -0.6105,   0.6362,   0.0707
       117,   0.0434,  -0.6234,   0.6234,   0.0835
       118,   0.0488,  -0.6234,   0.6234,   0.0707
       119,   0.0491,  -0.6105,   0.5976,   0.0707
       120,   0.0435,  -0.6105,   0.6362,   0.0707
       121,   0.0228,  -0.6105,   0.6362,   0.0835
       122,   0.0213,  -0.6105,   0.6234,   0.0835
       123,   0.0280,  -0.6105,   0.6362,   0.0964
       124,   0.0406,  -0.6105,   0.6362,   0.0964
       125,   0.0287,  -0.6234,   0.6362,   0.0707
       126,   0.0324,  -0.6234,   0.6105,   0.0964
       127,   0.0345,  -0.6234,   0.6234,   0.0835
       128,   0.0125,  -0.6234,   0.6234,   0.0835
       129,   0.0303,  -0.6105,   0.6362,   0.0450
       130,   0.0494,  -0.6362,   0.6105,   0.0964
       131,   0.0506,  -0.6234,   0.6234,   0.0835
       132,   0.0445,  -0.6234,   0.6234,   0.0707
       133,   0.0576,  -0.5719,   0.6234,   0.0578
       134,   0.0442,  -0.5976,   0.6105,   0.0707
       135,   0.0204,  -0.6234,   0.6105,   0.0707
       136,   0.0283,  -0.6234,   0.6234,   0.0835
       137,   0.0211,  -0.6234,   0.6234,   0.0707
       138,   0.0335,  -0.6234,   0.6105,   0.0835
       139,   0.0234,  -0.6234,   0.6234,   0.0964
       140,   0.0324,  -0.6234,   0.6105,   0.0707
       141,   0.0209,  -0.6234,   0.6234,   0.0707
       142,   0.0119,  -0.6105,   0.6105,   0.0707
       143,   0.0167,  -0.6105,   0.6105,   0.0707
       144,   0.0335,  -0.6234,   0.6234,   0.0835
       145,   0.0215,  -0.6234,   0.6234,   0.0707
       146,   0.0268,  -0.6234,   0.6234,   0.0835
       147,   0.0214,  -0.6362,   0.6105,   0.0707
       148,   0.0178,  -0.6362,   0.6105,   0.0835
       149,   0.0196,  -0.6105,   0.6105,   0.0578
       150,   0.0606,  -0.6234,   0.6105,   0.0835
       151,   0.0507,  -0.6234,   0.6105,   0.0707
       152,   0.0555,  -0.6362,   0.6105,   0.0707
       153,   0.0548,  -0.6234,   0.6234,   0.0835
       154,   0.0613,  -0.6234,   0.6234,   0.0835
       155,   0.0563,  -0.6234,   0.6105,   0.0707
       156,   0.0464,  -0.6234,   0.6234,   0.0835
       157,   0.0469,  -0.6362,   0.5976,   0.0707
       158,   0.0243,  -0.6362,   0.6234,   0.0707
       159,   0.0263,  -0.6362,   0.6105,   0.0707
       160,   0.0130,  -0.6362,   0.6105,   0.0835
       161,   0.0248,  -0.6491,   0.6105,   0.0835
       162,   0.0371,  -0.6491,   0.6105,   0.0578
       163,   0.0346,  -0.6362,   0.6105,   0.0835
       164,   0.0281,  -0.6362,   0.6105,   0.0707
       165,   0.0415,  -0.6362,   0.5976,   0.0578
       166,   0.0365,  -0.6234,   0.6105,   0.0964
       167,   0.0273,  -0.6491,   0.6105,   0.0707
       168,   0.0270,  -0.6362,   0.6105,   0.0964
       169,   0.0232,  -0.6491,   0.6234,   0.0964
       170,   0.0368,  -0.6362,   0.6234,   0.0835
       171,   0.0329,  -0.6362,   0.5976,   0.0707
       172,   0.0193,  -0.6362,   0.6105,   0.0835
       173,   0.0193,  -0.6362,   0.5976,   0.0964
       174,   0.0221,  -0.6362,   0.5976,   0.0835
       175,   0.0091,  -0.6362,   0.6105,   0.0964
       176,   0.0182,  -0.6362,   0.6105,   0.0964
       177,   0.0328,  -0.6491,   0.5976,   0.0964
       178,   0.0272,  -0.6619,   0.5976,   0.0707
       179,   0.0453,  -0.6234,   0.5976,   0.0707
       180,   0.0451,  -0.6234,   0.6105,   0.0835
       181,   0.0398,  -0.6362,   0.6105,   0.0707
       182,   0.0466,  -0.6362,   0.5976,   0.0835
       183,   0.0413,  -0.6362,   0.6105,   0.0964
       184,   0.0365,  -0.6362,   0.6234,   0.0835
       185,   0.0300,  -0.6362,   0.6105,   0.1092
       186,   0.0166,  -0.6362,   0.6234,   0.0835
       187,   0.0302,  -0.6362,   0.6105,   0.0707
       188,   0.0294,  -0.6362,   0.5976,   0.0707
       189,   0.0335,  -0.6362,   0.5976,   0.0707
       190,   0.0122,  -0.6234,   0.6105,   0.0578
       191,   0.0046,  -0.6234,   0.5976,   0.0707
       192,   0.0098,  -0.6362,   0.6105,   0.0964
       193,   0.0108,  -0.6362,   0.6105,   0.0707
       194,   0.0009,  -0.6234,   0.6234,   0.0707
       195,   0.0089,  -0.6362,   0.6105,   0.0707
       196,   0.0301,  -0.6105,   0.6105,   0.0835
       197,   0.0108,  -0.6234,   0.6105,   0.0707
       198,   0.0305,  -0.6362,   0.6234,   0.0835
       199,   0.0111,  -0.6234,   0.6105,   0.0964
       200,   0.0371,  -0.6234,   0.6362,   0.0964
       201,   0.0384,  -0.6234,   0.6234,   0.0835
       202,   0.0113,  -0.6234,   0.6105,   0.0964
       203,   0.0199,  -0.5591,   0.6105,   0.0835
       204,   0.0510,  -0.5976,   0.6105,   0.0578
       205,   0.0552,  -0.6105,   0.6234,   0.0707
       206,   0.0535,  -0.6234,   0.6234,   0.0835
       207,   0.0536,  -0.6234,   0.6234,   0.0835
       208,   0.0294,  -0.6234,   0.6234,   0.0707
       209,   0.0362,  -0.6362,   0.6234,   0.0835
       210,   0.0318,  -0.6234,   0.6234,   0.0707
       211,   0.0456,  -0.6105,   0.6234,   0.0578
       212,   0.0280,  -0.6362,   0.6105,   0.0578
       213,   0.0133,  -0.6234,   0.6234,   0.0578
       214,   0.0130,  -0.6234,   0.6105,   0.0707
       215,   0.0109,  -0.6234,   0.6362,   0.0835
       216,   0.0083,  -0.6105,   0.6362,   0.0835
       217,   0.0042,  -0.5976,   0.6362,   0.0835
       218,   0.0212,  -0.6105,   0.6234,   0.0707
       219,   0.0180,  -0.5976,   0.6234,   0.0707
       220,   0.0116,  -0.6234,   0.6234,   0.0964
       221,   0.0178,  -0.6234,   0.6105,   0.0964
       222,   0.0300,  -0.6105,   0.6234,   0.0964
       223,   0.0343,  -0.6105,   0.6234,   0.0835
       224,   0.0188,  -0.6234,   0.6234,   0.0578
       225,   0.0250,  -0.6105,   0.6234,   0.0707
       226,   0.0155,  -0.5976,   0.6234,   0.0964
       227,   0.0039,  -0.5976,   0.6234,   0.0707
       228,   0.0133,  -0.5848,   0.6105,   0.0835
       229,   0.0155,  -0.6105,   0.6234,   0.0835
       230,   0.0133,  -0.6105,   0.6234,   0.0835
       231,   0.0196,  -0.6234,   0.6362,   0.0964
       232,   0.0419,  -0.5976,   0.6362,   0.0964
       233,   0.0525,  -0.5976,   0.6362,   0.0835
       234,   0.0374,  -0.5976,   0.6105,   0.0964
       235,   0.0390,  -0.6105,   0.6234,   0.0707
       236,   0.0295,  -0.5976,   0.6234,   0.0964
       237,   0.0188,  -0.6105,   0.6234,   0.0835
       238,   0.0294,  -0.6105,   0.6234,   0.0707
       239,   0.0166,  -0.6105,   0.6362,   0.0964
       240,   0.0356,  -0.5976,   0.6234,   0.0835
       241,   0.0398,  -0.6105,   0.6234,   0.0835
       242,   0.0184,  -0.5976,   0.6234,   0.0707
       243,   0.0043,  -0.5976,   0.6362,   0.0835
       244,   0.0138,  -0.6234,   0.6234,   0.0835
       245,   0.0222,  -0.6105,   0.6362,   0.0835
       246,   0.0237,  -0.6105,   0.6362,   0.0578
       247,   0.0347,  -0.6105,   0.6362,   0.1092
       248,   0.0358,  -0.6234,   0.6234,   0.0835
       249,   0.0089,  -0.5976,   0.6234,   0.0707
       250,   0.0160,  -0.6105,   0.6105,   0.0707
       251,   0.0148,  -0.5976,   0.6362,   0.0964
       252,   0.0006,  -0.6105,   0.6362,   0.0835
       253,   0.0071,  -0.6105,   0.6234,   0.0835
       254,   0.0203,  -0.6362,   0.6105,   0.0707
       255,   0.0056,  -0.6234,   0.6234,   0.0835
       256,   0.0051,  -0.6105,   0.6362,   0.0835
       257,  -0.0007,  -0.6105,   0.6234,   0.0835
       258,   0.0091,  -0.6105,   0.6234,   0.0835
       259,  -0.0064,  -0.6105,   0.6362,   0.0964
       260,  -0.0034,  -0.6105,   0.6234,   0.0835
       261,  -0.0144,  -0.5976,   0.6105,   0.0835
       262,   0.0311,  -0.6362,   0.6362,   0.0964
       263,   0.0691,  -0.6105,   0.6234,   0.0835
       264,   0.0556,  -0.6105,   0.6234,   0.0578
       265,   0.0412,  -0.5976,   0.6105,   0.0578
       266,   0.0466,  -0.6105,   0.6105,   0.0835
       267,   0.0267,  -0.6105,   0.6234,   0.0707
       268,   0.0398,  -0.6234,   0.6234,   0.0964
       269,   0.0437,  -0.6234,   0.6234,   0.0964
       270,   0.0442,  -0.6105,   0.6234,   0.0835
       271,   0.0401,  -0.6234,   0.6234,   0.0964
       272,   0.0440,  -0.6105,   0.6234,   0.0707
       273,   0.0230,  -0.6105,   0.6234,   0.0835
       274,   0.0349,  -0.6234,   0.6105,   0.0707
       275,   0.0250,  -0.6234,   0.6105,   0.0964
       276,   0.0246,  -0.6234,   0.6234,   0.1092
       277,   0.0325,  -0.6105,   0.6234,   0.0707
       278,   0.0419,  -0.5462,   0.6234,   0.0835
       279,   0.0423,  -0.6105,   0.6234,   0.1092
       280,   0.0383,  -0.6105,   0.6234,   0.0835
       281,   0.0409,  -0.6105,   0.5976,   0.0707
       282,   0.0144,  -0.6234,   0.6105,   0.0707
       283,   0.0178,  -0.6105,   0.6234,   0.0707
       284,   0.0107,  -0.6234,   0.6234,   0.0835
       285,   0.0226,  -0.6234,   0.6234,   0.0707
       286,   0.0163,  -0.6362,   0.6105,   0.0964
       287,   0.0182,  -0.6234,   0.6105,   0.0835
       288,   0.0026,  -0.5848,   0.6234,   0.0964
       289,   0.0074,  -0.6105,   0.6105,   0.0707
       290,   0.0130,  -0.6234,   0.6105,   0.0964
       291,   0.0149,  -0.6234,   0.6234,   0.0964
       292,   0.0200,  -0.6234,   0.6105,   0.0835
       293,   0.0182,  -0.6234,   0.6234,   0.1092
       294,   0.0116,  -0.6234,   0.6234,   0.0835
       295,   0.0152,  -0.6234,   0.6234,   0.0964
       296,   0.0006,  -0.6234,   0.6234,   0.0835
       297,   0.0113,  -0.6234,   0.6105,   0.1092
       298,   0.0284,  -0.6234,   0.6234,   0.0578
       299,   0.0185,  -0.6234,   0.6234,   0.0707
       300,   0.0135,  -0.6234,   0.6105,   0.0707
       301,   0.0313,  -0.6491,   0.6234,   0.0835
       302,   0.0365,  -0.6362,   0.6105,   0.0707
       303,   0.0384,  -0.6362,   0.5976,   0.0835
       304,   0.0237,  -0.6234,   0.6105,   0.0578
