製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,      6851 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       104,   0.0141,  -0.1478,   0.7390,   0.0578
       105,   0.0264,  -0.1607,   0.7519,   0.0193
       106,   0.0208,  -0.1607,   0.7519,   0.0578
       107,   0.0217,  -0.1735,   0.7390,   0.0578
       108,   0.0204,  -0.1735,   0.7390,   0.0450
       109,   0.0114,  -0.1607,   0.7519,   0.0578
       110,   0.0120,  -0.1607,   0.7519,   0.0707
       111,  -0.0014,  -0.1478,   0.7390,   0.0578
       112,   0.0082,  -0.1478,   0.7390,   0.0450
       113,   0.0107,  -0.1478,   0.7519,   0.0450
       114,   0.0209,  -0.1478,   0.7390,   0.0707
       115,   0.0159,  -0.1350,   0.7519,   0.0578
       116,   0.0156,  -0.1478,   0.7519,   0.0964
       117,   0.0207,  -0.1350,   0.7647,   0.0835
       118,   0.0283,  -0.1478,   0.7519,   0.0707
       119,   0.0335,  -0.1350,   0.7390,   0.0578
       120,   0.0220,  -0.1350,   0.7390,   0.0835
       121,   0.0281,  -0.1478,   0.7519,   0.0835
       122,   0.0202,  -0.1350,   0.7647,   0.0707
       123,   0.0335,  -0.1350,   0.7519,   0.0835
       124,   0.0272,  -0.1478,   0.7647,   0.0578
       125,   0.0440,  -0.1350,   0.7647,   0.0835
       126,   0.0452,  -0.1221,   0.7647,   0.0835
       127,   0.0442,  -0.1221,   0.7647,   0.0964
       128,   0.0379,  -0.1350,   0.7647,   0.0835
       129,   0.0255,  -0.1221,   0.7647,   0.0835
       130,   0.0469,  -0.1221,   0.7776,   0.0835
       131,   0.0424,  -0.1221,   0.7776,   0.1092
       132,   0.0459,  -0.1092,   0.7904,   0.0835
       133,   0.0195,  -0.1221,   0.7904,   0.0964
       134,   0.0272,  -0.1092,   0.7647,   0.0964
       135,   0.0273,  -0.1092,   0.7904,   0.0964
       136,   0.0253,  -0.1221,   0.7904,   0.0964
       137,   0.0228,  -0.1221,   0.7904,   0.1092
       138,   0.0329,  -0.1221,   0.7904,   0.0964
       139,   0.0305,  -0.1221,   0.7904,   0.0964
       140,   0.0302,  -0.1221,   0.7904,   0.0964
       141,   0.0155,  -0.1092,   0.8033,   0.1092
       142,   0.0199,  -0.1092,   0.8033,   0.0835
       143,   0.0266,  -0.1092,   0.8033,   0.1092
       144,   0.0207,  -0.0964,   0.8290,   0.0835
       145,   0.0228,  -0.1092,   0.8290,   0.1092
       146,   0.0261,  -0.0964,   0.8418,   0.1092
       147,   0.0171,  -0.1092,   0.8290,   0.1221
       148,   0.0248,  -0.0450,   0.8290,   0.1221
       149,   0.0228,  -0.0835,   0.8290,   0.1092
       150,   0.0210,  -0.0964,   0.8418,   0.0964
       151,   0.0250,  -0.0964,   0.8290,   0.1092
       152,   0.0243,  -0.0964,   0.8418,   0.1221
       153,   0.0261,  -0.0964,   0.8418,   0.1092
       154,   0.0239,  -0.1092,   0.8418,   0.1092
       155,   0.0184,  -0.0964,   0.8418,   0.1221
       156,   0.0140,  -0.0835,   0.8418,   0.1221
       157,   0.0288,  -0.0964,   0.8418,   0.1221
       158,   0.0291,  -0.0964,   0.8418,   0.1092
       159,   0.0250,  -0.0964,   0.8547,   0.1092
