製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 11:09 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,   0.4177,   0.7904,  -0.1092
         2,   0.0518,   0.4691,   0.7519,  -0.0964
         3,   0.0201,   0.4820,   0.7519,  -0.0707
         4,   0.0317,   0.4820,   0.7390,  -0.0578
         5,   0.0278,   0.4691,   0.7390,  -0.0707
         6,   0.0543,   0.4820,   0.7262,  -0.0835
         7,   0.0480,   0.4820,   0.7390,  -0.0964
         8,   0.0383,   0.4820,   0.7519,  -0.0964
         9,   0.0386,   0.4820,   0.7390,  -0.0578
        10,   0.0299,   0.4691,   0.7519,  -0.0835
        11,   0.0175,   0.4691,   0.7519,  -0.0835
        12,   0.0166,   0.4691,   0.7390,  -0.0835
        13,   0.0085,   0.4948,   0.7262,  -0.0964
        14,  -0.0058,   0.4820,   0.7390,  -0.0964
        15,  -0.0193,   0.4820,   0.7262,  -0.1092
        16,  -0.0108,   0.4820,   0.7519,  -0.1221
        17,  -0.0182,   0.4691,   0.7519,  -0.0578
        18,   0.0078,   0.4691,   0.7390,  -0.0835
        19,   0.0217,   0.4820,   0.7390,  -0.0835
        20,   0.0237,   0.4691,   0.7390,  -0.0707
        21,   0.0338,   0.4691,   0.7390,  -0.0964
        22,   0.0437,   0.4820,   0.7390,  -0.0964
        23,   0.0532,   0.4820,   0.7262,  -0.0578
        24,   0.0186,   0.4820,   0.7519,  -0.0578
        25,   0.0208,   0.4563,   0.7390,  -0.1092
        26,   0.0060,   0.4691,   0.7519,  -0.0835
        27,   0.0093,   0.4691,   0.7519,  -0.1092
        28,   0.0162,   0.4820,   0.7390,  -0.0964
        29,   0.0089,   0.4820,   0.7519,  -0.1221
        30,   0.0210,   0.4820,   0.7519,  -0.0964
        31,  -0.0030,   0.4691,   0.7390,  -0.0707
        32,   0.0303,   0.4691,   0.7519,  -0.0707
        33,   0.0728,   0.4563,   0.7647,  -0.0835
        34,   0.0777,   0.4820,   0.7519,  -0.0964
        35,   0.0565,   0.4820,   0.7519,  -0.0835
        36,   0.0396,   0.4820,   0.7390,  -0.0707
        37,   0.0511,   0.4820,   0.7390,  -0.0964
        38,   0.0525,   0.4691,   0.7262,  -0.0835
        39,   0.0375,   0.4563,   0.7390,  -0.0835
        40,   0.0511,   0.4691,   0.7390,  -0.0835
        41,   0.0438,   0.4691,   0.7519,  -0.0578
        42,   0.0268,   0.4691,   0.7519,  -0.0835
        43,   0.0148,   0.4691,   0.7390,  -0.0578
        44,   0.0212,   0.4820,   0.7390,  -0.0707
        45,  -0.0190,   0.4563,   0.7519,  -0.0835
        46,   0.0094,   0.4820,   0.7390,  -0.0835
        47,   0.0182,   0.4691,   0.7390,  -0.0835
        48,   0.0325,   0.4820,   0.7519,  -0.0964
        49,   0.0552,   0.4691,   0.7519,  -0.0450
        50,   0.0529,   0.4691,   0.7519,  -0.0707
        51,   0.0627,   0.4820,   0.7519,  -0.0964
        52,   0.0349,   0.4691,   0.7390,  -0.0835
        53,   0.0197,   0.4691,   0.7519,  -0.0964
        54,   0.0067,   0.4820,   0.7519,  -0.0707
        55,   0.0006,   0.4691,   0.7390,  -0.0964
        56,   0.0283,   0.4691,   0.7390,  -0.0707
        57,   0.0218,   0.4820,   0.7519,  -0.0964
        58,  -0.0034,   0.4691,   0.7519,  -0.0835
        59,  -0.0111,   0.4691,   0.7390,  -0.0835
        60,  -0.0206,   0.4820,   0.7519,  -0.0707
        61,  -0.0098,   0.4820,   0.7519,  -0.0835
        62,  -0.0015,   0.4820,   0.7519,  -0.0964
        63,   0.0018,   0.5462,   0.7647,  -0.1092
        64,  -0.0020,   0.4948,   0.7647,  -0.0707
        65,   0.0043,   0.4820,   0.7776,  -0.0835
        66,   0.0053,   0.4948,   0.7647,  -0.0707
        67,   0.0114,   0.4820,   0.7519,  -0.0964
        68,   0.0259,   0.4948,   0.7519,  -0.0964
        69,   0.0587,   0.4948,   0.7519,  -0.0707
        70,   0.0387,   0.4948,   0.7776,  -0.0964
        71,   0.0469,   0.4948,   0.7647,  -0.0578
        72,   0.0513,   0.4820,   0.7647,  -0.0835
        73,   0.0474,   0.4820,   0.7647,  -0.0964
        74,   0.0464,   0.4820,   0.7647,  -0.0964
        75,   0.0416,   0.4948,   0.7647,  -0.0835
        76,   0.0295,   0.4948,   0.7647,  -0.0835
        77,   0.0171,   0.4948,   0.7519,  -0.0835
        78,   0.0097,   0.5462,   0.7647,  -0.0835
        79,   0.0025,   0.5077,   0.7647,  -0.1092
        80,   0.0188,   0.4820,   0.7647,  -0.1092
        81,   0.0302,   0.4948,   0.7776,  -0.1092
        82,   0.0312,   0.5077,   0.7776,  -0.0835
        83,   0.0456,   0.5077,   0.7647,  -0.0964
