製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 11:04 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     21331 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,   0.6105,   0.6876,  -0.1221
         2,   0.0133,   0.3792,   0.7390,  -0.0707
         3,   0.0119,   0.3792,   0.7519,  -0.0707
         4,   0.0713,   0.3792,   0.7519,  -0.0707
         5,   0.0818,   0.3792,   0.7519,  -0.0193
         6,   0.0565,   0.3792,   0.7519,  -0.0578
         7,   0.0536,   0.3663,   0.7519,  -0.0707
         8,   0.0320,   0.3920,   0.7390,  -0.0835
         9,   0.0394,   0.3792,   0.7519,  -0.0578
        10,   0.0235,   0.4049,   0.7647,  -0.0835
        11,   0.0142,   0.3920,   0.7519,  -0.0578
        12,   0.0312,   0.3920,   0.7647,  -0.0707
        13,   0.0292,   0.4049,   0.7647,  -0.0450
        14,   0.0010,   0.3920,   0.7776,  -0.0321
        15,   0.0006,   0.4177,   0.7647,  -0.0707
        16,  -0.0057,   0.4049,   0.7776,  -0.0578
        17,   0.0035,   0.4049,   0.7776,  -0.0835
        18,  -0.0039,   0.4177,   0.7647,  -0.0964
        19,  -0.0062,   0.4306,   0.7776,  -0.0835
        20,   0.0008,   0.4177,   0.7904,  -0.0578
        21,   0.0507,   0.4049,   0.7776,  -0.0321
        22,   0.0452,   0.4177,   0.7904,  -0.0321
        23,   0.0394,   0.4177,   0.7904,  -0.0707
        24,   0.0541,   0.4306,   0.7904,  -0.1092
        25,   0.0420,   0.4434,   0.7904,  -0.0835
        26,   0.0338,   0.4306,   0.7904,  -0.0835
        27,   0.0358,   0.4434,   0.7904,  -0.0707
        28,   0.0201,   0.4306,   0.8033,  -0.0707
        29,   0.0180,   0.4563,   0.8161,  -0.0321
        30,   0.0016,   0.4563,   0.8290,  -0.0707
        31,  -0.0231,   0.4563,   0.8161,  -0.0964
        32,   0.0180,   0.4563,   0.8161,  -0.0707
        33,   0.0420,   0.4691,   0.8161,  -0.0835
        34,   0.0468,   0.4820,   0.8033,  -0.1092
        35,   0.0728,   0.4691,   0.8290,  -0.0707
        36,   0.0796,   0.4948,   0.8418,  -0.0835
