 0.930, 22.02, 17.52
 0.935, 22.11, 17.50
 0.940, 22.23, 17.50
 0.945, 22.37, 17.44
 0.950, 22.49, 17.41
 0.955, 22.62, 17.39
 0.960, 22.78, 17.36
 0.965, 22.95, 17.33
 0.970, 23.12, 17.31
 0.975, 23.31, 17.28
 0.980, 23.47, 17.26
 0.985, 23.68, 17.24
 0.990, 23.87, 17.21
 0.995, 24.08, 17.19
 1.000, 24.28, 17.18
 1.005, 24.50, 17.17
 1.010, 24.71, 17.14
 1.015, 24.92, 17.13
 1.020, 25.13, 17.14
 1.025, 25.36, 17.13
 1.030, 25.56, 17.12
 1.035, 25.80, 17.11
 1.040, 26.00, 17.10
 1.045, 26.23, 17.11
 1.050, 26.47, 17.09
 1.055, 26.69, 17.10
 1.060, 26.94, 17.11
 1.065, 27.17, 17.10
 1.070, 27.41, 17.11
 1.075, 27.67, 17.11
 1.080, 27.91, 17.12
 1.085, 28.16, 17.11
 1.090, 28.38, 17.13
 1.095, 28.62, 17.15
 1.100, 28.84, 17.16
 1.105, 29.05, 17.20
 1.110, 29.26, 17.23
 1.115, 29.44, 17.25
 1.120, 29.65, 17.26
 1.125, 29.83, 17.29
 1.130, 30.02, 17.32
 1.135, 30.20, 17.33
 1.140, 30.37, 17.32
 1.145, 30.55, 17.31
 1.150, 30.70, 17.30
 1.155, 30.87, 17.29
 1.160, 31.02, 17.28
 1.165, 31.13, 17.28
 1.170, 31.24, 17.29
 1.175, 31.35, 17.28
 1.180, 31.41, 17.29
 1.185, 31.46, 17.31
 1.190, 31.49, 17.33
 1.195, 31.50, 17.34
 1.200, 31.48, 17.35
 1.205, 31.46, 17.39
 1.210, 31.39, 17.44
 1.215, 31.33, 17.47
 1.220, 31.25, 17.53
 1.225, 31.15, 17.57
 1.230, 31.02, 17.60
 1.235, 30.91, 17.66
 1.240, 30.80, 17.72
 1.245, 30.63, 17.77
 1.250, 30.49, 17.80
 1.255, 30.36, 17.85
 1.260, 30.19, 17.90
 1.265, 30.03, 17.95
 1.270, 29.85, 17.99
 1.275, 29.69, 18.02
 1.280, 29.52, 18.08
 1.285, 29.34, 18.12
 1.290, 29.18, 18.15
 1.295, 28.99, 18.21
 1.300, 28.83, 18.23
 1.305, 28.63, 18.25
 1.310, 28.45, 18.30
 1.315, 28.30, 18.34
 1.320, 28.11, 18.38
 1.325, 27.92, 18.40
 1.330, 27.76, 18.44
 1.335, 27.59, 18.48
 1.340, 27.42, 18.50
 1.345, 27.25, 18.55
 1.350, 27.09, 18.59
 1.355, 26.93, 18.60
 1.360, 26.75, 18.67
 1.365, 26.60, 18.71
 1.370, 26.44, 18.73
 1.375, 26.30, 18.80
 1.380, 26.16, 18.81
 1.385, 26.03, 18.86
 1.390, 25.93, 18.90
 1.395, 25.80, 18.92
 1.400, 25.69, 18.95
 1.405, 25.59, 19.01
 1.410, 25.47, 19.03
 1.415, 25.39, 19.04
 1.420, 25.30, 19.08
 1.425, 25.21, 19.11
 1.430, 25.13, 19.14
 1.435, 25.06, 19.16
 1.440, 24.96, 19.18
 1.445, 24.90, 19.21
 1.450, 24.85, 19.24
 1.455, 24.78, 19.25
 1.460, 24.71, 19.26
 1.465, 24.67, 19.28
 1.470, 24.61, 19.28
 1.475, 24.57, 19.29
 1.480, 24.54, 19.31
 1.485, 24.52, 19.31
 1.490, 24.48, 19.31
 1.495, 24.46, 19.32
 1.500, 24.48, 19.32
 1.505, 24.48, 19.32
 1.510, 24.49, 19.33
 1.515, 24.51, 19.33
 1.520, 24.52, 19.32
 1.525, 24.54, 19.32
 1.530, 24.58, 19.31
 1.535, 24.64, 19.32
 1.540, 24.64, 19.30
 1.545, 24.70, 19.31
 1.550, 24.74, 19.28
 1.555, 24.81, 19.27
 1.560, 24.87, 19.25
 1.565, 24.92, 19.26
 1.570, 25.01, 19.25
 1.575, 25.07, 19.22
 1.580, 25.15, 19.21
 1.585, 25.24, 19.18
 1.590, 25.31, 19.18
 1.595, 25.40, 19.16
 1.600, 25.47, 19.14
 1.605, 25.57, 19.14
 1.610, 25.67, 19.10
 1.615, 25.75, 19.08
 1.620, 25.85, 19.07
 1.625, 25.94, 19.06
 1.630, 26.02, 19.02
 1.635, 26.12, 19.02
 1.640, 26.21, 19.00
 1.645, 26.31, 18.98
 1.650, 26.40, 18.94
 1.655, 26.48, 18.93
 1.660, 26.57, 18.92
 1.665, 26.66, 18.91
