製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:23,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
102,-0.0349,0.3406,0.7904,-0.4691,,0.0349
103,-0.036,0.3406,0.7776,-0.4948,,0.036
104,-0.0291,0.3534,0.7904,-0.5077,,0.0291
105,-0.0285,0.3406,0.7776,-0.4691,,0.0285
106,-0.0367,0.3406,0.7904,-0.4948,,0.0367
107,-0.0349,0.3663,0.7904,-0.482,,0.0349
108,-0.036,0.3534,0.7904,-0.4563,,0.036
109,-0.0344,0.3534,0.7904,-0.4691,,0.0344
110,-0.0409,0.3534,0.7776,-0.4563,,0.0409
111,-0.0446,0.3406,0.8033,-0.4563,,0.0446
112,-0.051,0.3406,0.8033,-0.482,,0.051
113,-0.0438,0.3534,0.7904,-0.482,,0.0438
114,-0.0469,0.3534,0.7904,-0.5077,,0.0469
115,-0.0244,0.3277,0.7776,-0.482,,0.0244
116,-0.0079,0.3406,0.7904,-0.4691,,0.0079
117,-0.034,0.3534,0.7904,-0.482,,0.034
118,-0.0352,0.3277,0.7904,-0.482,,0.0352
119,-0.0439,0.3534,0.7904,-0.4948,,0.0439
120,-0.0435,0.3277,0.7776,-0.4948,,0.0435
121,-0.0369,0.3406,0.7776,-0.4691,,0.0369
122,-0.0536,0.3406,0.7904,-0.4948,,0.0536
123,-0.0368,0.3406,0.8033,-0.4948,,0.0368
124,-0.0534,0.3277,0.7776,-0.4948,,0.0534
125,-0.0365,0.3277,0.8033,-0.4434,,0.0365
126,-0.0136,0.3277,0.7904,-0.4948,,0.0136
127,-0.0233,0.3277,0.7904,-0.4563,,0.0233
128,-0.0151,0.3534,0.8033,-0.4563,,0.0151
129,-0.0361,0.3277,0.7904,-0.4691,,0.0361
130,-0.0323,0.3406,0.7904,-0.482,,0.0323
131,-0.0401,0.3406,0.8033,-0.4948,,0.0401
132,-0.0226,0.3277,0.8033,-0.4948,,0.0226
133,-0.0217,0.3792,0.7904,-0.482,,0.0217
134,-0.0136,0.3406,0.7904,-0.5077,,0.0136
135,0.0059,0.3149,0.7776,-0.482,,0.0059
136,0.0094,0.3277,0.7904,-0.4691,,0.0094
137,-0.0188,0.3534,0.7904,-0.4948,,0.0188
138,-0.0419,0.3277,0.7904,-0.4948,,0.0419
139,-0.0339,0.3277,0.7904,-0.4691,,0.0339
140,-0.0496,0.3277,0.7904,-0.4691,,0.0496
141,-0.0272,0.3277,0.8033,-0.5077,,0.0272
142,-0.0312,0.3277,0.8033,-0.4563,,0.0312
143,-0.0338,0.3277,0.8033,-0.4948,,0.0338
144,-0.0528,0.3406,0.8033,-0.4948,,0.0528
145,-0.0558,0.3406,0.7904,-0.482,,0.0558
146,-0.0568,0.3277,0.7904,-0.4948,,0.0568
147,-0.05,0.3277,0.7904,-0.4691,,0.05
148,-0.0519,0.3277,0.8033,-0.482,,0.0519
149,-0.0448,0.3277,0.7776,-0.482,,0.0448
150,-0.0288,0.3406,0.7904,-0.482,,0.0288
151,-0.0214,0.3149,0.7904,-0.4563,,0.0214
152,-0.0296,0.3277,0.8033,-0.482,,0.0296
153,-0.0551,0.3406,0.7904,-0.482,,0.0551
154,-0.0448,0.3406,0.8033,-0.4691,,0.0448
155,-0.0265,0.3277,0.8033,-0.4948,,0.0265
156,-0.0339,0.3277,0.8161,-0.4691,,0.0339
157,-0.0522,0.3406,0.8033,-0.4691,,0.0522
158,-0.0644,0.3277,0.7904,-0.4691,,0.0644
159,-0.0434,0.3406,0.7904,-0.4691,,0.0434
160,-0.0345,0.3277,0.7904,-0.4948,,0.0345
161,-0.0092,0.3406,0.8033,-0.4948,,0.0092
162,-0.0171,0.3277,0.7904,-0.4691,,0.0171
163,-0.022,0.3277,0.8033,-0.4563,,0.022
164,-0.0287,0.3406,0.7904,-0.482,,0.0287
165,-0.0364,0.3277,0.8033,-0.4691,,0.0364
166,-0.059,0.3277,0.7904,-0.482,,0.059
167,-0.073,0.3277,0.8033,-0.482,,0.073
168,-0.1061,0.3277,0.7904,-0.4948,,0.1061
169,-0.0905,0.3277,0.8033,-0.4948,,0.0905
170,-0.0753,0.3277,0.8033,-0.4948,,0.0753
171,-0.0639,0.3406,0.8161,-0.4563,,0.0639
172,-0.0529,0.3406,0.8033,-0.4563,,0.0529
173,-0.0262,0.3406,0.8161,-0.4948,,0.0262
174,-0.0142,0.3277,0.8033,-0.4691,,0.0142
175,0.013,0.3277,0.8033,-0.482,,0.013
176,0.0371,0.3406,0.7904,-0.4691,,0.0371
177,0.0631,0.3406,0.8033,-0.4948,,0.0631
178,0.0841,0.3277,0.7904,-0.482,,0.0841
179,0.0578,0.3406,0.8033,-0.482,,0.0578
180,0.0177,0.3277,0.8161,-0.482,,0.0177
181,-0.0029,0.3406,0.8033,-0.4948,,0.0029
182,-0.0212,0.3406,0.7904,-0.5077,,0.0212
183,-0.0276,0.3406,0.8033,-0.4563,,0.0276
184,-0.0276,0.3406,0.8033,-0.4948,,0.0276
185,-0.017,0.3534,0.8033,-0.4948,,0.017
186,-0.013,0.3277,0.8033,-0.4948,,0.013
187,-0.0158,0.3406,0.8033,-0.4691,,0.0158
188,-0.0288,0.3792,0.7904,-0.482,,0.0288
189,-0.0478,0.3406,0.8033,-0.4691,,0.0478
190,-0.0431,0.3534,0.7904,-0.482,,0.0431
191,-0.0545,0.3406,0.7904,-0.482,,0.0545
192,-0.0789,0.3406,0.7904,-0.4563,,0.0789
193,-0.0634,0.3534,0.7904,-0.4948,,0.0634
194,-0.0479,0.3406,0.8161,-0.4691,,0.0479
195,-0.047,0.3277,0.7904,-0.4563,,0.047
196,-0.0574,0.3406,0.7904,-0.482,,0.0574
197,-0.0492,0.3406,0.7904,-0.482,,0.0492
198,-0.0428,0.3534,0.8033,-0.4691,,0.0428
199,-0.0398,0.3534,0.7904,-0.482,,0.0398
200,-0.0281,0.3534,0.7904,-0.4948,,0.0281
201,-0.0197,0.3277,0.8033,-0.482,,0.0197
202,0.0156,0.3534,0.8033,-0.4948,,0.0156
203,0.0038,0.3406,0.8033,-0.4948,,0.0038
204,-0.0327,0.3277,0.8033,-0.4691,,0.0327
205,-0.0313,0.3406,0.8161,-0.5077,,0.0313
206,-0.0468,0.3663,0.8033,-0.5077,,0.0468
207,-0.068,0.3534,0.7904,-0.4948,,0.068
208,-0.0441,0.3406,0.7904,-0.4948,,0.0441
209,-0.0615,0.3534,0.7904,-0.5077,,0.0615
210,-0.0695,0.3406,0.8033,-0.5205,,0.0695
211,-0.0466,0.3534,0.8033,-0.4948,,0.0466
212,-0.0258,0.3406,0.7904,-0.4948,,0.0258
213,-0.0173,0.3406,0.8033,-0.4691,,0.0173
214,-0.0031,0.3406,0.7904,-0.5077,,0.0031
215,-0.0016,0.3406,0.7904,-0.5205,,0.0016
216,-0.0234,0.3406,0.7776,-0.482,,0.0234
217,-0.02,0.3406,0.7904,-0.4948,,0.02
218,-0.0119,0.3277,0.7904,-0.482,,0.0119
219,-0.0273,0.3406,0.7904,-0.482,,0.0273
220,-0.0248,0.3406,0.8033,-0.5077,,0.0248
221,-0.0423,0.3534,0.7904,-0.5077,,0.0423
222,-0.0275,0.3406,0.7904,-0.5077,,0.0275
223,-0.0508,0.3534,0.7904,-0.4948,,0.0508
224,-0.0525,0.3406,0.7904,-0.482,,0.0525
225,-0.0746,0.3277,0.7776,-0.482,,0.0746
226,-0.0667,0.3406,0.7776,-0.4948,,0.0667
227,-0.076,0.3406,0.7904,-0.5077,,0.076
228,-0.0679,0.3406,0.7776,-0.482,,0.0679
229,-0.0687,0.3277,0.7776,-0.482,,0.0687
230,-0.0683,0.3406,0.7776,-0.4948,,0.0683
231,-0.0506,0.3406,0.7776,-0.5077,,0.0506
232,-0.0422,0.3406,0.7776,-0.5077,,0.0422
233,-0.0318,0.3277,0.7904,-0.482,,0.0318
234,-0.0342,0.3406,0.7776,-0.4948,,0.0342
235,-0.0188,0.3534,0.7776,-0.4691,,0.0188
236,-0.0211,0.3406,0.7776,-0.482,,0.0211
237,-0.0061,0.3534,0.7647,-0.482,,0.0061
238,0.0064,0.3277,0.7776,-0.4691,,0.0064
239,0.0007,0.3534,0.7647,-0.4691,,0.0007
240,-0.0072,0.3534,0.7776,-0.482,,0.0072
241,0.0138,0.3406,0.7904,-0.4948,,0.0138
242,0.0074,0.3277,0.7776,-0.4948,,0.0074
243,0.0102,0.3534,0.7776,-0.4948,,0.0102
244,-0.0056,0.3277,0.7776,-0.482,,0.0056
245,-0.0181,0.3534,0.7647,-0.482,,0.0181
246,-0.0351,0.3406,0.7904,-0.482,,0.0351
247,-0.0584,0.3406,0.7776,-0.4948,,0.0584
248,-0.0617,0.3406,0.7904,-0.482,,0.0617
249,-0.0818,0.3406,0.7647,-0.4691,,0.0818
250,-0.0756,0.3534,0.7776,-0.4691,,0.0756
251,-0.0616,0.3406,0.7776,-0.4563,,0.0616
252,-0.0483,0.3534,0.7904,-0.4691,,0.0483
253,-0.0749,0.3406,0.7776,-0.4691,,0.0749
254,-0.0803,0.3406,0.7776,-0.4691,,0.0803
255,-0.0636,0.3534,0.7776,-0.482,,0.0636
256,-0.0627,0.3534,0.7776,-0.4563,,0.0627
257,-0.0277,0.3277,0.7776,-0.4563,,0.0277
258,0.0181,0.3406,0.7776,-0.4691,,0.0181
259,0.0406,0.3277,0.7647,-0.482,,0.0406
260,0.0215,0.3406,0.7776,-0.4563,,0.0215
261,0.0207,0.3277,0.7776,-0.4691,,0.0207
262,0.0053,0.3406,0.7776,-0.482,,0.0053
263,0.0087,0.3792,0.7776,-0.4691,,0.0087
264,-0.0008,0.3406,0.7776,-0.482,,0.0008
265,-0.0098,0.3277,0.7904,-0.4563,,0.0098
266,-0.036,0.3406,0.7904,-0.4563,,0.036
267,-0.039,0.3406,0.7904,-0.4563,,0.039
268,-0.0364,0.3406,0.7904,-0.482,,0.0364
269,-0.0289,0.3406,0.7904,-0.4691,,0.0289
270,-0.0294,0.3534,0.7904,-0.4691,,0.0294
271,-0.0511,0.3534,0.7904,-0.4691,,0.0511
272,-0.0383,0.3277,0.7904,-0.4434,,0.0383
273,-0.0469,0.3277,0.7776,-0.4563,,0.0469
274,-0.0383,0.3406,0.8033,-0.4563,,0.0383
275,-0.0459,0.3406,0.7776,-0.482,,0.0459
276,-0.0611,0.3277,0.7904,-0.482,,0.0611
277,-0.0694,0.3406,0.7904,-0.4691,,0.0694
278,-0.076,0.3277,0.7904,-0.4563,,0.076
279,-0.0913,0.3406,0.7904,-0.4563,,0.0913
280,-0.0649,0.3277,0.8033,-0.4563,,0.0649
281,-0.0753,0.3406,0.8033,-0.4691,,0.0753
282,-0.0617,0.3277,0.7904,-0.482,,0.0617
283,-0.0394,0.3534,0.7904,-0.482,,0.0394
284,-0.0056,0.3534,0.7904,-0.482,,0.0056
285,0.0017,0.3534,0.7776,-0.482,,0.0017
286,-0.0163,0.3406,0.7776,-0.4691,,0.0163
287,-0.0133,0.3406,0.8033,-0.482,,0.0133
288,0.0003,0.3149,0.7904,-0.4691,,0.0003
289,0.0068,0.3406,0.7776,-0.482,,0.0068
290,0.0112,0.3277,0.7776,-0.4563,,0.0112
291,0.0181,0.3406,0.7904,-0.482,,0.0181
292,-0.0056,0.3534,0.8033,-0.482,,0.0056
293,0.0224,0.3406,0.7904,-0.4691,,0.0224
294,0.0145,0.3277,0.7904,-0.4691,,0.0145
295,0.0001,0.3406,0.7776,-0.4691,,0.0001
296,-0.0239,0.3277,0.7904,-0.4691,,0.0239
297,-0.0361,0.3277,0.7904,-0.4434,,0.0361
298,-0.0374,0.3406,0.8033,-0.4691,,0.0374
299,-0.051,0.3406,0.8033,-0.5077,,0.051
300,-0.0621,0.3277,0.7776,-0.482,,0.0621
301,-0.0669,0.3406,0.7904,-0.4948,,0.0669
302,-0.0622,0.3406,0.8033,-0.4948,,0.0622
303,-0.0788,0.3149,0.7904,-0.4948,,0.0788
304,-0.0492,0.3534,0.7904,-0.4948,,0.0492
305,-0.0455,0.3406,0.7904,-0.4948,,0.0455
306,-0.0534,0.3406,0.7904,-0.482,,0.0534
307,-0.0545,0.3406,0.7904,-0.482,,0.0545
308,-0.0599,0.3406,0.7776,-0.4948,,0.0599
309,-0.0409,0.3534,0.7904,-0.482,,0.0409
310,-0.0357,0.3534,0.7904,-0.482,,0.0357
311,-0.0076,0.3406,0.7776,-0.5077,,0.0076
312,-0.0126,0.3534,0.8033,-0.4691,,0.0126
313,-0.04,0.3406,0.7904,-0.5205,,0.04
314,-0.04,0.3534,0.8033,-0.4948,,0.04
315,-0.0585,0.3406,0.7776,-0.482,,0.0585
316,-0.0737,0.3534,0.7776,-0.482,,0.0737
317,-0.0565,0.3534,0.7904,-0.5077,,0.0565
318,-0.0455,0.392,0.8033,-0.4948,,0.0455
319,-0.0061,0.3406,0.7904,-0.5205,,0.0061
320,-0.0072,0.3406,0.7904,-0.4948,,0.0072
321,-0.0064,0.3406,0.7776,-0.482,,0.0064
322,-0.0083,0.3534,0.7776,-0.4691,,0.0083
323,-0.0251,0.3534,0.7904,-0.5077,,0.0251
324,-0.0307,0.3534,0.7904,-0.482,,0.0307
325,-0.0528,0.3406,0.7904,-0.4948,,0.0528
326,-0.065,0.3534,0.7904,-0.4691,,0.065
327,-0.0556,0.3534,0.7904,-0.482,,0.0556
328,-0.0511,0.3534,0.8033,-0.5077,,0.0511
329,-0.0576,0.3406,0.7904,-0.482,,0.0576
330,-0.0387,0.3534,0.7776,-0.5077,,0.0387
331,-0.0186,0.3534,0.7904,-0.4948,,0.0186
332,0.0041,0.3534,0.7776,-0.4948,,0.0041
333,0.0103,0.4177,0.7904,-0.4948,,0.0103
334,-0.0155,0.3534,0.7904,-0.5077,,0.0155
335,-0.0287,0.3406,0.7904,-0.5077,,0.0287
336,-0.0267,0.3534,0.7776,-0.482,,0.0267
337,-0.0291,0.3534,0.7776,-0.4948,,0.0291
338,-0.0125,0.3663,0.7776,-0.4948,,0.0125
339,-0.0393,0.3534,0.7776,-0.4948,,0.0393
340,-0.0354,0.3534,0.7776,-0.482,,0.0354
341,-0.023,0.3406,0.7776,-0.482,,0.023
342,-0.0357,0.3534,0.7904,-0.4948,,0.0357
343,-0.0357,0.3534,0.7776,-0.4691,,0.0357
344,-0.0201,0.3534,0.7904,-0.4948,,0.0201
345,-0.0012,0.3534,0.7904,-0.4948,,0.0012
346,0.0097,0.3534,0.7776,-0.5205,,0.0097
347,-0.0196,0.3663,0.7904,-0.4691,,0.0196
348,-0.0078,0.392,0.7776,-0.5077,,0.0078
349,-0.0018,0.3534,0.7776,-0.482,,0.0018
350,-0.0193,0.3534,0.7904,-0.482,,0.0193
351,-0.0345,0.3406,0.7904,-0.5077,,0.0345
352,-0.0593,0.3534,0.7776,-0.482,,0.0593
353,-0.0598,0.3534,0.7776,-0.482,,0.0598
354,-0.0545,0.3534,0.7776,-0.5077,,0.0545
355,-0.047,0.3534,0.7904,-0.4691,,0.047
356,-0.0294,0.3406,0.7904,-0.4948,,0.0294
357,-0.0397,0.3534,0.7904,-0.482,,0.0397
358,-0.0413,0.3406,0.7904,-0.482,,0.0413
359,-0.0313,0.3277,0.7904,-0.4691,,0.0313
360,-0.0338,0.3406,0.7904,-0.5077,,0.0338
361,-0.0237,0.3406,0.7904,-0.4948,,0.0237
362,-0.0056,0.3406,0.7904,-0.482,,0.0056
363,-0.0179,0.3277,0.7904,-0.4948,,0.0179
364,-0.0046,0.3406,0.7776,-0.482,,0.0046
365,-0.0078,0.3277,0.7904,-0.4948,,0.0078
366,0.0009,0.3406,0.8033,-0.4948,,0.0009
367,-0.0197,0.3406,0.7904,-0.5077,,0.0197
368,-0.0135,0.3406,0.7904,-0.482,,0.0135
369,-0.0305,0.3406,0.7904,-0.4691,,0.0305
370,-0.0396,0.3277,0.7776,-0.4948,,0.0396
371,-0.0636,0.3277,0.7904,-0.482,,0.0636
372,-0.0525,0.3277,0.8033,-0.4948,,0.0525
373,-0.0463,0.3149,0.7904,-0.482,,0.0463
374,-0.0656,0.3406,0.8033,-0.482,,0.0656
375,-0.0566,0.3277,0.7904,-0.482,,0.0566
376,-0.0618,0.3406,0.7904,-0.4948,,0.0618
377,-0.0559,0.3277,0.7776,-0.4948,,0.0559
378,-0.0631,0.3149,0.7904,-0.482,,0.0631
