製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 11:04,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,21332,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
1,0,-0.0064,0.8676,-0.4563,,0
2,-0.064,0.1092,0.8547,-0.135,,0.064
3,0.0916,0.1092,0.8418,-0.135,,0.0916
4,0.2281,0.1221,0.8676,-0.1221,,0.2281
5,0.2266,0.1092,0.8547,-0.1221,,0.2266
6,0.1829,0.1092,0.8547,-0.1092,,0.1829
7,0.1581,0.1092,0.8547,-0.1221,,0.1581
8,0.1254,0.1221,0.8676,-0.135,,0.1254
9,0.0404,0.1221,0.8547,-0.135,,0.0404
10,0.295,0.135,0.8676,-0.1092,,0.295
11,0.3041,0.1221,0.8547,-0.135,,0.3041
12,0.1184,0.1221,0.8676,-0.1092,,0.1184
13,-0.0581,0.135,0.8933,-0.1092,,0.0581
14,-0.1792,0.135,0.8804,-0.135,,0.1792
15,-0.2448,0.135,0.8804,-0.135,,0.2448
16,-0.2043,0.1478,0.8804,-0.135,,0.2043
17,-0.0574,0.1221,0.8804,-0.135,,0.0574
18,0.0818,0.1607,0.8804,-0.135,,0.0818
19,0.0983,0.1478,0.8804,-0.1478,,0.0983
20,0.073,0.135,0.8804,-0.1221,,0.073
21,0.027,0.1221,0.8933,-0.135,,0.027
22,0.0405,0.1092,0.9061,-0.1478,,0.0405
23,0.0298,0.1221,0.9061,-0.135,,0.0298
24,0.0831,0.1221,0.8933,-0.135,,0.0831
25,0.0807,0.1221,0.9061,-0.1221,,0.0807
26,0.0552,0.1221,0.8933,-0.1221,,0.0552
27,0.0264,0.1221,0.9061,-0.1478,,0.0264
28,0.0119,0.1092,0.9061,-0.1092,,0.0119
29,0.0185,0.1221,0.919,-0.1092,,0.0185
30,0.0057,0.1221,0.9318,-0.135,,0.0057
31,0.0613,0.1092,0.9318,-0.1478,,0.0613
32,0.114,0.1221,0.9318,-0.1607,,0.114
33,0.1232,0.0964,0.919,-0.1478,,0.1232
34,0.102,0.1221,0.9318,-0.1607,,0.102
35,0.0308,0.0964,0.9318,-0.1478,,0.0308
36,0.0151,0.0964,0.9318,-0.1478,,0.0151
37,0.061,0.0835,0.9447,-0.1221,,0.061
38,0.1415,0.0835,0.9318,-0.1478,,0.1415
39,0.1763,0.1092,0.9447,-0.1478,,0.1763
40,0.1544,0.0964,0.9447,-0.1735,,0.1544
41,0.0953,0.0964,0.9447,-0.1607,,0.0953
42,0.0444,0.0964,0.9447,-0.1607,,0.0444
43,0.0267,0.0964,0.9575,-0.135,,0.0267
44,0.0149,0.0835,0.9575,-0.1478,,0.0149
45,-0.001,0.0835,0.9575,-0.1607,,0.001
46,0.0029,0.0835,0.9575,-0.1607,,0.0029
47,-0.0125,0.0835,0.9575,-0.1607,,0.0125
48,0.0021,0.1221,0.9447,-0.1864,,0.0021
49,0.0231,0.0835,0.9447,-0.1864,,0.0231
50,0.0382,0.0707,0.9575,-0.1607,,0.0382
51,0.1845,0.0707,0.9704,-0.1478,,0.1845
52,0.2034,0.0578,0.9447,-0.1607,,0.2034
53,0.1329,0.0707,0.9575,-0.1607,,0.1329
54,0.0511,0.0578,0.9447,-0.1735,,0.0511
55,-0.0371,0.0835,0.9447,-0.1735,,0.0371
56,-0.0588,0.0835,0.9447,-0.1735,,0.0588
57,-0.0344,0.0835,0.9318,-0.1607,,0.0344
58,0.0177,0.0707,0.9447,-0.1607,,0.0177
59,0.0193,0.0707,0.9447,-0.1478,,0.0193
60,0.029,0.0835,0.9447,-0.1478,,0.029
61,0.0255,0.0707,0.9575,-0.135,,0.0255
62,-0.0065,0.0578,0.9318,-0.1478,,0.0065
63,-0.0199,0.135,0.9318,-0.1478,,0.0199
64,0.0079,0.0835,0.9318,-0.1607,,0.0079
65,0.0416,0.0707,0.9447,-0.1607,,0.0416
66,0.034,0.0707,0.9318,-0.135,,0.034
67,0.0467,0.0578,0.9447,-0.1221,,0.0467
68,0.0387,0.0707,0.9447,-0.1221,,0.0387
69,0.0251,0.0578,0.9318,-0.1478,,0.0251
70,0.0288,0.0707,0.9318,-0.1478,,0.0288
71,0.0486,0.0707,0.9318,-0.135,,0.0486
72,0.0866,0.0707,0.919,-0.1735,,0.0866
73,0.1119,0.0707,0.919,-0.1478,,0.1119
74,0.1115,0.0578,0.9318,-0.135,,0.1115
75,0.0915,0.0578,0.919,-0.1092,,0.0915
76,0.0796,0.0707,0.9447,-0.0964,,0.0796
77,0.0668,0.0578,0.9318,-0.1221,,0.0668
78,0.0386,0.0578,0.919,-0.1478,,0.0386
79,-0.012,0.0707,0.919,-0.1221,,0.012
80,-0.0495,0.0707,0.9318,-0.1478,,0.0495
81,-0.0291,0.0707,0.9318,-0.135,,0.0291
82,0.0045,0.0578,0.9318,-0.1221,,0.0045
83,0.0446,0.0707,0.919,-0.135,,0.0446
84,0.0768,0.0578,0.9318,-0.135,,0.0768
85,0.1298,0.0578,0.9318,-0.1478,,0.1298
86,0.1351,0.0707,0.919,-0.1478,,0.1351
87,0.1254,0.0835,0.9318,-0.1478,,0.1254
88,0.0924,0.0707,0.9318,-0.1478,,0.0924
89,0.0822,0.0707,0.919,-0.1221,,0.0822
90,0.0594,0.0578,0.9318,-0.1221,,0.0594
91,0.0691,0.0707,0.9318,-0.1092,,0.0691
92,0.0508,0.0707,0.9318,-0.1221,,0.0508
93,0.033,0.135,0.919,-0.1478,,0.033
94,-0.0166,0.0707,0.919,-0.135,,0.0166
95,0.0083,0.0707,0.919,-0.1478,,0.0083
96,0.0818,0.0707,0.9061,-0.1478,,0.0818
97,0.0793,0.0707,0.919,-0.1607,,0.0793
98,0.0581,0.0578,0.919,-0.1221,,0.0581
99,0.0409,0.0578,0.919,-0.1478,,0.0409
100,0.0568,0.0578,0.919,-0.135,,0.0568
101,0.0166,0.0707,0.9061,-0.135,,0.0166
102,-0.0118,0.0964,0.9061,-0.1607,,0.0118
103,-0.0995,0.135,0.8933,-0.1607,,0.0995
104,-0.1343,0.0707,0.9061,-0.135,,0.1343
105,-0.0727,0.0578,0.9061,-0.135,,0.0727
106,-0.0243,0.0707,0.9061,-0.1478,,0.0243
107,0.0342,0.0578,0.9061,-0.1478,,0.0342
108,0.0631,0.0578,0.9061,-0.1607,,0.0631
109,0.14,0.0578,0.9061,-0.135,,0.14
110,0.1987,0.0707,0.8933,-0.1478,,0.1987
111,0.1518,0.0578,0.8933,-0.135,,0.1518
112,0.1346,0.0707,0.8933,-0.1478,,0.1346
113,0.1357,0.0578,0.9061,-0.135,,0.1357
114,0.098,0.045,0.9061,-0.135,,0.098
115,0.0897,0.045,0.8933,-0.135,,0.0897
116,0.0873,0.045,0.8933,-0.1221,,0.0873
117,0.0495,0.045,0.8933,-0.0964,,0.0495
118,0.0492,0.0321,0.8933,-0.1221,,0.0492
119,0.0536,0.045,0.8676,-0.135,,0.0536
