製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 11:09,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
103,-0.0083,0.0707,0.9061,-0.2506,,0.0083
104,0.0382,0.0193,0.9061,-0.2635,,0.0382
105,0.0384,0.0193,0.9061,-0.2121,,0.0384
106,0.0587,0.0193,0.9061,-0.2249,,0.0587
107,0.0839,0.0193,0.8933,-0.2249,,0.0839
108,0.1273,0.0064,0.8933,-0.2378,,0.1273
109,0.1639,0.0321,0.9061,-0.2506,,0.1639
110,0.1709,0.0321,0.9061,-0.2378,,0.1709
111,0.1186,0.0321,0.8933,-0.2378,,0.1186
112,0.0897,0.0193,0.8933,-0.2506,,0.0897
113,0.0913,0.0193,0.9061,-0.2378,,0.0913
114,0.0273,0.0193,0.9061,-0.2506,,0.0273
115,-0.0078,0.0321,0.919,-0.2506,,0.0078
116,0.0047,0.0193,0.9061,-0.2506,,0.0047
117,0.004,0.0193,0.8933,-0.2378,,0.004
118,-0.0105,0.0064,0.8933,-0.2249,,0.0105
119,-0.0261,0.0193,0.8933,-0.2506,,0.0261
120,-0.0248,0.0193,0.9061,-0.2506,,0.0248
121,-0.0056,0.0064,0.8933,-0.2635,,0.0056
122,0.0119,0.0064,0.9061,-0.2249,,0.0119
123,0.0405,-0.0064,0.9061,-0.2378,,0.0405
124,0.0764,0.0193,0.9061,-0.2506,,0.0764
125,0.0946,0.0193,0.9061,-0.2378,,0.0946
126,0.1009,0.0064,0.8933,-0.2378,,0.1009
127,0.0895,0.0064,0.8933,-0.2506,,0.0895
128,0.0551,0.0064,0.8933,-0.2378,,0.0551
129,0.0188,0.0064,0.8933,-0.2378,,0.0188
130,-0.0045,0.0193,0.9061,-0.2378,,0.0045
131,-0.0151,0.0193,0.919,-0.2121,,0.0151
132,-0.0063,0.0064,0.9061,-0.2249,,0.0063
133,0.0691,0.0064,0.8933,-0.2506,,0.0691
134,0.0984,0.0193,0.8933,-0.2249,,0.0984
135,0.0969,0.0321,0.9061,-0.2249,,0.0969
136,0.0583,0.0064,0.8933,-0.2249,,0.0583
137,0.056,0.0064,0.8933,-0.2506,,0.056
138,0.0554,0.0193,0.8933,-0.2506,,0.0554
139,0.0548,0.0193,0.8933,-0.2249,,0.0548
140,0.047,0.0193,0.8804,-0.2249,,0.047
141,0.066,0.0193,0.8933,-0.2249,,0.066
142,0.0378,0.0193,0.8804,-0.2249,,0.0378
143,0.0442,0.0064,0.8933,-0.2249,,0.0442
144,0.0433,0.0193,0.8933,-0.2378,,0.0433
145,0.0237,0.0193,0.8933,-0.2249,,0.0237
146,0.0241,0.0193,0.9061,-0.2249,,0.0241
147,0.0327,0.0193,0.9061,-0.1992,,0.0327
148,0.0401,0.0835,0.8933,-0.1992,,0.0401
149,0.0512,0.0321,0.8933,-0.2249,,0.0512
150,0.0522,0.0321,0.8933,-0.2249,,0.0522
151,0.0957,0.0321,0.8933,-0.2506,,0.0957
152,0.1146,0.0193,0.8933,-0.2506,,0.1146
153,0.1028,0.0193,0.9061,-0.2249,,0.1028
154,0.1015,0.0064,0.9061,-0.2249,,0.1015
155,0.0768,0.0193,0.9061,-0.2378,,0.0768
156,0.0415,0.045,0.8933,-0.2378,,0.0415
157,-0.0015,0.0321,0.8933,-0.2378,,0.0015
158,-0.0111,0.0321,0.8933,-0.2506,,0.0111
159,-0.0254,0.0193,0.8933,-0.2249,,0.0254
160,0.0129,0.0321,0.9061,-0.2506,,0.0129
161,0.0268,0.0321,0.919,-0.2121,,0.0268
162,0.0393,0.045,0.9061,-0.2378,,0.0393
163,0.0324,0.0321,0.8933,-0.2506,,0.0324
164,0.0355,0.045,0.9061,-0.2506,,0.0355
165,0.0226,0.0321,0.9061,-0.2506,,0.0226
166,0.021,0.0321,0.9061,-0.2506,,0.021
167,0.0415,0.0193,0.8933,-0.2249,,0.0415
168,0.049,0.0193,0.8933,-0.2249,,0.049
169,0.0688,0.0193,0.9061,-0.2249,,0.0688
170,0.0477,0.0193,0.8933,-0.2506,,0.0477
171,0.0511,0.0321,0.8804,-0.2378,,0.0511
172,0.06,0.045,0.9061,-0.2249,,0.06
173,0.0593,0.045,0.8804,-0.2378,,0.0593
174,0.0845,0.0321,0.8933,-0.2249,,0.0845
175,0.068,0.0193,0.9061,-0.2378,,0.068
176,0.0664,0.045,0.9061,-0.2249,,0.0664
177,0.0401,0.0321,0.9061,-0.1992,,0.0401
178,0.0383,0.0321,0.8933,-0.1992,,0.0383
179,0.0661,0.0193,0.8933,-0.2378,,0.0661
180,0.0812,0.0321,0.8804,-0.2506,,0.0812
181,0.0947,0.0321,0.8933,-0.2378,,0.0947
182,0.0877,0.0321,0.8933,-0.2249,,0.0877
183,0.0713,0.0321,0.8933,-0.2378,,0.0713
