製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,10,,,,
計測開始時刻 ,00/00/00 00:12 ,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x8 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,0.4691,0.4948,-0.5462,0
2,-0.0431,0.4948,0.3277,-0.5077,0.0431
3,-0.0261,0.4948,0.3277,-0.5077,0.0261
4,-0.0126,0.5077,0.3149,-0.5205,0.0126
5,-0.0237,0.4948,0.3149,-0.5205,0.0237
6,-0.0292,0.4948,0.3277,-0.5205,0.0292
7,-0.0671,0.482,0.3277,-0.5205,0.0671
8,-0.0672,0.482,0.3277,-0.4948,0.0672
9,-0.0405,0.4948,0.3406,-0.482,0.0405
10,-0.0279,0.4948,0.3277,-0.5462,0.0279
11,-0.0138,0.4948,0.3277,-0.5334,0.0138
12,-0.0184,0.4948,0.3277,-0.5205,0.0184
13,-0.021,0.5077,0.3149,-0.5334,0.021
14,-0.0294,0.4948,0.3149,-0.5077,0.0294
15,-0.0442,0.482,0.3277,-0.5334,0.0442
16,-0.0408,0.482,0.3277,-0.5334,0.0408
17,-0.0386,0.482,0.3149,-0.5462,0.0386
18,-0.0404,0.5205,0.3277,-0.5334,0.0404
19,-0.0413,0.4948,0.3277,-0.5462,0.0413
20,-0.0527,0.482,0.3149,-0.5334,0.0527
21,-0.0613,0.5077,0.3149,-0.5205,0.0613
22,-0.0522,0.4948,0.3277,-0.5334,0.0522
23,-0.0427,0.4948,0.3277,-0.5077,0.0427
24,-0.0402,0.482,0.3277,-0.5462,0.0402
25,-0.0633,0.482,0.3277,-0.5334,0.0633
26,-0.0411,0.4948,0.3277,-0.5077,0.0411
27,-0.0247,0.4948,0.3277,-0.5205,0.0247
28,-0.0438,0.4948,0.3149,-0.5205,0.0438
29,-0.0467,0.5077,0.3277,-0.5077,0.0467
30,-0.0248,0.4948,0.3277,-0.5205,0.0248
31,-0.0026,0.4948,0.3406,-0.5591,0.0026
32,0.0261,0.4948,0.3277,-0.5077,0.0261
33,0.0199,0.5591,0.3277,-0.5334,0.0199
34,0.0001,0.4948,0.3277,-0.5462,0.0001
35,0.0124,0.5077,0.3277,-0.5462,0.0124
36,0.0116,0.5077,0.3277,-0.5462,0.0116
37,-0.1064,0.5077,0.3277,-0.5462,0.1064
38,-0.1578,0.4948,0.3406,-0.5462,0.1578
39,-0.1044,0.5205,0.3534,-0.5334,0.1044
40,-0.073,0.5077,0.3277,-0.5205,0.073
41,-0.07,0.5077,0.3277,-0.4948,0.07
42,-0.0456,0.5077,0.3406,-0.5334,0.0456
43,-0.0452,0.5205,0.3406,-0.5462,0.0452
44,-0.023,0.5077,0.3149,-0.5334,0.023
45,-0.0292,0.5077,0.3277,-0.5205,0.0292
46,-0.0231,0.5077,0.3277,-0.5591,0.0231
47,-0.0339,0.4948,0.3406,-0.5462,0.0339
48,-0.0343,0.4948,0.3277,-0.5334,0.0343
49,-0.0272,0.5205,0.3277,-0.5334,0.0272
50,-0.0202,0.5205,0.3277,-0.5591,0.0202
51,-0.0101,0.5205,0.3277,-0.5334,0.0101
52,-0.0113,0.5077,0.3277,-0.5462,0.0113
53,-0.0242,0.5077,0.3149,-0.5334,0.0242
54,-0.0178,0.5205,0.3406,-0.5591,0.0178
55,-0.0412,0.5205,0.3406,-0.5334,0.0412
56,-0.0442,0.5205,0.3277,-0.5591,0.0442
57,-0.0157,0.5334,0.3406,-0.5334,0.0157
58,-0.0198,0.5077,0.3277,-0.5848,0.0198
59,-0.0072,0.5205,0.3406,-0.5205,0.0072
60,-0.018,0.5205,0.3277,-0.5462,0.018
61,-0.0434,0.5205,0.3406,-0.5462,0.0434
62,-0.0614,0.5077,0.3406,-0.5462,0.0614
63,-0.0549,0.5591,0.3277,-0.5591,0.0549
64,-0.0462,0.5077,0.3406,-0.5334,0.0462
65,-0.036,0.5077,0.3277,-0.5719,0.036
66,-0.0497,0.5205,0.3406,-0.5462,0.0497
67,-0.058,0.5077,0.3277,-0.5719,0.058
68,-0.0417,0.5077,0.3277,-0.5719,0.0417
69,-0.0398,0.4948,0.3277,-0.5591,0.0398
70,-0.0394,0.5077,0.3534,-0.5591,0.0394
71,-0.03,0.5077,0.3406,-0.5591,0.03
72,-0.0354,0.5077,0.3406,-0.5848,0.0354
73,-0.028,0.5077,0.3406,-0.5591,0.028
74,0.0094,0.5077,0.3406,-0.5848,0.0094
75,0.0152,0.5205,0.3406,-0.5591,0.0152
76,0.0166,0.4948,0.3406,-0.5848,0.0166
77,-0.0178,0.4948,0.3534,-0.5976,0.0178
78,-0.0395,0.4691,0.3406,-0.5719,0.0395
79,-0.0634,0.4948,0.3277,-0.5848,0.0634
80,-0.0798,0.4948,0.3534,-0.5848,0.0798
81,-0.0544,0.5077,0.3534,-0.5976,0.0544
82,-0.045,0.482,0.3277,-0.5848,0.045
83,-0.0287,0.4948,0.3277,-0.5976,0.0287
84,-0.0075,0.482,0.3534,-0.5591,0.0075
85,-0.0211,0.4948,0.3534,-0.5719,0.0211
86,-0.0951,0.4948,0.3534,-0.5848,0.0951
87,-0.0858,0.4948,0.3406,-0.5848,0.0858
88,-0.0431,0.482,0.3406,-0.5848,0.0431
89,-0.0233,0.482,0.3406,-0.5848,0.0233
90,-0.0212,0.4948,0.3534,-0.6234,0.0212
91,-0.0303,0.482,0.3406,-0.6234,0.0303
92,-0.0232,0.4563,0.3534,-0.5976,0.0232
93,-0.0357,0.5077,0.3534,-0.6234,0.0357
94,-0.0501,0.4691,0.3534,-0.6105,0.0501
95,-0.0635,0.4563,0.3534,-0.5976,0.0635
96,-0.0594,0.4691,0.3663,-0.6105,0.0594
97,-0.065,0.4563,0.3406,-0.6105,0.065
98,-0.0658,0.4691,0.3534,-0.6234,0.0658
99,-0.0809,0.4563,0.3534,-0.5976,0.0809
100,-0.0431,0.4563,0.3663,-0.5976,0.0431
101,-0.009,0.4434,0.3534,-0.5719,0.009
102,0.0023,0.4434,0.3534,-0.6105,0.0023
103,-0.0042,0.4306,0.3534,-0.6105,0.0042
104,-0.0064,0.4434,0.3406,-0.5848,0.0064
105,-0.013,0.4434,0.3534,-0.5976,0.013
106,-0.0214,0.4563,0.3406,-0.5848,0.0214
107,-0.0168,0.4434,0.3406,-0.6105,0.0168
108,-0.0181,0.4434,0.3534,-0.5848,0.0181
109,0.0025,0.4434,0.3534,-0.5848,0.0025
110,0.0185,0.4434,0.3534,-0.5848,0.0185
111,-0.013,0.4563,0.3534,-0.5976,0.013
112,-0.0204,0.4434,0.3406,-0.5976,0.0204
113,-0.0556,0.4434,0.3277,-0.6105,0.0556
114,-0.0546,0.4563,0.3406,-0.5976,0.0546
115,-0.0924,0.4434,0.3277,-0.5976,0.0924
116,-0.0788,0.4563,0.3406,-0.5719,0.0788
117,-0.0441,0.4563,0.3406,-0.5976,0.0441
118,-0.0415,0.4434,0.3406,-0.5848,0.0415
119,-0.036,0.4563,0.3406,-0.6234,0.036
120,-0.035,0.4691,0.3277,-0.5848,0.035
121,-0.0478,0.4563,0.3406,-0.5976,0.0478
122,-0.0459,0.4563,0.3277,-0.5848,0.0459
123,-0.0438,0.4691,0.3406,-0.5976,0.0438
124,-0.0529,0.4691,0.3277,-0.5976,0.0529
125,-0.0371,0.4563,0.3277,-0.5848,0.0371
126,-0.0185,0.4563,0.3277,-0.5976,0.0185
127,-0.0318,0.4691,0.3277,-0.5976,0.0318
128,-0.0149,0.4691,0.3277,-0.5976,0.0149
129,-0.0196,0.482,0.3149,-0.5848,0.0196
130,-0.0092,0.482,0.3277,-0.5848,0.0092
131,-0.0115,0.4691,0.3149,-0.5976,0.0115
132,-0.0102,0.482,0.3277,-0.5976,0.0102
133,-0.0006,0.5334,0.3406,-0.5848,0.0006
134,0.0056,0.482,0.3149,-0.6234,0.0056
135,0.0079,0.4948,0.3277,-0.5976,0.0079
136,-0.0211,0.482,0.3277,-0.5976,0.0211
137,-0.085,0.4948,0.3149,-0.5848,0.085
138,-0.0907,0.482,0.3406,-0.6105,0.0907
139,-0.0954,0.4948,0.3406,-0.5848,0.0954
140,-0.1214,0.482,0.3406,-0.5976,0.1214
141,-0.0982,0.4948,0.3277,-0.5719,0.0982
142,-0.0611,0.4948,0.3277,-0.6105,0.0611
143,-0.0327,0.4948,0.3406,-0.6105,0.0327
144,-0.0133,0.482,0.3277,-0.5976,0.0133
145,-0.0138,0.4948,0.3406,-0.6105,0.0138
146,0.0138,0.4948,0.3406,-0.5976,0.0138
147,-0.0189,0.5077,0.3406,-0.5848,0.0189
148,-0.0248,0.5334,0.3534,-0.5976,0.0248
149,-0.0185,0.5077,0.3406,-0.5848,0.0185
150,-0.0067,0.4948,0.3406,-0.5976,0.0067
151,-0.0118,0.4948,0.3277,-0.6105,0.0118
152,-0.0603,0.4948,0.3277,-0.5976,0.0603
153,-0.0482,0.4948,0.3277,-0.5976,0.0482
154,-0.0713,0.5077,0.3406,-0.6105,0.0713
155,-0.0973,0.4948,0.3406,-0.6105,0.0973
156,-0.0918,0.4948,0.3406,-0.6105,0.0918
157,-0.0847,0.4948,0.3406,-0.6105,0.0847
158,-0.0556,0.4948,0.3406,-0.6234,0.0556
159,-0.057,0.5077,0.3534,-0.6234,0.057
160,-0.0367,0.5077,0.3277,-0.6362,0.0367
161,-0.0045,0.4948,0.3406,-0.6234,0.0045
162,0.0008,0.4948,0.3534,-0.6105,0.0008
163,0.0059,0.482,0.3406,-0.5976,0.0059
164,0.0272,0.4948,0.3406,-0.6362,0.0272
165,0.0287,0.482,0.3406,-0.6234,0.0287
166,0.0149,0.4948,0.3534,-0.6234,0.0149
167,-0.0257,0.4948,0.3406,-0.6362,0.0257
168,-0.0327,0.4948,0.3406,-0.6234,0.0327
169,-0.0393,0.4948,0.3406,-0.6234,0.0393
170,-0.0706,0.4948,0.3406,-0.6362,0.0706
171,-0.0632,0.482,0.3406,-0.6619,0.0632
172,-0.0367,0.482,0.3406,-0.6362,0.0367
173,-0.0318,0.482,0.3277,-0.6362,0.0318
174,-0.0814,0.4948,0.3277,-0.6491,0.0814
175,-0.0869,0.482,0.3277,-0.6105,0.0869
176,-0.0511,0.482,0.3149,-0.6491,0.0511
177,-0.0229,0.4691,0.3277,-0.6362,0.0229
178,-0.0131,0.482,0.3277,-0.6105,0.0131
179,-0.0079,0.5077,0.3406,-0.6362,0.0079
180,-0.0146,0.4948,0.3406,-0.6234,0.0146
181,-0.0215,0.482,0.3277,-0.6234,0.0215
182,-0.0357,0.4948,0.3277,-0.6362,0.0357
183,-0.0573,0.4948,0.3277,-0.6491,0.0573
184,-0.0467,0.482,0.3277,-0.6491,0.0467
185,-0.0491,0.482,0.3277,-0.6491,0.0491
186,-0.0322,0.482,0.3277,-0.6362,0.0322
187,-0.051,0.4691,0.3149,-0.6491,0.051
188,-0.0631,0.5334,0.3277,-0.6362,0.0631
189,-0.0914,0.482,0.3277,-0.6491,0.0914
190,-0.1009,0.482,0.3277,-0.6105,0.1009
191,-0.0812,0.482,0.3277,-0.6491,0.0812
192,-0.0797,0.482,0.3277,-0.6234,0.0797
193,-0.0675,0.4691,0.3277,-0.6234,0.0675
194,-0.0574,0.4691,0.3406,-0.6234,0.0574
195,-0.0434,0.4691,0.3277,-0.6105,0.0434
196,-0.0027,0.4691,0.3406,-0.6234,0.0027
197,0.0096,0.4691,0.3277,-0.6362,0.0096
198,0.0179,0.4563,0.3277,-0.6362,0.0179
199,0.0241,0.4691,0.3149,-0.6234,0.0241
200,0.0167,0.4563,0.3277,-0.6491,0.0167
201,0.0323,0.4434,0.3277,-0.6234,0.0323
202,0.0469,0.4434,0.3406,-0.6619,0.0469
203,0.0221,0.482,0.3277,-0.6491,0.0221
204,0.0215,0.4563,0.3277,-0.6619,0.0215
205,0.0067,0.4691,0.3277,-0.6362,0.0067
206,-0.043,0.4563,0.3277,-0.6619,0.043
207,-0.046,0.4563,0.3406,-0.6234,0.046
208,-0.0291,0.4306,0.3277,-0.6491,0.0291
209,-0.0364,0.4434,0.3277,-0.6362,0.0364
210,-0.0471,0.4306,0.3406,-0.6362,0.0471
211,-0.051,0.4434,0.3406,-0.6491,0.051
212,-0.0808,0.4306,0.3406,-0.6491,0.0808
213,-0.0694,0.4434,0.3406,-0.6619,0.0694
214,-0.0837,0.4434,0.3406,-0.6619,0.0837
215,-0.0539,0.4306,0.3277,-0.6491,0.0539
