製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:10,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.5976,0.6619,0.045,0
2,0.0287,-0.6105,0.6234,0.0964,0.0287
3,0.0367,-0.6105,0.6105,0.1092,0.0367
4,0.0396,-0.6105,0.6234,0.1092,0.0396
5,0.0442,-0.5976,0.6362,0.0964,0.0442
6,0.0518,-0.6105,0.6362,0.0964,0.0518
7,0.0582,-0.6105,0.6234,0.0964,0.0582
8,0.0394,-0.6105,0.6105,0.1092,0.0394
9,0.0232,-0.6105,0.6234,0.0964,0.0232
10,0.0302,-0.5976,0.6234,0.1092,0.0302
11,0.0294,-0.5976,0.6234,0.0964,0.0294
12,0.0192,-0.5976,0.6234,0.0964,0.0192
13,0.0258,-0.5976,0.6234,0.0964,0.0258
14,0.0243,-0.6234,0.6362,0.1092,0.0243
15,0.0182,-0.5976,0.6362,0.0578,0.0182
16,0.027,-0.5976,0.6362,0.0964,0.027
17,0.019,-0.6105,0.6234,0.0835,0.019
18,0.0001,-0.5976,0.6105,0.0835,0.0001
19,0.0064,-0.5848,0.6234,0.0835,0.0064
20,0.0082,-0.5976,0.6234,0.0835,0.0082
21,0.0233,-0.6105,0.6234,0.0964,0.0233
22,0.0288,-0.5976,0.6362,0.0835,0.0288
23,0.0327,-0.5976,0.6234,0.0964,0.0327
24,0.0119,-0.6105,0.6234,0.0835,0.0119
25,0.0203,-0.5976,0.6105,0.0835,0.0203
26,0.0262,-0.5976,0.6105,0.0578,0.0262
27,0.0398,-0.6105,0.6105,0.0835,0.0398
28,0.0371,-0.6105,0.6234,0.0707,0.0371
29,0.0347,-0.6105,0.6234,0.0835,0.0347
30,0.0352,-0.5976,0.6234,0.1221,0.0352
31,0.0428,-0.5976,0.6234,0.0964,0.0428
32,0.0379,-0.5848,0.6234,0.0964,0.0379
33,0.0318,-0.6105,0.6105,0.0707,0.0318
34,0.0281,-0.5848,0.6234,0.0707,0.0281
35,0.0321,-0.6105,0.6234,0.0964,0.0321
36,0.0416,-0.6105,0.6105,0.0964,0.0416
37,0.0401,-0.6234,0.6234,0.0964,0.0401
38,0.0328,-0.6105,0.6105,0.0964,0.0328
39,0.0347,-0.6105,0.6105,0.1092,0.0347
40,0.0292,-0.6105,0.6105,0.0964,0.0292
41,0.0226,-0.5976,0.6105,0.0835,0.0226
42,0.0045,-0.6105,0.6105,0.0964,0.0045
43,0.0116,-0.6105,0.6105,0.0964,0.0116
44,0.0307,-0.6234,0.6105,0.0964,0.0307
45,0.024,-0.6234,0.6234,0.1092,0.024
46,0.0307,-0.6234,0.6362,0.1092,0.0307
47,0.009,-0.6234,0.6234,0.0964,0.009
48,0.0225,-0.6234,0.6105,0.1092,0.0225
49,0.0051,-0.6105,0.5976,0.0964,0.0051
50,0.02,-0.6234,0.6105,0.0964,0.02
51,0.0148,-0.6362,0.6105,0.0835,0.0148
52,0.0212,-0.6234,0.6234,0.1092,0.0212
53,0.0275,-0.6234,0.5976,0.0835,0.0275
54,0.0136,-0.6362,0.6105,0.0964,0.0136
55,0.023,-0.6234,0.5976,0.1092,0.023
56,0.0331,-0.6234,0.5976,0.0835,0.0331
57,0.0235,-0.6234,0.6105,0.0964,0.0235
58,0.0289,-0.6234,0.5976,0.0964,0.0289
59,0.012,-0.6362,0.5976,0.1221,0.012
60,0.0119,-0.6234,0.6234,0.1092,0.0119
61,0.0036,-0.6234,0.6105,0.0964,0.0036
62,-0.0032,-0.6362,0.5976,0.1092,0.0032
63,-0.0006,-0.6234,0.6234,0.0835,0.0006
64,-0.0083,-0.6105,0.5976,0.0964,0.0083
65,-0.0067,-0.6362,0.5976,0.0964,0.0067
66,-0.0105,-0.6234,0.6105,0.1221,0.0105
67,-0.0178,-0.6362,0.5976,0.1221,0.0178
68,-0.0021,-0.6362,0.6105,0.1092,0.0021
69,0.0204,-0.6362,0.5976,0.1092,0.0204
70,0.0396,-0.6362,0.5976,0.0964,0.0396
71,0.0522,-0.6234,0.6105,0.1092,0.0522
72,0.0794,-0.6234,0.6105,0.1092,0.0794
73,0.0807,-0.6234,0.6105,0.1092,0.0807
74,0.0757,-0.6234,0.5976,0.1221,0.0757
75,0.0596,-0.6234,0.5976,0.0964,0.0596
76,0.0512,-0.6362,0.6105,0.1092,0.0512
77,0.0405,-0.6105,0.5976,0.0964,0.0405
78,0.0313,-0.6234,0.5848,0.1092,0.0313
79,0.0252,-0.6234,0.5719,0.1092,0.0252
80,0.0185,-0.6234,0.5976,0.0964,0.0185
81,0.016,-0.6234,0.5848,0.1092,0.016
82,0.0248,-0.6362,0.6105,0.1092,0.0248
83,0.014,-0.6234,0.5848,0.1221,0.014
84,0.0035,-0.6234,0.5848,0.0964,0.0035
85,0.0003,-0.6234,0.5848,0.1221,0.0003
86,-0.0072,-0.6234,0.5848,0.1221,0.0072
87,-0.0103,-0.6105,0.5976,0.0964,0.0103
88,-0.0019,-0.6234,0.5848,0.1221,0.0019
89,0.004,-0.6105,0.5719,0.0964,0.004
90,0.0046,-0.6234,0.5848,0.0964,0.0046
91,-0.0075,-0.6234,0.5848,0.1092,0.0075
92,0.0017,-0.6105,0.5848,0.0964,0.0017
93,0.0026,-0.6234,0.5848,0.1092,0.0026
94,-0.0031,-0.6105,0.5848,0.1092,0.0031
95,-0.0149,-0.6105,0.5848,0.0964,0.0149
96,-0.0158,-0.6105,0.5848,0.1092,0.0158
97,0.0085,-0.6105,0.5848,0.1092,0.0085
98,0.0122,-0.6105,0.5976,0.1092,0.0122
99,0.0174,-0.6105,0.5848,0.1221,0.0174
100,0.009,-0.6234,0.5848,0.0964,0.009
