製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:10,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
108,0.0195,-0.6362,0.6362,0.0707,0.0195
109,0.0206,-0.6234,0.6362,0.0578,0.0206
110,0.0353,-0.6234,0.6362,0.0835,0.0353
111,0.0149,-0.6234,0.6362,0.0835,0.0149
112,0.0226,-0.6234,0.6234,0.0707,0.0226
113,0.0149,-0.6234,0.6234,0.0707,0.0149
114,0.0325,-0.6491,0.6234,0.0835,0.0325
115,0.0235,-0.6362,0.6234,0.0707,0.0235
116,0.0108,-0.6362,0.6362,0.0321,0.0108
117,0.0182,-0.6234,0.6491,0.0835,0.0182
118,0.0285,-0.5591,0.6234,0.0707,0.0285
119,0.0416,-0.6105,0.6362,0.0707,0.0416
120,0.038,-0.6362,0.6362,0.0578,0.038
121,0.0466,-0.6362,0.6234,0.0578,0.0466
122,0.0406,-0.6362,0.6491,0.0835,0.0406
123,0.0415,-0.6362,0.6491,0.0835,0.0415
124,0.0295,-0.6234,0.6362,0.0835,0.0295
125,0.0188,-0.6234,0.6234,0.0707,0.0188
126,0.0225,-0.6234,0.6105,0.0835,0.0225
127,0.0214,-0.6234,0.6234,0.0707,0.0214
128,0.0266,-0.6234,0.6362,0.0835,0.0266
129,0.0266,-0.6362,0.6234,0.0578,0.0266
130,0.0111,-0.6362,0.6362,0.0578,0.0111
131,0.0141,-0.6491,0.6105,0.0578,0.0141
132,0.0152,-0.6234,0.6362,0.0578,0.0152
133,0.0124,-0.6234,0.6234,0.0835,0.0124
134,-0.002,-0.5848,0.6362,0.0321,0.002
135,0.0147,-0.6234,0.6234,0.0707,0.0147
136,0.0217,-0.6234,0.6234,0.0707,0.0217
137,0.0137,-0.6234,0.6234,0.045,0.0137
138,0.0189,-0.6234,0.6234,0.0835,0.0189
139,0.0087,-0.6234,0.6362,0.0707,0.0087
140,0.0134,-0.6234,0.6234,0.0964,0.0134
141,0.0007,-0.6234,0.6234,0.0707,0.0007
142,0.0019,-0.6234,0.6234,0.0835,0.0019
143,0.0228,-0.6234,0.6234,0.0707,0.0228
144,0.016,-0.6234,0.6234,0.0707,0.016
145,0.0259,-0.6362,0.6234,0.0707,0.0259
146,0.0309,-0.6362,0.6234,0.0835,0.0309
147,0.0419,-0.6234,0.6234,0.0578,0.0419
148,0.0387,-0.6234,0.6234,0.0578,0.0387
149,0.0307,-0.6105,0.6234,0.045,0.0307
150,0.03,-0.6105,0.6234,0.0707,0.03
151,0.0481,-0.6234,0.6362,0.0707,0.0481
152,0.0404,-0.6234,0.6234,0.0835,0.0404
153,0.0431,-0.6362,0.6491,0.0835,0.0431
154,0.0308,-0.6234,0.6362,0.0707,0.0308
155,0.0294,-0.6234,0.6362,0.0835,0.0294
156,0.024,-0.6234,0.6362,0.0578,0.024
157,0.0345,-0.6234,0.6105,0.0707,0.0345
158,0.0231,-0.6234,0.6234,0.0707,0.0231
159,0.0261,-0.6234,0.6362,0.0578,0.0261
160,0.0353,-0.6234,0.6362,0.0707,0.0353
161,0.0217,-0.6234,0.6234,0.0964,0.0217
162,0.0268,-0.6234,0.6362,0.0707,0.0268
163,0.0108,-0.6234,0.6105,0.0578,0.0108
164,0.0186,-0.6234,0.6362,0.0835,0.0186
165,0.0147,-0.6234,0.6234,0.0707,0.0147
166,0.0163,-0.6105,0.6234,0.0707,0.0163
167,0.0062,-0.6105,0.6362,0.0578,0.0062
168,0.0085,-0.6234,0.6362,0.0707,0.0085
169,0.0146,-0.6234,0.6234,0.045,0.0146
170,0.0263,-0.6105,0.6362,0.0707,0.0263
171,0.0078,-0.6105,0.6362,0.0707,0.0078
172,0.0006,-0.6105,0.6234,0.0707,0.0006
173,0.0156,-0.6105,0.6234,0.0578,0.0156
174,0.0171,-0.6234,0.6234,0.0835,0.0171
175,-0.0062,-0.6105,0.6362,0.0835,0.0062
176,0.0006,-0.6234,0.6234,0.045,0.0006
177,0.0118,-0.6234,0.6234,0.0707,0.0118
178,-0.0002,-0.6234,0.6362,0.0193,0.0002
179,0.0111,-0.5976,0.6234,0.045,0.0111
180,0.0259,-0.5976,0.6362,0.0578,0.0259
181,0.0225,-0.6105,0.6234,0.0835,0.0225
182,0.016,-0.6105,0.6234,0.0835,0.016
183,0.0125,-0.6105,0.6234,0.0964,0.0125
184,0.0394,-0.6234,0.6362,0.0707,0.0394
185,0.0322,-0.6105,0.6362,0.0707,0.0322
186,0.0413,-0.5976,0.6362,0.0835,0.0413
187,0.0301,-0.6234,0.6234,0.045,0.0301
188,0.0049,-0.5719,0.6105,0.045,0.0049
189,0.0051,-0.5976,0.6234,0.0578,0.0051
190,0.0048,-0.6234,0.6362,0.0835,0.0048
191,0.0175,-0.6105,0.6362,0.0707,0.0175
192,0.0182,-0.6234,0.6362,0.0707,0.0182
193,0.0231,-0.6105,0.6362,0.0835,0.0231
194,0.0386,-0.6105,0.6362,0.0578,0.0386
195,0.033,-0.5976,0.6362,0.0707,0.033
196,0.0335,-0.6105,0.6234,0.0707,0.0335
197,0.0242,-0.6105,0.6234,0.0578,0.0242
198,0.0196,-0.6105,0.6234,0.0578,0.0196
199,0.0307,-0.6234,0.6362,0.045,0.0307
200,0.0306,-0.6105,0.6362,0.0835,0.0306
201,0.0252,-0.6105,0.6491,0.0707,0.0252
202,0.0336,-0.6105,0.6362,0.045,0.0336
203,0.016,-0.5334,0.6234,0.045,0.016
204,0.0419,-0.5719,0.6234,0.045,0.0419
205,0.0357,-0.6234,0.6234,0.0707,0.0357
206,0.0356,-0.6105,0.6362,0.0578,0.0356
207,0.0265,-0.6234,0.6234,0.0707,0.0265
208,0.0199,-0.6234,0.6234,0.0707,0.0199
209,0.033,-0.6234,0.6234,0.0707,0.033
210,0.024,-0.6105,0.6234,0.045,0.024
211,0.0332,-0.6105,0.6234,0.0578,0.0332
212,0.0313,-0.6105,0.6362,0.0707,0.0313
213,0.0113,-0.6105,0.6362,0.0707,0.0113
214,0.016,-0.6362,0.6234,0.0707,0.016
215,0.0196,-0.6105,0.6362,0.0707,0.0196
216,0.0177,-0.5976,0.6362,0.045,0.0177
217,0.0202,-0.6105,0.6362,0.0578,0.0202
218,0.0131,-0.6105,0.6234,0.0707,0.0131
219,0.0262,-0.6105,0.6105,0.0707,0.0262
220,0.0292,-0.6105,0.6234,0.0707,0.0292
221,0.0361,-0.6105,0.6234,0.0707,0.0361
222,0.0226,-0.6234,0.6234,0.0835,0.0226
223,0.0166,-0.6234,0.6362,0.0578,0.0166
