製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:37,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.3792,0.739,0.2249,0
2,0.0302,-0.4306,0.7519,0.1478,0.0302
3,0.0236,-0.4306,0.7519,0.135,0.0236
4,0.0446,-0.4434,0.739,0.1092,0.0446
5,0.0242,-0.4306,0.7519,0.1221,0.0242
6,0.0218,-0.4177,0.7519,0.1221,0.0218
7,-0.0059,-0.4177,0.7519,0.1092,0.0059
8,-0.0034,-0.4306,0.7519,0.1092,0.0034
9,-0.0045,-0.4177,0.7647,0.135,0.0045
10,0.003,-0.4306,0.7519,0.1221,0.003
11,-0.0012,-0.4177,0.7519,0.1478,0.0012
12,0.0445,-0.4177,0.7519,0.135,0.0445
13,0.0529,-0.4177,0.7519,0.1092,0.0529
14,0.0562,-0.4306,0.739,0.135,0.0562
15,0.033,-0.4177,0.739,0.1221,0.033
16,0.0495,-0.4177,0.7519,0.1478,0.0495
17,0.0416,-0.4306,0.7647,0.1607,0.0416
18,0.0423,-0.4306,0.7262,0.1478,0.0423
19,0.0091,-0.4306,0.7262,0.135,0.0091
20,0.0456,-0.4306,0.739,0.1221,0.0456
21,0.043,-0.4306,0.739,0.1092,0.043
22,0.0257,-0.4177,0.739,0.1092,0.0257
23,0.0272,-0.4177,0.739,0.1221,0.0272
24,0.0186,-0.4306,0.739,0.135,0.0186
25,0.0134,-0.4177,0.739,0.135,0.0134
26,0.0241,-0.4177,0.739,0.135,0.0241
27,-0.0001,-0.4177,0.7519,0.135,0.0001
28,0.0276,-0.4177,0.7519,0.1221,0.0276
29,0.0398,-0.4177,0.739,0.1221,0.0398
30,0.0506,-0.4049,0.739,0.135,0.0506
31,0.0522,-0.4177,0.739,0.1092,0.0522
32,0.0514,-0.4306,0.739,0.1221,0.0514
33,0.0464,-0.3534,0.7519,0.135,0.0464
34,0.0451,-0.4177,0.7262,0.1092,0.0451
35,-0.0166,-0.4306,0.739,0.1092,0.0166
36,-0.0064,-0.4049,0.739,0.135,0.0064
37,0.014,-0.4177,0.739,0.1221,0.014
38,0.0001,-0.4177,0.739,0.135,0.0001
39,-0.022,-0.4049,0.739,0.1221,0.022
40,0.0296,-0.4177,0.739,0.1221,0.0296
41,0.0278,-0.4049,0.7519,0.135,0.0278
42,0.0252,-0.4177,0.739,0.135,0.0252
43,0.0402,-0.4049,0.739,0.135,0.0402
44,0.0374,-0.4049,0.7519,0.1221,0.0374
45,0.0431,-0.4049,0.739,0.1221,0.0431
46,0.044,-0.4049,0.739,0.135,0.044
47,0.0582,-0.4177,0.739,0.1221,0.0582
48,0.0316,-0.4177,0.739,0.135,0.0316
49,0.0175,-0.4177,0.7262,0.135,0.0175
50,0.0427,-0.4177,0.739,0.135,0.0427
51,0.0126,-0.4049,0.7262,0.135,0.0126
52,0.0393,-0.4049,0.7262,0.1221,0.0393
53,0.0285,-0.4049,0.739,0.135,0.0285
54,0.0157,-0.4177,0.7262,0.135,0.0157
55,0.0269,-0.4177,0.7262,0.1221,0.0269
56,0.0152,-0.4177,0.7519,0.135,0.0152
57,0.0101,-0.4306,0.739,0.1092,0.0101
58,0.035,-0.4177,0.7519,0.1478,0.035
59,0.024,-0.4049,0.739,0.1221,0.024
60,0.0118,-0.4177,0.7519,0.1478,0.0118
61,0.0519,-0.4177,0.739,0.1221,0.0519
62,0.0236,-0.4177,0.739,0.1221,0.0236
63,0.0306,-0.3406,0.739,0.135,0.0306
64,0.0342,-0.4177,0.7262,0.135,0.0342
65,0.018,-0.4306,0.739,0.1221,0.018
66,0.0426,-0.4306,0.739,0.1221,0.0426
67,0.0087,-0.4049,0.739,0.1221,0.0087
68,0.0263,-0.4177,0.7262,0.1092,0.0263
69,0.019,-0.4177,0.7262,0.135,0.019
70,0.04,-0.4177,0.739,0.1221,0.04
71,0.0078,-0.4306,0.7519,0.1478,0.0078
72,0.019,-0.4177,0.739,0.1478,0.019
73,0.0456,-0.4177,0.7519,0.1607,0.0456
74,0.0352,-0.4306,0.739,0.1607,0.0352
75,0.0577,-0.4306,0.739,0.1478,0.0577
76,0.0253,-0.4177,0.739,0.1478,0.0253
77,0.0292,-0.4177,0.739,0.1735,0.0292
78,0.0438,-0.4049,0.7262,0.135,0.0438
79,0.0475,-0.4049,0.739,0.135,0.0475
80,0.001,-0.4306,0.739,0.1735,0.001
81,0.0149,-0.4177,0.739,0.1607,0.0149
82,0.0195,-0.4177,0.7262,0.135,0.0195
83,0.0281,-0.4177,0.7262,0.1607,0.0281
84,0.0343,-0.4049,0.739,0.135,0.0343
85,0.0286,-0.4049,0.7133,0.1607,0.0286
86,0.0628,-0.4177,0.739,0.1478,0.0628
87,0.0292,-0.4177,0.7262,0.135,0.0292
