製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:36,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
110,0.0431,-0.3534,0.739,0.2121,0.0431
111,0.0316,-0.3534,0.7262,0.1992,0.0316
112,-0.0119,-0.3406,0.7262,0.2249,0.0119
113,-0.0029,-0.3534,0.7262,0.2249,0.0029
114,0.0206,-0.3534,0.7519,0.1992,0.0206
115,0.0078,-0.3663,0.739,0.2121,0.0078
116,0.0264,-0.3534,0.7519,0.2378,0.0264
117,0.0113,-0.3534,0.739,0.2249,0.0113
118,0.0336,-0.3534,0.7262,0.1992,0.0336
119,0.0486,-0.3406,0.7133,0.2121,0.0486
120,0.0567,-0.3534,0.7262,0.2121,0.0567
121,0.0252,-0.3534,0.7262,0.2121,0.0252
122,0.0331,-0.3534,0.739,0.2378,0.0331
123,0.0237,-0.3792,0.739,0.1992,0.0237
124,0.0309,-0.3663,0.739,0.2121,0.0309
125,0.0274,-0.3534,0.739,0.2249,0.0274
126,0.0311,-0.3534,0.739,0.2121,0.0311
127,0.0492,-0.3534,0.739,0.2121,0.0492
128,0.0511,-0.3406,0.7262,0.2249,0.0511
129,0.0302,-0.3534,0.739,0.2121,0.0302
130,0.0555,-0.3663,0.739,0.2249,0.0555
131,0.0429,-0.3792,0.7519,0.2506,0.0429
132,0.0406,-0.3534,0.7647,0.2249,0.0406
133,0.0711,-0.3663,0.7519,0.2121,0.0711
134,0.0584,-0.3534,0.7262,0.2121,0.0584
135,0.0052,-0.3406,0.739,0.2121,0.0052
136,-0.0155,-0.3663,0.739,0.2249,0.0155
137,0.0319,-0.3534,0.739,0.2378,0.0319
138,0.0152,-0.3663,0.739,0.2249,0.0152
139,0.0101,-0.3663,0.7519,0.2249,0.0101
140,0.0284,-0.3663,0.739,0.2378,0.0284
141,-0.0025,-0.3663,0.7519,0.2249,0.0025
142,-0.0141,-0.3663,0.7519,0.2249,0.0141
143,0.0243,-0.3663,0.7519,0.2121,0.0243
144,0.0324,-0.3663,0.7262,0.2249,0.0324
145,0.0209,-0.3534,0.7519,0.2378,0.0209
146,0.038,-0.3663,0.7519,0.2506,0.038
147,0.0327,-0.3534,0.7519,0.2249,0.0327
148,0.0378,-0.302,0.7519,0.2121,0.0378
149,0.0486,-0.3534,0.739,0.1992,0.0486
150,0.0201,-0.3534,0.7519,0.2378,0.0201
151,0.0434,-0.3534,0.7519,0.2249,0.0434
152,0.0374,-0.3663,0.7519,0.2121,0.0374
