[位置・速度],,,,,,,,
,,,,,,,,
"ファイル        , C:\Users\bcl\Documents\計測データ\227\Session005\Temp.AVI",,,,,,,,
"シーン数        ,   4001",,,,,,,,
"計測点数        ,      3",,,,,,,,
"コマ数／単位時間, 200.00/s, フレーム間隔, 0.01s",,,,,,,,
"計測インターバル, 1",,,,,,,,
"距離スケール    , 0.11cm/画素",,,,,,,,
"原点X           , 0.00",,,,,,,,
"原点Y           , 0.00",,,,,,,,
"回転角          , 0.00",,,,,,,,
"Y軸方向         , 1",,,,,,,,
,,,座標X,,,座標Y,,
 ,シーン,時間(s),計測点1,計測点2,計測点3,計測点1,計測点2,計測点3
,80,0.40,25.83,20.05,39.40,4.64,19.05,32.45
,81,0.40,25.77,19.82,39.82,4.64,18.95,31.91
,82,0.41,25.71,19.63,40.28,4.64,18.88,31.32
,83,0.41,25.70,19.44,40.72,4.63,18.80,30.69
,84,0.42,25.68,19.26,41.13,4.63,18.77,30.09
,85,0.42,25.68,19.10,41.54,4.63,18.72,29.40
,86,0.42,25.70,18.95,41.90,4.64,18.68,28.74
,87,0.43,25.70,18.82,42.25,4.66,18.68,28.02
,88,0.44,25.72,18.73,42.57,4.66,18.66,27.30
,89,0.44,25.74,18.63,42.85,4.69,18.65,26.59
,90,0.45,25.75,18.61,43.08,4.70,18.64,25.82
,91,0.45,25.81,18.57,43.28,4.72,18.63,25.11
,92,0.46,25.83,18.59,43.41,4.74,18.62,24.39
,93,0.46,25.88,18.62,43.52,4.75,18.62,23.65
,94,0.47,25.93,18.69,43.57,4.75,18.61,22.95
,95,0.47,26.00,18.75,43.55,4.77,18.59,22.24
,96,0.48,26.07,18.86,43.51,4.78,18.60,21.58
,97,0.48,26.14,19.03,43.40,4.78,18.60,20.89
,98,0.48,26.24,19.20,43.24,4.79,18.61,20.22
,99,0.49,26.30,19.39,43.06,4.83,18.63,19.61
,100,0.50,26.37,19.64,42.80,4.85,18.68,18.97
,101,0.50,26.45,19.90,42.50,4.90,18.72,18.36
,102,0.51,26.52,20.18,42.19,4.96,18.81,17.78
,103,0.51,26.58,20.48,41.82,5.05,18.92,17.21
,104,0.52,26.68,20.79,41.45,5.09,19.06,16.66
,105,0.52,26.78,21.14,41.04,5.19,19.24,16.14
,106,0.53,26.90,21.44,40.65,5.25,19.40,15.64
,107,0.53,27.03,21.73,40.27,5.30,19.59,15.16
,108,0.54,27.17,21.96,39.91,5.35,19.76,14.72
,109,0.54,27.31,22.16,39.61,5.41,19.89,14.36
,110,0.55,27.41,22.30,39.36,5.47,20.00,14.03
,111,0.55,27.49,22.38,39.19,5.51,20.10,13.74
,112,0.56,27.51,22.39,39.11,5.53,20.15,13.52
,113,0.56,27.51,22.32,39.09,5.55,20.18,13.35
,114,0.57,27.48,22.20,39.14,5.57,20.19,13.27
,115,0.57,27.43,22.05,39.31,5.58,20.21,13.23
,116,0.58,27.36,21.85,39.53,5.56,20.18,13.28
,117,0.58,27.29,21.63,39.83,5.54,20.14,13.41
,118,0.58,27.17,21.41,40.18,5.52,20.09,13.61
,119,0.59,27.06,21.19,40.58,5.48,20.02,13.89
,120,0.59,26.95,20.97,41.03,5.40,19.95,14.26
,121,0.60,26.84,20.75,41.48,5.33,19.86,14.68
,122,0.60,26.73,20.56,41.95,5.27,19.78,15.21
,123,0.61,26.65,20.40,42.43,5.17,19.68,15.80
,124,0.61,26.58,20.23,42.87,5.07,19.57,16.45
,125,0.62,26.50,20.12,43.31,4.96,19.47,17.20
,126,0.63,26.45,20.03,43.71,4.86,19.33,17.93
,127,0.63,26.39,19.98,44.08,4.74,19.19,18.79
,128,0.64,26.36,19.94,44.43,4.61,19.04,19.69
,129,0.64,26.36,19.96,44.71,4.49,18.90,20.61
,130,0.65,26.35,20.01,44.96,4.37,18.73,21.62
,131,0.65,26.36,20.12,45.13,4.25,18.54,22.59
,132,0.66,26.39,20.27,45.27,4.14,18.38,23.66
,133,0.66,26.44,20.44,45.32,4.01,18.20,24.75
,134,0.67,26.50,20.65,45.33,3.94,18.03,25.82
,135,0.67,26.58,20.89,45.28,3.82,17.87,26.97
,136,0.68,26.65,21.17,45.17,3.78,17.72,28.03
,137,0.68,26.73,21.50,44.95,3.69,17.59,29.15
,138,0.69,26.81,21.85,44.66,3.64,17.48,30.22
,139,0.69,26.93,22.23,44.33,3.59,17.44,31.22
,140,0.70,27.03,22.65,43.90,3.56,17.35,32.21
,141,0.70,27.16,23.05,43.45,3.54,17.32,33.08
,142,0.70,27.29,23.48,42.91,3.53,17.30,33.90
,143,0.71,27.43,23.86,42.36,3.53,17.29,34.61
,144,0.71,27.56,24.25,41.81,3.54,17.31,35.19
,145,0.72,27.70,24.59,41.16,3.56,17.33,35.70
,146,0.72,27.82,24.86,40.57,3.58,17.36,36.06
,147,0.73,27.93,25.08,39.97,3.61,17.42,36.35
,148,0.73,28.03,25.22,39.38,3.67,17.52,36.53
,149,0.74,28.09,25.25,38.81,3.72,17.61,36.64
,150,0.75,28.13,25.22,38.29,3.77,17.74,36.67
,151,0.75,28.14,25.11,37.88,3.80,17.85,36.65
,152,0.76,28.10,24.92,37.45,3.85,17.98,36.59
,153,0.76,28.03,24.69,37.16,3.89,18.12,36.49
,154,0.77,27.93,24.45,36.97,3.92,18.23,36.37
,155,0.77,27.79,24.19,36.88,3.96,18.34,36.21
,156,0.78,27.66,23.95,36.96,3.97,18.39,36.05
,157,0.78,27.48,23.68,37.11,3.98,18.40,35.87
,158,0.79,27.32,23.41,37.37,3.99,18.39,35.61
,159,0.79,27.15,23.15,37.71,3.98,18.31,35.37
,160,0.80,27.01,22.87,38.07,3.97,18.22,35.04
,161,0.80,26.90,22.61,38.47,3.93,18.11,34.71
,162,0.81,26.79,22.34,38.90,3.91,17.98,34.32
,163,0.81,26.70,22.09,39.35,3.88,17.86,33.89
,164,0.82,26.68,21.86,39.78,3.86,17.75,33.47
,165,0.82,26.60,21.60,40.29,3.83,17.63,32.98
,166,0.83,26.58,21.40,40.75,3.81,17.54,32.46
,167,0.83,26.54,21.22,41.25,3.79,17.44,31.90
,168,0.83,26.50,21.02,41.73,3.79,17.35,31.31
,169,0.84,26.48,20.85,42.18,3.77,17.30,30.71
,170,0.84,26.46,20.69,42.64,3.79,17.23,30.04
,171,0.85,26.44,20.57,43.04,3.79,17.18,29.40
,172,0.85,26.42,20.45,43.42,3.79,17.12,28.72
,173,0.86,26.41,20.35,43.76,3.78,17.10,27.99
,174,0.86,26.40,20.28,44.05,3.77,17.06,27.31
,175,0.87,26.38,20.20,44.33,3.77,17.03,26.56
,176,0.88,26.38,20.15,44.51,3.75,17.02,25.86
,177,0.88,26.41,20.14,44.68,3.75,17.01,25.12
,178,0.89,26.46,20.15,44.77,3.75,16.97,24.39
,179,0.89,26.48,20.19,44.84,3.75,16.99,23.67
,180,0.90,26.51,20.24,44.84,3.77,17.01,22.94
,181,0.90,26.54,20.34,44.77,3.79,17.03,22.26
,182,0.91,26.58,20.45,44.66,3.79,17.05,21.54
,183,0.91,26.63,20.61,44.52,3.84,17.13,20.85
,184,0.92,26.68,20.78,44.32,3.88,17.20,20.18
,185,0.92,26.72,21.00,44.06,3.94,17.30,19.47
,186,0.93,26.78,21.22,43.77,4.01,17.41,18.83
,187,0.93,26.83,21.49,43.43,4.10,17.55,18.16
,188,0.94,26.91,21.78,43.04,4.18,17.72,17.52
,189,0.94,27.01,22.08,42.65,4.25,17.88,16.93
,190,0.95,27.11,22.40,42.19,4.38,18.08,16.30
,191,0.95,27.23,22.71,41.72,4.46,18.29,15.74
,192,0.96,27.35,23.03,41.24,4.55,18.54,15.16
,193,0.96,27.49,23.35,40.73,4.65,18.79,14.60
,194,0.96,27.62,23.60,40.26,4.74,19.01,14.11
,195,0.97,27.77,23.82,39.77,4.84,19.23,13.60
,196,0.97,27.88,23.97,39.36,4.94,19.41,13.12
,197,0.98,27.96,24.03,39.00,5.07,19.59,12.69
,198,0.98,28.03,24.04,38.71,5.15,19.77,12.33
,199,0.99,28.05,23.98,38.51,5.25,19.91,12.02
,200,1.00,28.04,23.82,38.38,5.31,20.01,11.75
,201,1.00,27.99,23.60,38.33,5.37,20.11,11.57
,202,1.01,27.90,23.31,38.37,5.42,20.16,11.44
,203,1.01,27.78,22.99,38.48,5.48,20.21,11.39
,204,1.02,27.63,22.66,38.68,5.49,20.21,11.44
,205,1.02,27.47,22.26,38.94,5.49,20.22,11.57
,206,1.02,27.31,21.94,39.28,5.47,20.18,11.79
,207,1.03,27.15,21.60,39.69,5.46,20.12,12.10
,208,1.03,27.01,21.27,40.15,5.39,20.06,12.49
,209,1.04,26.88,20.98,40.60,5.34,19.97,12.95
,210,1.04,26.76,20.74,41.11,5.30,19.86,13.51
,211,1.05,26.67,20.52,41.58,5.22,19.76,14.13
,212,1.05,26.58,20.33,42.07,5.12,19.67,14.82
,213,1.06,26.49,20.17,42.53,5.03,19.54,15.59
,214,1.06,26.44,20.06,42.95,4.93,19.44,16.41
,215,1.07,26.37,19.98,43.38,4.83,19.33,17.34
,216,1.08,26.36,19.93,43.74,4.72,19.22,18.24
,217,1.08,26.31,19.90,44.10,4.63,19.07,19.25
,218,1.09,26.28,19.91,44.41,4.50,18.94,20.32
,219,1.09,26.26,19.96,44.65,4.41,18.80,21.39
,220,1.10,26.27,20.04,44.87,4.29,18.69,22.56
,221,1.10,26.31,20.18,45.02,4.20,18.55,23.70
,222,1.11,26.35,20.35,45.12,4.12,18.43,24.91
,223,1.11,26.39,20.55,45.14,4.03,18.32,26.15
,224,1.12,26.47,20.78,45.13,3.98,18.20,27.32
,225,1.12,26.55,21.05,45.01,3.91,18.13,28.56
,226,1.13,26.61,21.33,44.87,3.87,18.03,29.74
,227,1.13,26.71,21.68,44.60,3.83,17.96,30.93
,228,1.14,26.83,22.05,44.26,3.81,17.96,32.07
,229,1.14,26.93,22.43,43.87,3.80,17.97,32.88
,230,1.15,27.04,22.81,43.44,3.80,18.01,33.51
,231,1.15,27.13,23.11,43.12,3.82,18.03,33.96
,232,1.16,27.23,23.38,42.83,3.84,18.06,34.30
,233,1.16,27.32,23.56,42.58,3.88,18.12,34.56
,234,1.17,27.38,23.70,42.29,3.90,18.20,34.79
,235,1.17,27.44,23.81,41.97,3.94,18.27,34.99
,236,1.18,27.47,23.83,41.65,3.97,18.34,35.09
,237,1.18,27.50,23.79,41.33,4.00,18.39,35.13
,238,1.19,27.53,23.66,41.07,4.01,18.44,35.08
,239,1.19,27.49,23.50,40.88,4.07,18.51,34.93
,240,1.20,27.45,23.29,40.79,4.10,18.57,34.70
,241,1.20,27.36,23.08,40.75,4.15,18.63,34.41
,242,1.21,27.23,22.80,40.77,4.19,18.66,34.04
,243,1.21,27.11,22.53,40.85,4.22,18.71,33.61
,244,1.22,26.96,22.22,40.97,4.25,18.75,33.10
,245,1.22,26.80,21.93,41.17,4.31,18.81,32.55
,246,1.23,26.67,21.69,41.39,4.32,18.81,31.95
,247,1.23,26.54,21.45,41.65,4.35,18.82,31.27
,248,1.24,26.42,21.22,41.93,4.35,18.79,30.56
,249,1.24,26.31,21.00,42.21,4.38,18.79,29.86
,250,1.25,26.24,20.81,42.50,4.41,18.80,29.09
,251,1.25,26.14,20.62,42.77,4.41,18.80,28.35
,252,1.26,26.10,20.44,43.08,4.44,18.81,27.61
,253,1.26,26.05,20.30,43.38,4.44,18.83,26.84
,254,1.27,26.02,20.18,43.65,4.45,18.82,26.12
,255,1.27,25.99,20.09,43.94,4.46,18.81,25.35
,256,1.28,25.96,20.03,44.20,4.46,18.80,24.64
,257,1.28,25.96,19.99,44.44,4.47,18.78,23.92
,258,1.28,25.96,19.97,44.69,4.48,18.73,23.21
,259,1.29,25.96,19.98,44.88,4.47,18.71,22.54
,260,1.29,25.98,20.01,45.05,4.46,18.68,21.85
,261,1.30,26.01,20.07,45.20,4.46,18.61,21.23
,262,1.30,26.02,20.11,45.31,4.44,18.60,20.61
,263,1.31,26.05,20.20,45.38,4.44,18.52,20.01
,264,1.31,26.09,20.28,45.44,4.42,18.48,19.47
,265,1.32,26.14,20.38,45.44,4.40,18.44,18.91
,266,1.33,26.16,20.46,45.43,4.37,18.38,18.44
,267,1.33,26.24,20.60,45.36,4.34,18.35,17.95
,268,1.34,26.27,20.73,45.29,4.34,18.32,17.51
,269,1.34,26.35,20.87,45.17,4.32,18.29,17.09
,270,1.35,26.39,21.03,45.02,4.33,18.28,16.68
,271,1.35,26.47,21.20,44.85,4.31,18.27,16.35
,272,1.36,26.52,21.42,44.63,4.34,18.30,15.99
,273,1.36,26.57,21.65,44.40,4.37,18.34,15.70
,274,1.37,26.63,21.88,44.16,4.41,18.39,15.41
,275,1.37,26.71,22.15,43.85,4.42,18.47,15.13
,276,1.38,26.80,22.39,43.60,4.43,18.56,14.92
,277,1.38,26.90,22.66,43.30,4.45,18.65,14.72
,278,1.39,27.02,22.88,43.04,4.47,18.73,14.57
,279,1.39,27.13,23.08,42.80,4.52,18.83,14.45
,280,1.40,27.25,23.26,42.60,4.53,18.92,14.37
