製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,11 ,
計測開始時刻 ,00/00/00 00:10 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x6 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.6876,   0.1607,  -0.5719
         2,   2.4000,  -0.8933,   0.3277,  -1.5487
         3,   2.4000,  -0.8547,   0.2763,  -1.5359
         4,   2.4000,  -0.5462,   0.1350,  -1.5487
         5,   2.1440,  -0.8418,   0.3792,  -1.4973
         6,   0.8091,  -0.9832,   0.4820,  -1.5230
         7,   0.0134,  -0.8290,   0.3663,  -1.5744
         8,  -0.0113,  -0.7262,   0.2892,  -1.5359
         9,  -0.1704,  -0.6748,   0.2249,  -1.5230
        10,  -0.6538,  -0.6491,   0.1992,  -1.5487
        11,  -0.9136,  -0.6105,   0.1992,  -1.4973
        12,  -0.8964,  -0.6105,   0.2121,  -1.4845
        13,  -0.7921,  -0.6105,   0.2249,  -1.4331
        14,  -0.6597,  -0.6234,   0.2121,  -1.4074
        15,  -0.5118,  -0.6234,   0.1992,  -1.3688
        16,  -0.5049,  -0.5077,   0.1607,  -1.3431
        17,  -0.5333,  -0.6748,   0.1350,  -1.2274
        18,  -0.5407,  -0.5205,   0.2635,  -1.2531
        19,  -0.5173,  -0.7904,   0.3149,  -1.1889
        20,  -0.4727,  -0.8547,   0.3920,  -1.2660
        21,  -0.4736,  -0.8290,   0.3020,  -1.2531
        22,  -0.5389,  -0.7647,   0.2506,  -1.3302
        23,  -0.5207,  -0.8418,   0.2506,  -1.2788
        24,  -0.4532,  -0.8676,   0.2506,  -1.2403
        25,  -0.4122,  -0.8933,   0.2121,  -1.2274
        26,  -0.3636,  -0.8033,   0.2121,  -1.2274
        27,  -0.3240,  -0.8033,   0.1735,  -1.2146
        28,  -0.2552,  -0.7776,   0.2121,  -1.1889
        29,  -0.1400,  -0.8676,   0.1350,  -1.1632
        30,  -0.0744,  -0.8161,   0.1607,  -1.2017
        31,  -0.0913,  -0.9318,   0.1350,  -1.1760
        32,  -0.4031,  -1.0346,   0.1607,  -1.1375
        33,  -0.9177,  -0.9447,   0.0835,  -1.1889
        34,  -2.4001,  -0.9190,   0.0450,  -1.1375
        35,  -2.4001,  -0.9447,  -0.0064,  -1.0989
        36,  -1.8221,  -0.9061,   0.0835,  -1.2274
        37,   0.9008,  -1.0475,   0.0707,  -1.2660
        38,   2.1478,  -1.1632,   0.0964,  -1.2274
        39,   2.4000,  -1.2017,   0.0321,  -1.2017
        40,   2.4000,  -1.1760,   0.0064,  -1.2146
        41,   1.9844,  -1.2146,  -0.0193,  -1.2146
        42,   0.8307,  -1.2274,  -0.0193,  -1.2146
        43,   0.3000,  -1.2531,  -0.0707,  -1.1760
        44,   0.1590,  -1.2403,  -0.0578,  -1.1760
        45,  -0.2580,  -1.1375,  -0.0964,  -1.2531
        46,  -0.2735,  -1.1632,  -0.0835,  -1.2917
        47,  -0.2675,  -1.2274,  -0.0450,  -1.3431
        48,  -0.2038,  -1.2403,  -0.0707,  -1.3560
        49,  -0.2060,  -1.2403,  -0.0578,  -1.3560
        50,  -0.1940,  -1.2274,  -0.0450,  -1.3688
        51,  -0.2041,  -1.2531,  -0.0321,  -1.4588
        52,  -0.1863,  -1.2403,  -0.0064,  -1.4716
        53,  -0.1644,  -1.2017,   0.0193,  -1.5102
        54,  -0.1903,  -1.1375,   0.0450,  -1.5487
        55,  -0.1895,  -1.0989,   0.0707,  -1.5359
        56,  -0.1445,  -1.0346,   0.1092,  -1.5744
        57,  -0.1180,  -0.9704,   0.1478,  -1.5744
        58,  -0.1110,  -0.9190,   0.1992,  -1.6130
        59,  -0.1015,  -0.8676,   0.2635,  -1.6516
        60,  -0.0887,  -0.8033,   0.3020,  -1.6901
        61,  -0.0534,  -0.7133,   0.3534,  -1.7544
        62,  -0.0508,  -0.6491,   0.4177,  -1.8186
        63,  -0.0422,  -0.5462,   0.4691,  -1.8315
        64,  -0.0445,  -0.4691,   0.5205,  -1.8444
        65,  -0.0628,  -0.3920,   0.5719,  -1.8701
        66,  -0.0584,  -0.3149,   0.6234,  -1.8958
        67,  -0.0500,  -0.2378,   0.6491,  -1.8958
        68,  -0.0148,  -0.1478,   0.7005,  -1.9215
        69,   0.0250,  -0.0321,   0.7133,  -1.9215
        70,   0.0415,   0.0835,   0.7262,  -1.9215
        71,  -0.0060,   0.1607,   0.7390,  -1.9215
        72,  -0.0309,   0.2506,   0.7262,  -1.9343
        73,  -0.0360,   0.3406,   0.7262,  -1.9343
        74,  -0.0334,   0.4306,   0.7262,  -1.9215
        75,  -0.0040,   0.5462,   0.7133,  -1.8572
        76,  -0.0010,   0.6234,   0.6876,  -1.8701
        77,   0.0173,   0.7133,   0.6491,  -1.8315
        78,   0.0277,   0.8033,   0.6234,  -1.8444
        79,   0.0610,   0.8804,   0.5848,  -1.8058
        80,   0.1269,   0.9447,   0.5462,  -1.7415
        81,   0.0653,   1.0218,   0.5205,  -1.7030
        82,  -0.0343,   1.0732,   0.4820,  -1.6644
        83,  -0.0787,   1.1246,   0.4434,  -1.6130
        84,  -0.0339,   1.2146,   0.3920,  -1.5873
        85,  -0.0503,   1.2788,   0.3663,  -1.5102
        86,  -0.0305,   1.3174,   0.2378,  -1.4845
        87,   0.0102,   1.3302,   0.2121,  -1.4459
        88,   0.0202,   1.3817,   0.2121,  -1.4202
        89,  -0.0145,   1.4331,   0.3406,  -1.2788
        90,  -0.0133,   1.3688,   0.1092,  -1.2531
        91,   0.0270,   1.3688,   0.1607,  -1.1375
        92,   0.0431,   1.4331,   0.1221,  -1.0732
        93,   0.0429,   1.4845,   0.1221,  -0.9832
        94,   0.0207,   1.4331,   0.0064,  -0.8676
        95,  -0.0068,   1.4588,  -0.0064,  -0.7904
        96,   0.0264,   1.4588,  -0.0193,  -0.7005
        97,  -0.0087,   1.4845,  -0.0707,  -0.5848
        98,  -0.1363,   1.4716,  -0.1092,  -0.4948
        99,  -0.1814,   1.4202,  -0.1607,  -0.3277
       100,  -0.0779,   1.3688,  -0.1735,  -0.1992
