製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,12 ,
計測開始時刻 ,00/00/00 00:10 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,   0.6491,   0.1350,  -1.2274
         2,  -0.2475,   1.6773,  -0.0321,  -0.4177
         3,  -0.1401,   1.6259,  -0.1350,  -0.3149
         4,  -0.0943,   1.5616,  -0.1864,  -0.2249
         5,   0.1730,   1.5102,  -0.2506,  -0.1221
         6,   0.3682,   1.4459,  -0.3020,  -0.0321
         7,   0.4821,   1.3431,  -0.3663,   0.0321
         8,   0.4399,   1.2660,  -0.4049,   0.0964
         9,   0.3166,   1.1889,  -0.4434,   0.1735
        10,   0.2441,   1.1375,  -0.4820,   0.2763
        11,   0.2030,   1.0475,  -0.4820,   0.3663
        12,   0.1933,   0.9832,  -0.4948,   0.4691
        13,   0.1200,   0.9447,  -0.5205,   0.5205
        14,  -0.0008,   0.9190,  -0.5205,   0.5462
        15,   0.0544,   0.8676,  -0.5334,   0.6105
        16,   0.0501,   0.8161,  -0.4948,   0.6619
        17,  -0.0580,   0.7519,  -0.4691,   0.7262
        18,  -0.0071,   0.7005,  -0.4434,   0.7647
        19,   0.0508,   0.6491,  -0.4177,   0.7904
        20,  -0.1175,   0.5976,  -0.3792,   0.8161
        21,  -0.1680,   0.5462,  -0.3534,   0.8418
        22,  -0.0021,   0.5077,  -0.3406,   0.8161
        23,   0.1244,   0.4820,  -0.2763,   0.8547
        24,   0.1406,   0.4434,  -0.2506,   0.8676
        25,   0.0097,   0.3920,  -0.1864,   0.8676
        26,  -0.1935,   0.3406,  -0.1607,   0.8418
        27,  -0.4045,   0.2892,  -0.1221,   0.8033
        28,  -0.1711,   0.2892,  -0.0835,   0.8033
        29,  -0.1003,   0.2635,  -0.0321,   0.7776
        30,   0.0029,   0.2121,   0.0193,   0.7647
        31,   0.1070,   0.1992,   0.0578,   0.7005
        32,   0.1157,   0.1607,   0.0835,   0.6876
        33,  -0.0557,   0.1735,   0.1478,   0.6491
        34,  -0.1966,   0.1350,   0.1735,   0.5976
        35,  -0.1771,   0.1221,   0.2121,   0.5334
        36,  -0.0560,   0.1221,   0.2378,   0.4820
        37,   0.0288,   0.1350,   0.2378,   0.4177
        38,   0.0427,   0.1607,   0.2763,   0.3406
        39,   0.0404,   0.1607,   0.2892,   0.2506
        40,   0.0175,   0.1607,   0.3020,   0.2249
        41,  -0.0379,   0.1864,   0.3020,   0.1350
        42,   0.0141,   0.2121,   0.3149,   0.0064
        43,   0.1261,   0.2378,   0.3149,  -0.0578
        44,   0.1496,   0.2635,   0.3149,  -0.1607
