製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,12 ,
計測開始時刻 ,00/00/00 00:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       105,   0.0001,   1.0089,   0.3406,  -1.4202
       106,   0.0316,   1.0218,   0.3534,  -1.4331
       107,   0.0303,   1.0346,   0.3534,  -1.4202
       108,  -0.0193,   1.0475,   0.3663,  -1.4716
       109,  -0.0713,   1.0475,   0.3534,  -1.4588
       110,  -0.1933,   1.0603,   0.3663,  -1.4716
       111,  -0.1266,   1.0732,   0.3792,  -1.4716
       112,  -0.0634,   1.0732,   0.3663,  -1.5102
       113,  -0.0626,   1.0860,   0.3663,  -1.4973
       114,  -0.0286,   1.0860,   0.3663,  -1.5230
       115,  -0.0193,   1.0860,   0.3534,  -1.5359
       116,  -0.0078,   1.0860,   0.3534,  -1.5487
       117,   0.0200,   1.0732,   0.3534,  -1.5487
       118,   0.0722,   1.0989,   0.3406,  -1.5487
       119,   0.0778,   1.0732,   0.3534,  -1.5616
       120,   0.0797,   1.0732,   0.3406,  -1.5616
       121,  -0.0045,   1.0732,   0.3534,  -1.5616
       122,   0.0433,   1.0860,   0.3277,  -1.5873
       123,   0.0699,   1.0732,   0.3277,  -1.5744
       124,   0.0643,   1.0475,   0.3277,  -1.5744
       125,   0.0398,   1.0475,   0.3149,  -1.5873
       126,   0.0549,   1.0475,   0.3149,  -1.5744
       127,   0.0796,   1.0346,   0.3277,  -1.5616
       128,   0.1185,   1.0346,   0.3149,  -1.5873
       129,   0.1228,   1.0346,   0.3149,  -1.6130
       130,   0.1444,   1.0089,   0.3020,  -1.6259
       131,   0.1192,   1.0089,   0.3020,  -1.6002
       132,   0.1315,   1.0089,   0.2892,  -1.6130
       133,   0.1396,   1.0089,   0.2892,  -1.6002
       134,   0.1374,   0.9832,   0.2892,  -1.6002
       135,   0.0679,   0.9575,   0.2892,  -1.6130
       136,   0.0009,   0.9575,   0.2892,  -1.6002
       137,  -0.0566,   0.9318,   0.2763,  -1.5873
       138,  -0.0687,   0.9447,   0.2763,  -1.5744
       139,  -0.0704,   0.9318,   0.2763,  -1.6002
       140,  -0.0772,   0.9190,   0.2763,  -1.5873
       141,  -0.0634,   0.9190,   0.2635,  -1.5616
       142,  -0.0273,   0.9061,   0.2763,  -1.5487
       143,  -0.0219,   0.8933,   0.2892,  -1.5487
       144,  -0.0643,   0.8804,   0.2763,  -1.5487
       145,  -0.0290,   0.8804,   0.2892,  -1.5359
       146,  -0.0112,   0.8676,   0.2763,  -1.5359
       147,   0.0215,   0.8676,   0.2763,  -1.5230
       148,   0.0013,   0.8547,   0.2763,  -1.5230
       149,   0.0073,   0.8418,   0.2763,  -1.5230
       150,   0.0231,   0.8290,   0.2763,  -1.4973
       151,   0.0719,   0.8290,   0.2763,  -1.4973
       152,   0.1025,   0.8161,   0.2892,  -1.4973
       153,   0.1247,   0.8161,   0.2892,  -1.5102
       154,   0.1274,   0.8033,   0.2892,  -1.5102
       155,   0.1435,   0.8161,   0.2892,  -1.4973
       156,   0.1738,   0.7904,   0.2892,  -1.4845
       157,   0.1632,   0.7776,   0.3149,  -1.4845
       158,   0.1077,   0.7776,   0.3020,  -1.4588
       159,   0.0716,   0.7776,   0.3020,  -1.4588
       160,   0.0346,   0.7776,   0.3020,  -1.4588
       161,   0.0129,   0.7647,   0.3020,  -1.4459
       162,  -0.0382,   0.7647,   0.3020,  -1.4202
       163,  -0.0668,   0.7519,   0.3020,  -1.4331
       164,  -0.1020,   0.7647,   0.3020,  -1.4331
       165,  -0.1001,   0.7390,   0.3020,  -1.3945
       166,  -0.1455,   0.7390,   0.3149,  -1.3945
       167,  -0.1712,   0.7390,   0.3149,  -1.3945
       168,  -0.1800,   0.7519,   0.3277,  -1.3688
       169,  -0.1576,   0.7519,   0.3277,  -1.3817
       170,  -0.0669,   0.7519,   0.3149,  -1.3817
       171,   0.0015,   0.7519,   0.3149,  -1.3688
       172,   0.0654,   0.7647,   0.3277,  -1.3560
       173,   0.0655,   0.7647,   0.3406,  -1.3174
       174,   0.0089,   0.7519,   0.3277,  -1.3302
       175,   0.0179,   0.7647,   0.3277,  -1.3431
       176,   0.0594,   0.7647,   0.3277,  -1.3431
       177,   0.1054,   0.7904,   0.3277,  -1.3174
       178,   0.1508,   0.7904,   0.3149,  -1.3174
       179,   0.1992,   0.7776,   0.3149,  -1.3302
       180,   0.1756,   0.7904,   0.3406,  -1.3302
       181,   0.1833,   0.7776,   0.3406,  -1.3045
       182,   0.0850,   0.7776,   0.3277,  -1.3174
       183,   0.0031,   0.7904,   0.3277,  -1.3045
       184,   0.0049,   0.7904,   0.3277,  -1.2917
       185,  -0.0691,   0.8033,   0.3277,  -1.3174
       186,  -0.0664,   0.8161,   0.3406,  -1.3045
       187,  -0.1583,   0.8161,   0.3277,  -1.3045
       188,  -0.1858,   0.8547,   0.3406,  -1.3045
       189,  -0.1836,   0.8290,   0.3277,  -1.2788
       190,  -0.0915,   0.8418,   0.3406,  -1.2660
       191,   0.0444,   0.8290,   0.3277,  -1.2788
       192,   0.0918,   0.8418,   0.3277,  -1.2917
       193,   0.0423,   0.8547,   0.3149,  -1.3045
       194,   0.0551,   0.8418,   0.3149,  -1.2660
       195,  -0.0191,   0.8418,   0.3277,  -1.2788
       196,  -0.2583,   0.8418,   0.3277,  -1.2660
       197,  -0.3559,   0.8418,   0.3149,  -1.2788
       198,  -0.1672,   0.8418,   0.3149,  -1.2917
       199,   0.0924,   0.8547,   0.3149,  -1.2917
       200,   0.1972,   0.8547,   0.3149,  -1.2788
       201,   0.2410,   0.8418,   0.3020,  -1.2788
       202,   0.2518,   0.8547,   0.3149,  -1.2788
       203,   0.2149,   0.8547,   0.3149,  -1.2660
       204,   0.2449,   0.8418,   0.3277,  -1.2917
       205,   0.1291,   0.8418,   0.3277,  -1.2660
       206,   0.0644,   0.8290,   0.3277,  -1.2660
       207,  -0.0583,   0.8418,   0.3277,  -1.2660
       208,  -0.1896,   0.8161,   0.3277,  -1.2660
       209,  -0.1427,   0.8033,   0.3277,  -1.2403
       210,  -0.0697,   0.8033,   0.3277,  -1.2403
       211,  -0.0720,   0.7776,   0.3277,  -1.2403
       212,  -0.0500,   0.7647,   0.3149,  -1.2660
       213,  -0.0473,   0.7647,   0.3277,  -1.2274
       214,  -0.0445,   0.7519,   0.3149,  -1.2531
       215,  -0.0907,   0.7519,   0.3149,  -1.2531
       216,  -0.1641,   0.7262,   0.3149,  -1.2403
       217,  -0.1338,   0.7262,   0.3149,  -1.2660
       218,  -0.0302,   0.7390,   0.3020,  -1.2403
       219,   0.0820,   0.7262,   0.3020,  -1.2274
       220,   0.1279,   0.7133,   0.3020,  -1.2274
       221,   0.1737,   0.7005,   0.3020,  -1.2274
       222,   0.1543,   0.7005,   0.3149,  -1.2274
       223,   0.1105,   0.7005,   0.2892,  -1.2660
       224,   0.0713,   0.6876,   0.2892,  -1.2274
       225,   0.0743,   0.6876,   0.2892,  -1.2403
       226,   0.0627,   0.6876,   0.2892,  -1.2146
       227,   0.0355,   0.6876,   0.2892,  -1.2403
       228,   0.0126,   0.6748,   0.2763,  -1.2403
       229,   0.0404,   0.6876,   0.2892,  -1.2274
       230,   0.0906,   0.6619,   0.2635,  -1.1760
       231,   0.1698,   0.6876,   0.2763,  -1.2017
       232,   0.1644,   0.6748,   0.2635,  -1.1889
       233,   0.0949,   0.7005,   0.2635,  -1.2017
       234,   0.0442,   0.6876,   0.2635,  -1.1760
       235,   0.0129,   0.6876,   0.2892,  -1.1889
       236,  -0.0511,   0.7133,   0.2763,  -1.1889
       237,  -0.0661,   0.7133,   0.2892,  -1.2146
       238,  -0.0488,   0.7262,   0.2763,  -1.2017
       239,   0.0070,   0.7390,   0.2763,  -1.2017
       240,   0.0397,   0.7390,   0.2763,  -1.2017
       241,   0.0364,   0.7519,   0.2892,  -1.2017
       242,   0.0253,   0.7519,   0.2763,  -1.1889
       243,   0.1096,   0.7647,   0.2763,  -1.2017
       244,   0.2167,   0.7776,   0.2763,  -1.1889
       245,   0.2187,   0.7904,   0.2763,  -1.1760
       246,   0.1072,   0.7904,   0.2763,  -1.1760
       247,  -0.0081,   0.8161,   0.2635,  -1.1760
       248,  -0.0428,   0.8290,   0.2635,  -1.1889
       249,  -0.1079,   0.8290,   0.2635,  -1.1760
       250,  -0.0699,   0.8418,   0.2763,  -1.1503
       251,  -0.0631,   0.8418,   0.2635,  -1.1375
       252,  -0.0782,   0.8547,   0.2635,  -1.1503
       253,  -0.0960,   0.8676,   0.2635,  -1.1760
       254,  -0.1429,   0.8676,   0.2635,  -1.1375
       255,  -0.1767,   0.8804,   0.2635,  -1.1503
       256,  -0.1830,   0.8933,   0.2635,  -1.1246
       257,  -0.1507,   0.8933,   0.2635,  -1.1375
       258,  -0.1770,   0.8933,   0.2635,  -1.1118
       259,  -0.1708,   0.8933,   0.2506,  -1.1246
       260,  -0.1203,   0.9061,   0.2506,  -1.1246
       261,  -0.0384,   0.9061,   0.2635,  -1.1246
       262,  -0.0445,   0.9190,   0.2506,  -1.1246
       263,  -0.0401,   0.9575,   0.2506,  -1.1246
       264,  -0.0261,   0.9447,   0.2506,  -1.1246
       265,  -0.0206,   0.9318,   0.2378,  -1.0989
       266,  -0.0180,   0.9447,   0.2635,  -1.0732
       267,  -0.0307,   0.9447,   0.2378,  -1.0732
       268,   0.0457,   0.9575,   0.2506,  -1.0860
       269,   0.1310,   0.9575,   0.2378,  -1.0860
       270,   0.2405,   0.9575,   0.2378,  -1.0860
       271,   0.2994,   0.9575,   0.2249,  -1.0603
       272,   0.3110,   0.9447,   0.2378,  -1.0732
       273,   0.2928,   0.9318,   0.2249,  -1.0603
       274,   0.3104,   0.9318,   0.2249,  -1.0732
       275,   0.2485,   0.9318,   0.2249,  -1.0603
       276,   0.0876,   0.9318,   0.2249,  -1.0732
       277,   0.0207,   0.9447,   0.2249,  -1.0860
       278,   0.0200,   0.9575,   0.1992,  -1.0732
       279,  -0.0204,   0.9318,   0.1864,  -1.0732
       280,  -0.1315,   0.9318,   0.1992,  -1.0732
       281,  -0.0823,   0.9318,   0.1992,  -1.0989
       282,  -0.0593,   0.9190,   0.2121,  -1.0989
       283,  -0.0056,   0.9061,   0.1864,  -1.0732
       284,  -0.0144,   0.9061,   0.1864,  -1.0732
       285,  -0.0368,   0.9061,   0.1607,  -1.0860
       286,   0.0012,   0.8933,   0.1478,  -1.0732
       287,   0.0259,   0.8933,   0.1607,  -1.0860
       288,   0.0965,   0.9190,   0.1478,  -1.0860
       289,   0.1585,   0.8933,   0.1478,  -1.0860
       290,   0.0683,   0.8676,   0.1350,  -1.1118
       291,   0.0343,   0.8676,   0.1221,  -1.1118
       292,  -0.0171,   0.8804,   0.1221,  -1.1118
       293,  -0.0503,   0.8804,   0.1350,  -1.0860
       294,  -0.0902,   0.8676,   0.1092,  -1.1118
       295,  -0.1328,   0.8804,   0.1092,  -1.1118
       296,  -0.1451,   0.8676,   0.1092,  -1.1118
       297,  -0.1416,   0.8676,   0.1221,  -1.1118
       298,  -0.1015,   0.8804,   0.1221,  -1.1246
       299,  -0.0968,   0.8804,   0.1221,  -1.1503
       300,  -0.0636,   0.8804,   0.1221,  -1.1632
       301,  -0.0357,   0.8804,   0.1221,  -1.1760
       302,  -0.0047,   0.9061,   0.1350,  -1.2017
       303,   0.0490,   0.9061,   0.1350,  -1.2017
       304,   0.1350,   0.8933,   0.1350,  -1.2274
       305,   0.1554,   0.8933,   0.1478,  -1.2274
       306,   0.1485,   0.9061,   0.1607,  -1.2403
       307,   0.1931,   0.9061,   0.1735,  -1.2788
       308,   0.2072,   0.9447,   0.1735,  -1.2917
       309,   0.1482,   0.9447,   0.1864,  -1.2917
       310,   0.0661,   0.9704,   0.1992,  -1.3174
       311,   0.0489,   0.9575,   0.1992,  -1.3174
       312,   0.0400,   0.9704,   0.2121,  -1.3045
       313,   0.0074,   0.9961,   0.2249,  -1.3045
       314,  -0.0475,   1.0089,   0.2378,  -1.3045
       315,  -0.1187,   1.0089,   0.2249,  -1.2788
       316,  -0.1537,   1.0346,   0.2378,  -1.2917
       317,  -0.1375,   1.0475,   0.2249,  -1.2788
       318,  -0.1907,   1.0603,   0.2378,  -1.2403
       319,  -0.1863,   1.0475,   0.2249,  -1.2403
       320,  -0.1395,   1.0475,   0.2378,  -1.1889
       321,  -0.1332,   1.0475,   0.2249,  -1.1760
       322,  -0.1009,   1.0603,   0.2121,  -1.1503
       323,  -0.0481,   1.0732,   0.2121,  -1.1246
       324,   0.0041,   1.0860,   0.1992,  -1.1118
       325,   0.0434,   1.0732,   0.1864,  -1.0860
       326,   0.1211,   1.0732,   0.1735,  -1.0475
       327,   0.1436,   1.0732,   0.1864,  -1.0603
       328,   0.1198,   1.0732,   0.1735,  -1.0089
       329,   0.0457,   1.0860,   0.1735,  -0.9961
       330,  -0.0589,   1.0860,   0.1607,  -0.9961
       331,  -0.0281,   1.0732,   0.1478,  -0.9832
       332,   0.1757,   1.0860,   0.1350,  -1.0089
       333,   0.2343,   1.0989,   0.1221,  -1.0346
       334,   0.1033,   1.1246,   0.1221,  -1.0603
       335,  -0.0357,   1.1118,   0.1221,  -1.0860
       336,  -0.0237,   1.1118,   0.1092,  -1.1118
       337,  -0.0464,   1.1246,   0.1092,  -1.1375
       338,  -0.1576,   1.1503,   0.0964,  -1.1632
       339,  -0.1936,   1.1375,   0.0835,  -1.2017
       340,  -0.1001,   1.1632,   0.0964,  -1.2017
       341,  -0.0012,   1.1632,   0.0964,  -1.2146
       342,   0.1258,   1.1632,   0.1092,  -1.2017
       343,   0.2074,   1.1503,   0.1221,  -1.1889
       344,   0.1335,   1.1503,   0.1221,  -1.1632
       345,   0.0009,   1.1760,   0.1221,  -1.1503
       346,  -0.0435,   1.1632,   0.1221,  -1.1375
       347,  -0.0660,   1.1632,   0.1478,  -1.0989
       348,  -0.0832,   1.1889,   0.1350,  -1.1118
       349,  -0.0957,   1.2017,   0.1607,  -1.0860
       350,  -0.1167,   1.1632,   0.1607,  -1.0732
       351,  -0.1292,   1.1760,   0.1735,  -1.0860
       352,  -0.1053,   1.1760,   0.1864,  -1.1118
       353,  -0.1076,   1.1760,   0.1864,  -1.0732
       354,  -0.0204,   1.1889,   0.1992,  -1.0989
       355,   0.0510,   1.1760,   0.2121,  -1.0989
       356,   0.0819,   1.1889,   0.2121,  -1.1118
       357,   0.1323,   1.1889,   0.2121,  -1.0989
       358,   0.2045,   1.1760,   0.2121,  -1.1118
       359,   0.2282,   1.1760,   0.2249,  -1.0989
       360,   0.2712,   1.1632,   0.2121,  -1.0860
       361,   0.2079,   1.1632,   0.2121,  -1.0860
       362,   0.1039,   1.1503,   0.2121,  -1.0860
       363,   0.0386,   1.1118,   0.1992,  -1.0989
       364,   0.0475,   1.1503,   0.1864,  -1.0603
       365,   0.0675,   1.1118,   0.1735,  -1.0860
       366,   0.0124,   1.0860,   0.1735,  -1.0475
       367,  -0.0053,   1.0989,   0.1607,  -1.0218
       368,  -0.0561,   1.0989,   0.1478,  -1.0475
       369,  -0.0924,   1.0860,   0.1478,  -1.0346
       370,  -0.1097,   1.0732,   0.1350,  -1.0218
       371,  -0.0830,   1.0603,   0.1350,  -1.0089
       372,  -0.0468,   1.0603,   0.1221,  -0.9961
       373,  -0.0335,   1.0346,   0.1221,  -1.0089
       374,  -0.0694,   1.0346,   0.1221,  -1.0089
       375,  -0.0680,   1.0089,   0.1221,  -1.0089
       376,  -0.0228,   1.0089,   0.1221,  -0.9961
       377,   0.0009,   0.9961,   0.1221,  -0.9961
       378,   0.1159,   0.9704,   0.1092,  -1.0218
       379,   0.2097,   0.9832,   0.0964,  -1.0218
       380,   0.1619,   0.9704,   0.1221,  -0.9832
       381,   0.0667,   0.9447,   0.0964,  -0.9961
       382,  -0.0103,   0.9318,   0.1092,  -1.0089
       383,  -0.0576,   0.8933,   0.1092,  -1.0089
       384,  -0.0549,   0.8933,   0.1221,  -1.0346
