製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,11,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x6 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.7519,0.135,-0.8161,0
2,-0.0073,-0.6362,-0.0321,-0.739,0.0073
3,-0.0058,-0.6234,-0.0321,-0.7519,0.0058
4,-0.0175,-0.6105,-0.0321,-0.7647,0.0175
5,-0.0149,-0.5976,-0.0321,-0.7647,0.0149
6,-0.0101,-0.5848,-0.045,-0.7776,0.0101
7,0.0035,-0.5462,-0.045,-0.7519,0.0035
8,-0.0035,-0.5334,-0.045,-0.7647,0.0035
9,-0.0233,-0.5077,-0.0578,-0.7519,0.0233
10,-0.0538,-0.4948,-0.0578,-0.7776,0.0538
11,-0.1349,-0.4948,-0.045,-0.7904,0.1349
12,-0.1721,-0.482,-0.0578,-0.8161,0.1721
13,-0.1949,-0.4563,-0.045,-0.7904,0.1949
14,-0.2177,-0.4306,-0.0578,-0.829,0.2177
15,-0.2137,-0.4306,-0.045,-0.8547,0.2137
16,-0.1683,-0.4177,-0.0321,-0.8676,0.1683
17,-0.11,-0.392,-0.045,-0.8933,0.11
18,-0.0724,-0.3792,-0.0321,-0.8676,0.0724
19,0.0234,-0.3663,-0.0193,-0.8804,0.0234
20,0.1578,-0.3663,-0.0064,-0.8676,0.1578
21,0.2735,-0.3663,-0.0193,-0.8804,0.2735
22,0.2855,-0.3663,-0.0193,-0.8547,0.2855
23,0.2646,-0.3406,-0.045,-0.8547,0.2646
24,0.2638,-0.3534,-0.0193,-0.8161,0.2638
25,0.2544,-0.3406,-0.0193,-0.8161,0.2544
26,0.1395,-0.3406,-0.0193,-0.8033,0.1395
27,0.0478,-0.3406,-0.0193,-0.8033,0.0478
28,0.0027,-0.3534,-0.0321,-0.7647,0.0027
29,-0.0307,-0.3534,-0.0193,-0.739,0.0307
30,-0.0283,-0.3534,-0.0321,-0.7262,0.0283
31,-0.0322,-0.3534,-0.0321,-0.7133,0.0322
32,-0.0356,-0.3663,-0.045,-0.6748,0.0356
33,-0.0342,-0.3534,-0.045,-0.6876,0.0342
34,-0.0445,-0.392,-0.045,-0.6234,0.0445
35,-0.0614,-0.4049,-0.0321,-0.6234,0.0614
36,-0.0442,-0.4306,-0.0193,-0.5976,0.0442
37,0.0111,-0.4563,-0.0321,-0.5719,0.0111
38,0.0395,-0.4691,-0.0193,-0.5719,0.0395
39,0.0521,-0.4948,-0.0193,-0.5462,0.0521
40,0.0746,-0.5205,-0.0064,-0.5334,0.0746
41,0.0693,-0.5462,-0.0064,-0.5077,0.0693
42,0.0102,-0.5719,0.0064,-0.4948,0.0102
43,-0.0232,-0.5848,0.0064,-0.4948,0.0232
44,-0.0437,-0.6105,0.0193,-0.4691,0.0437
45,-0.0371,-0.6234,0.0064,-0.4177,0.0371
46,-0.0229,-0.6619,0.0064,-0.4306,0.0229
47,-0.0158,-0.7005,0.0064,-0.4177,0.0158
48,0.0067,-0.7133,0.0064,-0.4049,0.0067
49,0.0254,-0.739,-0.0064,-0.3792,0.0254
50,0.0302,-0.7776,0.0064,-0.3792,0.0302
51,0.0244,-0.8033,-0.0064,-0.3792,0.0244
52,0.0138,-0.8418,0.0064,-0.3663,0.0138
53,0.0031,-0.8547,0.0064,-0.3663,0.0031
54,-0.0199,-0.8676,-0.0064,-0.3792,0.0199
55,-0.0292,-0.8804,0.0064,-0.3663,0.0292
56,-0.0491,-0.8933,-0.0064,-0.3663,0.0491
57,-0.0503,-0.919,-0.0193,-0.3663,0.0503
58,-0.0285,-0.919,-0.0064,-0.3663,0.0285
59,-0.004,-0.9447,-0.0064,-0.3792,0.004
60,0.0115,-0.9447,-0.0064,-0.3792,0.0115
61,0.0352,-0.9447,-0.0321,-0.3792,0.0352
62,0.0415,-0.9575,-0.0193,-0.392,0.0415
63,0.0294,-0.9447,-0.0321,-0.392,0.0294
64,0.0308,-0.9575,-0.0321,-0.392,0.0308
65,0.0188,-0.9704,-0.0193,-0.392,0.0188
66,0.0045,-0.9704,0.0064,-0.392,0.0045
67,-0.0083,-0.9704,-0.0193,-0.4177,0.0083
68,0.0034,-0.9575,-0.0064,-0.4049,0.0034
69,0.004,-0.9447,0.0193,-0.392,0.004
70,-0.0171,-0.9318,0.0064,-0.4177,0.0171
71,-0.029,-0.9318,0.0064,-0.4177,0.029
72,-0.039,-0.9318,0.0321,-0.4049,0.039
73,-0.0367,-0.9061,0.0193,-0.4177,0.0367
74,-0.0302,-0.9061,0.0321,-0.4306,0.0302
75,-0.0136,-0.8804,0.045,-0.4177,0.0136
76,-0.0078,-0.8804,0.0578,-0.4306,0.0078
77,0.0073,-0.8676,0.0578,-0.4563,0.0073
78,0.0094,-0.829,0.0578,-0.4563,0.0094
79,-0.0004,-0.8418,0.0707,-0.4563,0.0004
