製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,9 ,
計測開始時刻 ,00/00/00 00:12 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x8 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.3534,   0.4434,  -1.1246
         2,  -0.1855,  -0.5719,   0.1864,  -1.0475
         3,   0.0329,  -0.5848,   0.1735,  -1.0346
         4,   0.0943,  -0.5848,   0.1735,  -1.0218
         5,   0.1398,  -0.5848,   0.1735,  -1.0475
         6,   0.1518,  -0.5848,   0.1864,  -1.0346
         7,   0.0196,  -0.5848,   0.1735,  -1.0089
         8,  -0.0157,  -0.5848,   0.1735,  -1.0218
         9,   0.0098,  -0.5848,   0.1864,  -1.0218
        10,   0.0847,  -0.5848,   0.1864,  -1.0346
        11,   0.1083,  -0.5848,   0.1864,  -1.0475
        12,   0.1474,  -0.5719,   0.1992,  -1.0346
        13,   0.1579,  -0.5848,   0.1864,  -1.0475
        14,   0.1026,  -0.5848,   0.1992,  -1.0346
        15,   0.0324,  -0.5848,   0.2121,  -1.0346
        16,  -0.0598,  -0.5848,   0.2121,  -1.0089
        17,  -0.0116,  -0.5719,   0.1992,  -1.0218
        18,   0.0091,  -0.5848,   0.1992,  -1.0603
        19,   0.0102,  -0.5719,   0.1992,  -1.0475
        20,  -0.0290,  -0.5719,   0.1992,  -1.0346
        21,  -0.0064,  -0.5719,   0.1864,  -1.0346
        22,   0.0141,  -0.5719,   0.2121,  -1.0475
        23,  -0.0042,  -0.5848,   0.2121,  -1.0475
        24,  -0.0087,  -0.5848,   0.1992,  -1.0218
        25,   0.0009,  -0.5719,   0.2121,  -1.0603
        26,   0.0431,  -0.5719,   0.1992,  -1.0475
        27,   0.0721,  -0.5719,   0.1864,  -1.0346
        28,   0.0312,  -0.5719,   0.1992,  -1.0475
        29,  -0.0024,  -0.5719,   0.1992,  -1.0475
        30,  -0.0130,  -0.5719,   0.2121,  -1.0475
        31,  -0.0006,  -0.5719,   0.2121,  -1.0346
        32,   0.0270,  -0.5719,   0.2121,  -1.0346
        33,   0.0100,  -0.5077,   0.1992,  -1.0346
        34,   0.0328,  -0.5591,   0.1992,  -1.0732
        35,   0.0347,  -0.5719,   0.1992,  -1.0603
        36,   0.0089,  -0.5719,   0.2121,  -1.0603
        37,  -0.1077,  -0.5848,   0.2121,  -1.0475
        38,  -0.1428,  -0.5719,   0.2121,  -1.0346
        39,  -0.1006,  -0.5976,   0.2249,  -1.0346
        40,  -0.0426,  -0.5719,   0.2121,  -1.0475
        41,  -0.0242,  -0.5848,   0.2249,  -1.0475
        42,  -0.0380,  -0.5719,   0.2121,  -1.0475
        43,  -0.0170,  -0.5591,   0.2249,  -1.0603
        44,   0.0138,  -0.5591,   0.2121,  -1.0603
        45,  -0.0041,  -0.5848,   0.2249,  -1.0732
        46,  -0.0201,  -0.5591,   0.2378,  -1.0346
        47,   0.0319,  -0.5848,   0.2378,  -1.0218
        48,   0.0738,  -0.5848,   0.2249,  -1.0475
        49,   0.0473,  -0.5591,   0.2378,  -1.0732
        50,   0.0345,  -0.5719,   0.2249,  -1.0475
        51,   0.0500,  -0.5848,   0.2378,  -1.0603
        52,   0.0511,  -0.5848,   0.2249,  -1.0603
        53,   0.0373,  -0.5848,   0.2378,  -1.0346
        54,  -0.0204,  -0.5848,   0.2506,  -1.0475
        55,  -0.0456,  -0.5976,   0.2378,  -1.0603
        56,  -0.0401,  -0.6105,   0.2378,  -1.0732
        57,  -0.0415,  -0.5848,   0.2378,  -1.0475
        58,  -0.0333,  -0.5976,   0.2378,  -1.0603
        59,  -0.0179,  -0.5848,   0.2378,  -1.0475
        60,  -0.0228,  -0.5848,   0.2378,  -1.0475
        61,   0.0192,  -0.5976,   0.2378,  -1.0475
        62,   0.0076,  -0.5976,   0.2635,  -1.0603
        63,  -0.0179,  -0.6105,   0.2378,  -1.0732
        64,  -0.0704,  -0.5848,   0.2378,  -1.0603
        65,  -0.0782,  -0.5976,   0.2506,  -1.0732
        66,   0.0836,  -0.5976,   0.2378,  -1.0860
        67,   0.1695,  -0.6105,   0.2378,  -1.0860
        68,   0.1877,  -0.6105,   0.2378,  -1.0732
        69,   0.2085,  -0.6105,   0.2506,  -1.0603
        70,   0.0702,  -0.6234,   0.2506,  -1.0603
        71,  -0.0704,  -0.6105,   0.2378,  -1.0732
        72,  -0.1129,  -0.6234,   0.2506,  -1.0603
        73,  -0.0354,  -0.5976,   0.2506,  -1.0603
        74,   0.0344,  -0.6234,   0.2506,  -1.0989
        75,   0.0976,  -0.6234,   0.2506,  -1.0603
        76,   0.1647,  -0.6234,   0.2506,  -1.0732
        77,   0.2093,  -0.6362,   0.2635,  -1.0732
        78,   0.1068,  -0.5719,   0.2506,  -1.0860
        79,   0.0203,  -0.6234,   0.2506,  -1.0860
        80,  -0.0317,  -0.6362,   0.2635,  -1.0732
        81,   0.0153,  -0.6362,   0.2635,  -1.0732
        82,   0.0281,  -0.6234,   0.2635,  -1.0732
        83,   0.0467,  -0.6362,   0.2763,  -1.0603
        84,   0.0760,  -0.6491,   0.2506,  -1.0603
        85,   0.0375,  -0.6619,   0.2635,  -1.0603
        86,  -0.0131,  -0.6491,   0.2635,  -1.0475
        87,   0.0254,  -0.6491,   0.2506,  -1.0732
        88,   0.0283,  -0.6362,   0.2635,  -1.0732
        89,   0.0041,  -0.6491,   0.2506,  -1.0346
        90,   0.0168,  -0.6491,   0.2635,  -1.0475
        91,   0.0239,  -0.6491,   0.2506,  -1.0346
        92,   0.0532,  -0.6491,   0.2506,  -1.0732
        93,   0.0490,  -0.6619,   0.2506,  -1.0218
        94,   0.0169,  -0.6491,   0.2506,  -1.0346
        95,  -0.0248,  -0.6491,   0.2506,  -1.0218
        96,  -0.0180,  -0.6362,   0.2506,  -1.0218
        97,   0.0157,  -0.6491,   0.2506,  -1.0346
        98,  -0.0020,  -0.6491,   0.2506,  -1.0346
        99,  -0.0068,  -0.6362,   0.2506,  -1.0218
       100,  -0.0259,  -0.6491,   0.2506,  -1.0218
       101,  -0.0171,  -0.6491,   0.2378,  -1.0089
       102,   0.0025,  -0.6362,   0.2506,  -1.0346
       103,   0.0097,  -0.6491,   0.2506,  -1.0346
       104,  -0.0006,  -0.6105,   0.2378,  -1.0218
       105,   0.0056,  -0.6362,   0.2378,  -1.0089
       106,   0.0038,  -0.6362,   0.2506,  -1.0089
