製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,9 ,
計測開始時刻 ,00/00/00 00:14 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x8 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.5976,   0.1992,  -0.9575
         2,   0.0257,  -1.3560,   0.1350,  -1.0089
         3,  -0.0215,  -1.2917,   0.1478,  -0.9961
         4,  -0.0320,  -1.2531,   0.1478,  -0.9832
         5,   0.0269,  -1.2017,   0.1607,  -0.9832
         6,   0.0633,  -1.1503,   0.1607,  -0.9832
         7,   0.0286,  -1.1246,   0.1864,  -0.9704
         8,   0.0353,  -1.0732,   0.1992,  -0.9447
         9,   0.0955,  -1.0475,   0.2121,  -0.9190
        10,   0.0805,  -1.0218,   0.2249,  -0.9190
        11,   0.0918,  -0.9832,   0.2506,  -0.8804
        12,   0.0984,  -0.9447,   0.2506,  -0.8804
        13,   0.0412,  -0.9190,   0.2763,  -0.8547
        14,  -0.0847,  -0.8933,   0.2635,  -0.8547
        15,  -0.1381,  -0.8547,   0.2892,  -0.8290
        16,  -0.1376,  -0.8418,   0.2763,  -0.8033
        17,  -0.1136,  -0.8290,   0.3020,  -0.7904
        18,  -0.0662,  -0.8161,   0.3149,  -0.7647
        19,  -0.0085,  -0.7904,   0.2892,  -0.7390
        20,   0.0483,  -0.7776,   0.3020,  -0.6876
        21,   0.0884,  -0.7519,   0.3149,  -0.6491
        22,   0.0980,  -0.7390,   0.3149,  -0.6234
        23,   0.0807,  -0.7262,   0.3277,  -0.5719
        24,  -0.0104,  -0.7262,   0.3149,  -0.5462
        25,  -0.0717,  -0.7005,   0.3277,  -0.4948
        26,  -0.1170,  -0.7262,   0.3277,  -0.4434
        27,  -0.0698,  -0.7262,   0.3277,  -0.4177
        28,   0.0021,  -0.7133,   0.3277,  -0.3663
        29,   0.0113,  -0.7262,   0.3149,  -0.3277
        30,   0.0028,  -0.7390,   0.3020,  -0.2635
        31,   0.0270,  -0.7519,   0.2763,  -0.2249
        32,   0.0345,  -0.7647,   0.2506,  -0.1864
        33,   0.0307,  -0.7133,   0.2506,  -0.1350
        34,   0.0316,  -0.7904,   0.2249,  -0.1092
        35,   0.0262,  -0.8161,   0.2249,  -0.0450
        36,   0.0276,  -0.8290,   0.2121,   0.0193
        37,   0.0360,  -0.8418,   0.1864,   0.0450
        38,   0.0543,  -0.8676,   0.1735,   0.0835
        39,   0.0757,  -0.8676,   0.1607,   0.1350
        40,   0.0603,  -0.8933,   0.1350,   0.1992
        41,   0.0009,  -0.9190,   0.1350,   0.2249
        42,  -0.0539,  -0.9447,   0.1221,   0.3020
        43,  -0.0281,  -0.9704,   0.1092,   0.3534
        44,   0.0083,  -0.9704,   0.1092,   0.3534
        45,  -0.0166,  -1.0089,   0.0964,   0.4049
        46,  -0.0082,  -1.0218,   0.0707,   0.4177
        47,   0.0316,  -1.0475,   0.0450,   0.4563
        48,   0.0307,  -1.0860,   0.0450,   0.5077
        49,   0.0124,  -1.0603,   0.0450,   0.5077
        50,   0.0302,  -1.0989,   0.0321,   0.4948
        51,   0.0389,  -1.0860,   0.0321,   0.5077
        52,  -0.0004,  -1.0860,   0.0193,   0.5205
        53,  -0.0259,  -1.0732,   0.0064,   0.5077
        54,  -0.0006,  -1.0603,   0.0193,   0.5205
        55,  -0.0185,  -1.0603,   0.0064,   0.5077
        56,  -0.0523,  -1.0603,   0.0064,   0.5205
        57,  -0.0500,  -1.0475,   0.0193,   0.4948
        58,   0.0254,  -1.0346,   0.0321,   0.5205
        59,   0.0993,  -1.0218,   0.0321,   0.4691
        60,   0.1650,  -1.0089,   0.0450,   0.4306
        61,   0.1667,  -0.9961,   0.0450,   0.4177
        62,   0.1323,  -0.9704,   0.0578,   0.3920
        63,   0.0653,  -0.9575,   0.0707,   0.3534
        64,  -0.0281,  -0.9318,   0.0835,   0.3534
        65,  -0.0992,  -0.9318,   0.0964,   0.3406
        66,  -0.0453,  -0.9190,   0.1221,   0.2892
        67,  -0.0080,  -0.8933,   0.1350,   0.3020
        68,  -0.0427,  -0.8804,   0.1350,   0.2763
        69,  -0.0273,  -0.8547,   0.1478,   0.2249
        70,  -0.0045,  -0.8418,   0.1864,   0.2121
        71,   0.0171,  -0.8290,   0.1992,   0.1735
        72,   0.0536,  -0.8290,   0.2249,   0.1607
        73,   0.0888,  -0.8161,   0.2378,   0.1221
        74,   0.1105,  -0.8161,   0.2506,   0.0835
        75,   0.1329,  -0.8161,   0.2635,   0.0578
        76,   0.1363,  -0.8033,   0.2892,   0.0064
        77,   0.0528,  -0.8161,   0.2892,  -0.0193
        78,   0.0010,  -0.8290,   0.3149,  -0.0064
        79,   0.0131,  -0.8033,   0.3149,  -0.0835
        80,  -0.0144,  -0.8418,   0.3406,  -0.1221
        81,  -0.1573,  -0.8418,   0.3534,  -0.1350
