製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,3,,,,,
計測開始時刻 ,2018/2/27 11:08,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
104,0.0364,0.3663,0.8033,-0.1221,,0.0364
105,0.0108,0.3406,0.8033,-0.1478,,0.0108
106,0.0324,0.3534,0.8161,-0.1092,,0.0324
107,0.0179,0.3406,0.8161,-0.1221,,0.0179
108,0.0149,0.3406,0.8161,-0.1092,,0.0149
109,0.0104,0.3663,0.8161,-0.135,,0.0104
110,0.003,0.3406,0.8033,-0.1221,,0.003
111,0.013,0.3534,0.7904,-0.1092,,0.013
112,0.0193,0.3534,0.8033,-0.1092,,0.0193
113,0.006,0.3277,0.8033,-0.1092,,0.006
114,0.0155,0.3406,0.8161,-0.1092,,0.0155
115,0.0323,0.3534,0.8161,-0.1221,,0.0323
116,0.0058,0.3534,0.8161,-0.1221,,0.0058
117,0.0135,0.3406,0.829,-0.1221,,0.0135
118,0.0064,0.392,0.8161,-0.1478,,0.0064
119,0.0112,0.3534,0.8161,-0.1221,,0.0112
120,0.0213,0.3534,0.8161,-0.135,,0.0213
121,0.0614,0.3406,0.8161,-0.1221,,0.0614
122,0.0654,0.3406,0.8161,-0.1092,,0.0654
123,0.0448,0.3277,0.8161,-0.1092,,0.0448
124,0.039,0.3406,0.829,-0.1221,,0.039
125,0.0347,0.3277,0.8033,-0.135,,0.0347
126,0.0284,0.3534,0.8161,-0.1092,,0.0284
127,0.0297,0.3406,0.8161,-0.1478,,0.0297
128,0.0401,0.3406,0.8161,-0.135,,0.0401
129,0.034,0.3534,0.829,-0.135,,0.034
130,0.0303,0.3406,0.8161,-0.1221,,0.0303
131,0.0294,0.3534,0.829,-0.1221,,0.0294
132,0.0229,0.3406,0.829,-0.0835,,0.0229
133,0.0002,0.392,0.8033,-0.1092,,0.0002
134,-0.0259,0.3406,0.8033,-0.1221,,0.0259
135,-0.0511,0.3406,0.8033,-0.1092,,0.0511
136,-0.0266,0.3406,0.8161,-0.1221,,0.0266
137,-0.0302,0.3277,0.829,-0.0964,,0.0302
138,-0.0233,0.3277,0.829,-0.135,,0.0233
139,0.0122,0.3277,0.829,-0.1221,,0.0122
140,0.0479,0.3406,0.829,-0.1092,,0.0479
141,0.0483,0.3534,0.829,-0.1221,,0.0483
142,0.0891,0.3406,0.8161,-0.1221,,0.0891
143,0.1199,0.3534,0.8161,-0.1092,,0.1199
144,0.1178,0.3406,0.8033,-0.1478,,0.1178
145,0.0775,0.3534,0.829,-0.1092,,0.0775
146,0.0682,0.3534,0.8418,-0.0964,,0.0682
147,0.0513,0.3663,0.829,-0.0964,,0.0513
148,0.0418,0.3534,0.8418,-0.1221,,0.0418
149,0.0367,0.3663,0.8161,-0.135,,0.0367
150,0.0126,0.3663,0.8161,-0.1221,,0.0126
151,0.0204,0.3534,0.8161,-0.1092,,0.0204
152,0.0167,0.3534,0.8161,-0.1221,,0.0167
153,0.0036,0.3406,0.829,-0.1221,,0.0036
154,0.0058,0.3406,0.8161,-0.1221,,0.0058
155,0.0075,0.3534,0.8161,-0.1092,,0.0075
156,0.0105,0.3406,0.8161,-0.1221,,0.0105
157,0.0305,0.3534,0.8161,-0.135,,0.0305
158,0.0352,0.3663,0.8161,-0.135,,0.0352
159,0.0192,0.3534,0.8161,-0.1478,,0.0192
160,0.0038,0.3534,0.8161,-0.1092,,0.0038
161,0.0056,0.3663,0.829,-0.1092,,0.0056
162,0.0052,0.3534,0.829,-0.0964,,0.0052
163,-0.0014,0.4049,0.829,-0.1221,,0.0014
164,0.016,0.3792,0.829,-0.135,,0.016
165,-0.0184,0.3663,0.8161,-0.0964,,0.0184
166,0.0039,0.3663,0.8161,-0.1221,,0.0039
167,-0.0104,0.3663,0.8161,-0.1478,,0.0104
168,-0.0195,0.3663,0.8161,-0.0964,,0.0195
169,0.017,0.3406,0.8161,-0.1478,,0.017
170,0.0488,0.3534,0.8161,-0.135,,0.0488
171,0.0895,0.3534,0.8161,-0.135,,0.0895
172,0.105,0.3534,0.8033,-0.135,,0.105
173,0.0683,0.3534,0.8033,-0.1221,,0.0683
174,0.0406,0.3792,0.8033,-0.1478,,0.0406
175,0.0268,0.3534,0.8161,-0.135,,0.0268
176,0.0251,0.3534,0.7904,-0.1221,,0.0251
177,0.0316,0.3534,0.8161,-0.1221,,0.0316
178,0.0274,0.3534,0.8161,-0.1092,,0.0274
179,0.0321,0.3792,0.829,-0.1092,,0.0321
180,0.0449,0.3663,0.8161,-0.1221,,0.0449
181,0.0457,0.3534,0.8161,-0.135,,0.0457
182,0.0464,0.3534,0.8161,-0.1221,,0.0464
183,0.0252,0.3534,0.8033,-0.1092,,0.0252
184,0.0196,0.3406,0.8161,-0.1221,,0.0196
185,0.0226,0.3277,0.8161,-0.1092,,0.0226
186,0.036,0.3406,0.8161,-0.1221,,0.036
187,0.0426,0.3277,0.8161,-0.1221,,0.0426
188,0.0256,0.4049,0.8033,-0.1221,,0.0256
189,0.0122,0.3534,0.8033,-0.1607,,0.0122
190,0.0202,0.3277,0.8161,-0.135,,0.0202
191,0.0127,0.3277,0.829,-0.135,,0.0127
192,0.0108,0.3406,0.829,-0.1092,,0.0108
193,0.0236,0.3406,0.829,-0.1221,,0.0236
194,0.0104,0.3277,0.829,-0.135,,0.0104
195,0.0133,0.3406,0.829,-0.1092,,0.0133
196,0.013,0.3406,0.8161,-0.135,,0.013
197,0.003,0.3534,0.8161,-0.1092,,0.003
198,0.0174,0.3406,0.8161,-0.1221,,0.0174
199,0.0045,0.3406,0.8161,-0.135,,0.0045
200,0.0079,0.3277,0.829,-0.1221,,0.0079
201,-0.004,0.3406,0.8161,-0.1221,,0.004
202,-0.0065,0.3277,0.8161,-0.1221,,0.0065
203,0.0207,0.4049,0.8161,-0.0964,,0.0207
204,0.0508,0.3534,0.8161,-0.1221,,0.0508
205,0.0698,0.3406,0.8161,-0.0964,,0.0698
206,0.0609,0.3406,0.8033,-0.1221,,0.0609
207,0.0456,0.3534,0.8161,-0.1092,,0.0456
208,0.0398,0.3406,0.829,-0.1092,,0.0398
209,0.0416,0.3406,0.8161,-0.1221,,0.0416
210,0.036,0.3406,0.829,-0.1478,,0.036
211,0.0394,0.3534,0.829,-0.0964,,0.0394
212,0.0464,0.3534,0.8033,-0.1221,,0.0464
213,0.0394,0.3534,0.829,-0.1221,,0.0394
214,0.0162,0.3534,0.8161,-0.1221,,0.0162
215,0.0144,0.3277,0.8161,-0.1221,,0.0144
216,0.0192,0.3277,0.8161,-0.135,,0.0192
217,0.0305,0.3406,0.8033,-0.1092,,0.0305
218,0.0325,0.3406,0.829,-0.135,,0.0325
219,0.024,0.3663,0.8033,-0.1221,,0.024
220,0.0116,0.3534,0.8161,-0.135,,0.0116
221,0.0138,0.3534,0.8161,-0.1092,,0.0138
222,0.0232,0.3534,0.8161,-0.1221,,0.0232
223,0.0155,0.3534,0.829,-0.1221,,0.0155
224,0.0188,0.3534,0.829,-0.1092,,0.0188
225,0.0208,0.3534,0.829,-0.1092,,0.0208
226,-0.0083,0.3534,0.8161,-0.1221,,0.0083
227,-0.0197,0.3534,0.8161,-0.1221,,0.0197
228,-0.031,0.3534,0.8033,-0.1221,,0.031
229,-0.0298,0.3534,0.8161,-0.135,,0.0298
230,-0.0475,0.3534,0.8161,-0.135,,0.0475
231,-0.0288,0.3406,0.829,-0.135,,0.0288
232,-0.001,0.3534,0.8161,-0.1221,,0.001
233,0.0881,0.3277,0.8161,-0.135,,0.0881
234,0.1246,0.3534,0.8033,-0.1478,,0.1246
235,0.0749,0.3663,0.829,-0.1221,,0.0749
236,0.0947,0.3534,0.829,-0.135,,0.0947
237,0.1114,0.3534,0.8161,-0.1221,,0.1114
238,0.076,0.3663,0.829,-0.1092,,0.076
239,0.0642,0.3406,0.8161,-0.1092,,0.0642
240,0.0629,0.3534,0.8161,-0.0964,,0.0629
241,0.0643,0.3534,0.8161,-0.135,,0.0643
242,0.0543,0.3663,0.8161,-0.1221,,0.0543
243,0.047,0.3663,0.8033,-0.1092,,0.047
244,0.0415,0.3663,0.8161,-0.1221,,0.0415
245,0.0252,0.3663,0.8161,-0.1092,,0.0252
246,0.0091,0.3534,0.8161,-0.135,,0.0091
247,0.0169,0.3406,0.8033,-0.1092,,0.0169
248,0.0064,0.4049,0.8033,-0.1478,,0.0064
249,-0.007,0.3663,0.8161,-0.135,,0.007
250,0.0215,0.3663,0.8161,-0.1221,,0.0215
251,0.0133,0.3663,0.8033,-0.135,,0.0133
252,0.022,0.3534,0.8033,-0.1221,,0.022
253,0.01,0.3663,0.8161,-0.135,,0.01
254,0.0182,0.3663,0.8161,-0.135,,0.0182
255,0.0335,0.3663,0.8161,-0.1221,,0.0335
256,0.0457,0.3534,0.8161,-0.135,,0.0457
257,0.0303,0.3663,0.829,-0.1092,,0.0303
258,0.0218,0.3534,0.8033,-0.135,,0.0218
259,0.0241,0.3663,0.8161,-0.1478,,0.0241
260,0.0245,0.3534,0.8161,-0.135,,0.0245
261,0.0074,0.3663,0.8161,-0.135,,0.0074
262,0.0256,0.3534,0.8161,-0.135,,0.0256
263,0.0124,0.3663,0.8033,-0.135,,0.0124
264,-0.0031,0.4177,0.7904,-0.1478,,0.0031
265,-0.0023,0.3792,0.8033,-0.1478,,0.0023
266,-0.031,0.3534,0.7904,-0.1221,,0.031
267,-0.0251,0.3663,0.8033,-0.1221,,0.0251
268,-0.0248,0.3406,0.8033,-0.135,,0.0248
269,-0.0017,0.3406,0.8033,-0.135,,0.0017
270,0.0229,0.3663,0.8161,-0.0964,,0.0229
271,0.0491,0.3663,0.8161,-0.1221,,0.0491
272,0.0672,0.3663,0.829,-0.135,,0.0672
273,0.08,0.3663,0.829,-0.1092,,0.08
274,0.0721,0.3663,0.8033,-0.135,,0.0721
275,0.0678,0.3663,0.8161,-0.1221,,0.0678
276,0.0931,0.3663,0.7904,-0.135,,0.0931
277,0.0644,0.3534,0.8033,-0.135,,0.0644
278,0.0534,0.3406,0.8033,-0.135,,0.0534
279,0.0272,0.3534,0.8161,-0.135,,0.0272
280,0.0226,0.3534,0.8033,-0.135,,0.0226
281,0.0255,0.3663,0.8161,-0.135,,0.0255
282,0.0146,0.3534,0.8033,-0.135,,0.0146
283,0.013,0.3534,0.8033,-0.1221,,0.013
284,0.0144,0.3534,0.8033,-0.1221,,0.0144
285,0.0002,0.3406,0.8033,-0.1221,,0.0002
286,0.0047,0.3534,0.829,-0.1221,,0.0047
287,0.0058,0.3534,0.8161,-0.135,,0.0058
288,0.0091,0.3534,0.8033,-0.135,,0.0091
289,0.0112,0.3534,0.7904,-0.135,,0.0112
290,0.0122,0.3534,0.8033,-0.1478,,0.0122
291,0.013,0.3663,0.8033,-0.135,,0.013
292,0.0248,0.3534,0.8161,-0.1092,,0.0248
293,0.0254,0.3406,0.8161,-0.1221,,0.0254
294,0.0258,0.3534,0.8161,-0.1221,,0.0258
295,0.0361,0.3534,0.8033,-0.135,,0.0361
296,0.0192,0.3534,0.8033,-0.135,,0.0192
297,-0.0042,0.3406,0.8033,-0.135,,0.0042
298,-0.0146,0.3534,0.8033,-0.1092,,0.0146
299,-0.0112,0.3534,0.8033,-0.1092,,0.0112
300,-0.0188,0.3534,0.8033,-0.1092,,0.0188
301,0.0003,0.3663,0.8161,-0.1221,,0.0003
302,0.0064,0.3534,0.8161,-0.0964,,0.0064
303,0.0182,0.392,0.8161,-0.1221,,0.0182
304,0.0427,0.4049,0.8033,-0.1221,,0.0427
305,0.0617,0.3534,0.8033,-0.135,,0.0617
306,0.0695,0.3534,0.8033,-0.1478,,0.0695
307,0.1012,0.3663,0.8161,-0.1221,,0.1012
308,0.0765,0.3534,0.8033,-0.1221,,0.0765
309,0.0565,0.3534,0.8033,-0.135,,0.0565
310,0.0283,0.3534,0.8161,-0.1221,,0.0283
311,0.0404,0.3534,0.7904,-0.1478,,0.0404
312,0.0324,0.3663,0.8033,-0.0964,,0.0324
313,0.0445,0.3663,0.8033,-0.1092,,0.0445
314,0.0335,0.3406,0.8033,-0.1221,,0.0335
315,0.003,0.3534,0.8033,-0.1221,,0.003
316,0.0089,0.3663,0.8161,-0.1092,,0.0089
317,0.0075,0.3534,0.8033,-0.1092,,0.0075
318,0.0181,0.3406,0.8033,-0.1221,,0.0181
319,0.0768,0.3663,0.8033,-0.135,,0.0768
320,0.0596,0.3534,0.8033,-0.1092,,0.0596
321,0.0303,0.3534,0.7904,-0.135,,0.0303
322,-0.0101,0.3534,0.8033,-0.1221,,0.0101
323,-0.0102,0.3663,0.8033,-0.0964,,0.0102
324,0.0094,0.3406,0.8161,-0.1221,,0.0094
325,0.0276,0.3406,0.8033,-0.135,,0.0276
326,0.0185,0.3534,0.7904,-0.1221,,0.0185
327,0.0032,0.3534,0.8033,-0.135,,0.0032
328,0.0085,0.3534,0.8033,-0.1478,,0.0085
329,0.008,0.3663,0.8033,-0.1092,,0.008
330,0.044,0.3534,0.7776,-0.1221,,0.044
331,0.0604,0.3663,0.8033,-0.1092,,0.0604
332,0.0464,0.3534,0.8033,-0.1221,,0.0464
333,0.0332,0.3406,0.8033,-0.1221,,0.0332
334,0.0595,0.3663,0.8161,-0.1478,,0.0595
335,0.0626,0.3663,0.7904,-0.1092,,0.0626
336,0.0827,0.3663,0.7904,-0.1221,,0.0827
337,0.0533,0.3534,0.8033,-0.135,,0.0533
338,0.0272,0.3534,0.8033,-0.1092,,0.0272
339,0.038,0.3534,0.8033,-0.1092,,0.038
340,0.0387,0.3534,0.8161,-0.1092,,0.0387
341,0.0254,0.3534,0.7904,-0.1221,,0.0254
342,0.0166,0.3534,0.7904,-0.1221,,0.0166
343,-0.0008,0.3534,0.7904,-0.1478,,0.0008
344,-0.004,0.3534,0.7904,-0.1221,,0.004
345,-0.0032,0.3534,0.8033,-0.0964,,0.0032
346,0.0023,0.3534,0.8033,-0.1221,,0.0023
347,-0.0056,0.3534,0.8161,-0.0964,,0.0056
348,0.0079,0.3663,0.8033,-0.1092,,0.0079
349,0.0037,0.3663,0.8033,-0.1092,,0.0037
350,-0.0208,0.3663,0.7904,-0.1092,,0.0208
351,-0.0064,0.3534,0.7904,-0.1221,,0.0064
352,0.0361,0.3663,0.7904,-0.1092,,0.0361
353,0.0735,0.3534,0.8033,-0.135,,0.0735
354,0.0601,0.3663,0.8161,-0.1092,,0.0601
355,0.0856,0.3534,0.8033,-0.0964,,0.0856
356,0.0653,0.3534,0.8033,-0.0964,,0.0653
357,0.053,0.3534,0.8033,-0.1221,,0.053
358,0.0351,0.3534,0.7904,-0.1092,,0.0351
359,0.0514,0.3663,0.8033,-0.135,,0.0514
360,0.0394,0.3663,0.7904,-0.0964,,0.0394
361,0.0078,0.3534,0.7904,-0.0964,,0.0078
362,-0.0246,0.3663,0.8033,-0.0964,,0.0246
363,0.0072,0.3406,0.8033,-0.1221,,0.0072
364,0.0297,0.3534,0.8033,-0.1092,,0.0297
365,0.0453,0.3534,0.8161,-0.1092,,0.0453
366,0.046,0.3534,0.8161,-0.1092,,0.046
367,0.0444,0.3663,0.8033,-0.1092,,0.0444
368,0.0196,0.3663,0.8161,-0.1221,,0.0196
369,0.0109,0.3663,0.8033,-0.1478,,0.0109
370,0.0211,0.3663,0.8161,-0.1092,,0.0211
371,0.0185,0.3406,0.8033,-0.1092,,0.0185
372,0.0173,0.3534,0.8033,-0.1221,,0.0173
373,0.0174,0.4177,0.7904,-0.1221,,0.0174
374,0.0259,0.3663,0.8033,-0.135,,0.0259
375,0.0441,0.3534,0.8161,-0.1221,,0.0441
376,0.0345,0.3663,0.8161,-0.1092,,0.0345
377,0.0577,0.3534,0.8161,-0.1221,,0.0577
378,0.0513,0.3534,0.8161,-0.1092,,0.0513
379,0.0452,0.3663,0.829,-0.0964,,0.0452
380,0.0617,0.3534,0.8161,-0.135,,0.0617
381,0.0472,0.3663,0.8161,-0.1221,,0.0472
382,0.0279,0.3534,0.8033,-0.0964,,0.0279
383,0.0023,0.3663,0.8033,-0.1221,,0.0023
384,-0.0111,0.3534,0.8033,-0.0964,,0.0111
385,-0.0134,0.3534,0.8161,-0.1092,,0.0134
386,-0.0149,0.3534,0.8033,-0.0964,,0.0149
387,-0.023,0.3534,0.8161,-0.1478,,0.023
388,0.0069,0.4049,0.8161,-0.1221,,0.0069
389,0.0355,0.3534,0.8033,-0.1092,,0.0355
390,0.0697,0.3663,0.8033,-0.0964,,0.0697
391,0.0812,0.3663,0.8033,-0.135,,0.0812
392,0.1206,0.3534,0.8033,-0.1221,,0.1206
393,0.0875,0.3663,0.8161,-0.1221,,0.0875
394,0.0481,0.3663,0.8161,-0.1092,,0.0481
395,0.0316,0.3663,0.8033,-0.1092,,0.0316
396,0.0334,0.3406,0.8161,-0.1092,,0.0334
397,0.016,0.3663,0.8161,-0.1092,,0.016
398,-0.0002,0.3534,0.8033,-0.1092,,0.0002
