製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,3,,,,,
計測開始時刻 ,2018/2/27 11:09,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMZ絶対値
1,0,0.4177,0.7904,-0.1092,,0
2,0.0518,0.4691,0.7519,-0.0964,,0.0518
3,0.0201,0.482,0.7519,-0.0707,,0.0201
4,0.0317,0.482,0.739,-0.0578,,0.0317
5,0.0278,0.4691,0.739,-0.0707,,0.0278
6,0.0543,0.482,0.7262,-0.0835,,0.0543
7,0.048,0.482,0.739,-0.0964,,0.048
8,0.0383,0.482,0.7519,-0.0964,,0.0383
9,0.0386,0.482,0.739,-0.0578,,0.0386
10,0.0299,0.4691,0.7519,-0.0835,,0.0299
11,0.0175,0.4691,0.7519,-0.0835,,0.0175
12,0.0166,0.4691,0.739,-0.0835,,0.0166
13,0.0085,0.4948,0.7262,-0.0964,,0.0085
14,-0.0058,0.482,0.739,-0.0964,,0.0058
15,-0.0193,0.482,0.7262,-0.1092,,0.0193
16,-0.0108,0.482,0.7519,-0.1221,,0.0108
17,-0.0182,0.4691,0.7519,-0.0578,,0.0182
18,0.0078,0.4691,0.739,-0.0835,,0.0078
19,0.0217,0.482,0.739,-0.0835,,0.0217
20,0.0237,0.4691,0.739,-0.0707,,0.0237
21,0.0338,0.4691,0.739,-0.0964,,0.0338
22,0.0437,0.482,0.739,-0.0964,,0.0437
23,0.0532,0.482,0.7262,-0.0578,,0.0532
24,0.0186,0.482,0.7519,-0.0578,,0.0186
25,0.0208,0.4563,0.739,-0.1092,,0.0208
26,0.006,0.4691,0.7519,-0.0835,,0.006
27,0.0093,0.4691,0.7519,-0.1092,,0.0093
28,0.0162,0.482,0.739,-0.0964,,0.0162
29,0.0089,0.482,0.7519,-0.1221,,0.0089
