製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 12:01,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
104,-0.024,-0.3534,1.0475,-0.1092,0.024
105,0.0039,-0.3534,1.0603,-0.1092,0.0039
106,0.0265,-0.3663,1.0475,-0.135,0.0265
107,0.0866,-0.3534,1.0475,-0.1092,0.0866
108,0.1004,-0.3534,1.0475,-0.1221,0.1004
109,0.1246,-0.3534,1.0346,-0.135,0.1246
110,0.1253,-0.3534,1.0346,-0.1221,0.1253
111,0.1107,-0.3534,1.0346,-0.1221,0.1107
112,0.1003,-0.3406,1.0475,-0.1221,0.1003
113,0.1131,-0.3534,1.0475,-0.1221,0.1131
114,0.0858,-0.3534,1.0346,-0.1092,0.0858
115,0.0771,-0.3406,1.0475,-0.0835,0.0771
116,0.0643,-0.3534,1.0346,-0.135,0.0643
117,0.0687,-0.3406,1.0346,-0.1478,0.0687
118,0.0625,-0.2892,1.0346,-0.1092,0.0625
119,0.0649,-0.3277,1.0346,-0.135,0.0649
120,0.0664,-0.3534,1.0346,-0.1221,0.0664
121,0.0375,-0.3406,1.0346,-0.1092,0.0375
122,0.0335,-0.3277,1.0475,-0.1092,0.0335
123,0.0144,-0.3534,1.0475,-0.1092,0.0144
124,0.0478,-0.3406,1.0475,-0.0964,0.0478
125,0.0368,-0.3277,1.0218,-0.1092,0.0368
126,0.0313,-0.3406,1.0346,-0.135,0.0313
127,0.0418,-0.3406,1.0475,-0.1092,0.0418
128,0.075,-0.3406,1.0475,-0.1092,0.075
129,0.0719,-0.3406,1.0475,-0.135,0.0719
130,0.0834,-0.3277,1.0346,-0.1221,0.0834
131,0.0785,-0.3406,1.0475,-0.1221,0.0785
132,0.0754,-0.3277,1.0346,-0.1221,0.0754
133,0.051,-0.3406,1.0475,-0.0964,0.051
134,0.0361,-0.3406,1.0218,-0.1092,0.0361
135,0.0302,-0.3406,1.0218,-0.0835,0.0302
136,0.0448,-0.3406,1.0475,-0.1092,0.0448
137,0.053,-0.3406,1.0475,-0.0964,0.053
138,0.0646,-0.3406,1.0475,-0.1092,0.0646
139,0.0589,-0.3406,1.0346,-0.1092,0.0589
140,0.06,-0.3406,1.0346,-0.1092,0.06
141,0.0687,-0.3406,1.0346,-0.135,0.0687
142,0.0563,-0.3534,1.0218,-0.1092,0.0563
143,0.0735,-0.3406,1.0346,-0.0964,0.0735
144,0.0816,-0.3534,1.0475,-0.1092,0.0816
145,0.0793,-0.3534,1.0346,-0.1221,0.0793
146,0.0653,-0.3534,1.0475,-0.1092,0.0653
147,0.0493,-0.3406,1.0346,-0.1092,0.0493
148,0.0431,-0.2892,1.0218,-0.1221,0.0431
149,0.0386,-0.3406,1.0346,-0.1221,0.0386
150,0.0351,-0.3406,1.0346,-0.1221,0.0351
151,0.0251,-0.3534,1.0346,-0.1092,0.0251
