製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 11:32,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,-0.0835,0.7519,-0.4691,,0
2,-0.0505,-0.0321,0.7776,-0.482,,0.0505
3,-0.0449,-0.0193,0.7904,-0.4948,,0.0449
4,-0.056,-0.0193,0.7776,-0.5077,,0.056
5,-0.0459,-0.0321,0.7776,-0.5077,,0.0459
6,-0.0545,-0.0193,0.7647,-0.482,,0.0545
7,-0.0422,-0.0193,0.7647,-0.4691,,0.0422
8,-0.0324,-0.0193,0.7776,-0.482,,0.0324
9,-0.0358,-0.0193,0.7776,-0.4691,,0.0358
10,-0.057,-0.045,0.7904,-0.482,,0.057
11,-0.0767,-0.0321,0.7776,-0.4691,,0.0767
12,-0.0505,-0.0321,0.7776,-0.4948,,0.0505
13,-0.0401,-0.0193,0.7776,-0.482,,0.0401
14,-0.0376,-0.0321,0.7776,-0.482,,0.0376
15,-0.0547,-0.0321,0.7776,-0.4691,,0.0547
16,-0.07,-0.0064,0.7647,-0.4948,,0.07
17,-0.0588,-0.0321,0.7904,-0.482,,0.0588
18,-0.0574,-0.045,0.7647,-0.4948,,0.0574
19,-0.0376,-0.0193,0.7776,-0.482,,0.0376
20,-0.0524,-0.0321,0.7776,-0.4691,,0.0524
21,-0.0598,-0.0193,0.7776,-0.5205,,0.0598
22,-0.0738,-0.0193,0.7776,-0.5077,,0.0738
23,-0.064,-0.0193,0.7776,-0.4948,,0.064
24,-0.0433,-0.0193,0.7776,-0.482,,0.0433
25,-0.0449,-0.0321,0.7647,-0.4948,,0.0449
26,-0.0297,-0.0193,0.7776,-0.4948,,0.0297
27,-0.0397,-0.0193,0.7647,-0.5077,,0.0397
28,-0.023,-0.0193,0.7647,-0.482,,0.023
29,-0.0199,-0.0064,0.7776,-0.5077,,0.0199
30,-0.0138,-0.0064,0.7904,-0.4948,,0.0138
31,-0.0313,-0.0193,0.7776,-0.4948,,0.0313
32,-0.0236,-0.0193,0.7904,-0.4948,,0.0236
33,-0.0397,0.0193,0.7647,-0.4563,,0.0397
34,-0.0393,-0.0193,0.7647,-0.4691,,0.0393
35,-0.0096,-0.0321,0.7647,-0.4563,,0.0096
36,-0.0039,-0.0193,0.7519,-0.482,,0.0039
37,-0.0113,-0.0321,0.7647,-0.4948,,0.0113
38,-0.0327,-0.0193,0.7647,-0.4691,,0.0327
39,-0.0401,-0.0193,0.7776,-0.4691,,0.0401
40,-0.0241,-0.0321,0.7647,-0.5077,,0.0241
41,-0.0218,-0.0193,0.7647,-0.482,,0.0218
42,-0.0428,-0.0193,0.7647,-0.4948,,0.0428
43,-0.042,-0.0321,0.7647,-0.4691,,0.042
44,-0.0398,-0.0064,0.7904,-0.4948,,0.0398
45,-0.0306,-0.0064,0.7776,-0.4948,,0.0306
46,-0.0223,-0.0193,0.7647,-0.5205,,0.0223
47,-0.0462,-0.0064,0.7776,-0.4948,,0.0462
48,-0.0595,0.0064,0.7904,-0.482,,0.0595
49,-0.0437,-0.0193,0.7647,-0.4948,,0.0437
50,-0.0357,-0.0321,0.7904,-0.5077,,0.0357
51,-0.024,-0.0321,0.7776,-0.482,,0.024
