製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 11:34,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,-0.0064,0.7647,-0.482,,0
2,-0.0149,-0.0578,0.739,-0.4434,,0.0149
3,-0.0081,-0.0578,0.7519,-0.4434,,0.0081
4,-0.0093,-0.0578,0.7519,-0.4434,,0.0093
5,-0.0071,-0.0707,0.7519,-0.4434,,0.0071
6,0.0114,-0.0707,0.7519,-0.4434,,0.0114
7,0.0049,-0.0707,0.7647,-0.4306,,0.0049
8,0.0215,-0.0707,0.7647,-0.4434,,0.0215
9,0.0153,-0.0707,0.7519,-0.4563,,0.0153
10,0.0123,-0.0707,0.7647,-0.4691,,0.0123
11,0.0021,-0.0707,0.7519,-0.4563,,0.0021
12,-0.0064,-0.0578,0.7647,-0.4434,,0.0064
13,-0.0312,-0.0835,0.7519,-0.4306,,0.0312
14,-0.0204,-0.0707,0.7647,-0.4563,,0.0204
15,-0.0383,-0.0578,0.7519,-0.4563,,0.0383
16,-0.0196,-0.0707,0.7519,-0.4434,,0.0196
17,-0.0235,-0.0707,0.7519,-0.4434,,0.0235
18,-0.0463,-0.0835,0.7519,-0.4563,,0.0463
19,-0.0368,-0.0835,0.7519,-0.4434,,0.0368
20,-0.0552,-0.0707,0.7647,-0.4306,,0.0552
21,-0.0536,-0.0835,0.7647,-0.4434,,0.0536
22,-0.0361,-0.0707,0.7647,-0.4563,,0.0361
23,-0.0453,-0.0707,0.7519,-0.4563,,0.0453
24,-0.0419,-0.0707,0.7647,-0.4434,,0.0419
25,-0.0497,-0.0707,0.7519,-0.4434,,0.0497
26,-0.0584,-0.0707,0.7519,-0.4691,,0.0584
27,-0.0246,-0.0835,0.7647,-0.4563,,0.0246
28,-0.0339,-0.0707,0.7519,-0.4306,,0.0339
29,-0.0163,-0.0835,0.7647,-0.4563,,0.0163
30,-0.0313,-0.0835,0.7647,-0.4306,,0.0313
31,-0.0209,-0.0707,0.7519,-0.4691,,0.0209
32,-0.0199,-0.0835,0.7519,-0.4563,,0.0199
33,-0.0318,-0.0064,0.7647,-0.4434,,0.0318
34,-0.0349,-0.0835,0.7519,-0.4691,,0.0349
35,-0.0463,-0.0835,0.7647,-0.4563,,0.0463
36,-0.0245,-0.0835,0.7647,-0.4434,,0.0245
37,-0.0116,-0.0964,0.7647,-0.4434,,0.0116
38,-0.0195,-0.0835,0.7519,-0.4434,,0.0195
39,-0.0214,-0.0835,0.7519,-0.4434,,0.0214
40,-0.0428,-0.0707,0.7647,-0.4691,,0.0428
41,-0.0453,-0.0835,0.7647,-0.4563,,0.0453
42,-0.0423,-0.0835,0.7519,-0.4563,,0.0423
43,-0.0499,-0.0707,0.7647,-0.4434,,0.0499
44,-0.0346,-0.0835,0.7647,-0.4434,,0.0346
45,-0.0428,-0.0707,0.7647,-0.4434,,0.0428
46,-0.0415,-0.0835,0.7647,-0.4563,,0.0415
47,-0.0294,-0.0707,0.7647,-0.4691,,0.0294
48,-0.0179,-0.0321,0.7647,-0.4434,,0.0179
49,-0.0329,-0.0835,0.7519,-0.4563,,0.0329
50,-0.0356,-0.0964,0.7519,-0.4434,,0.0356
51,-0.0341,-0.0835,0.7519,-0.4434,,0.0341
52,-0.0149,-0.0964,0.7647,-0.4563,,0.0149
53,-0.012,-0.0964,0.7647,-0.4563,,0.012
54,-0.0166,-0.0835,0.7647,-0.482,,0.0166
55,0.0014,-0.0835,0.7519,-0.4434,,0.0014
56,0.0049,-0.0835,0.7519,-0.4434,,0.0049
57,-0.0042,-0.0835,0.7262,-0.4306,,0.0042
58,0.007,-0.0835,0.7647,-0.4563,,0.007
59,-0.0083,-0.0964,0.7647,-0.4691,,0.0083
60,-0.0133,-0.0835,0.7647,-0.4434,,0.0133
61,-0.0266,-0.0707,0.7647,-0.4306,,0.0266
62,-0.0445,-0.0835,0.7647,-0.4434,,0.0445
63,-0.0292,-0.0964,0.7647,-0.4563,,0.0292
64,-0.0229,-0.0835,0.7519,-0.4563,,0.0229
65,-0.0371,-0.0835,0.739,-0.4434,,0.0371
66,-0.0634,-0.0964,0.7647,-0.4434,,0.0634
67,-0.0434,-0.0964,0.7519,-0.4563,,0.0434
68,-0.0623,-0.0835,0.7519,-0.4434,,0.0623
69,-0.0724,-0.0835,0.7647,-0.482,,0.0724
70,-0.0626,-0.0835,0.7519,-0.4563,,0.0626
71,-0.075,-0.0835,0.7647,-0.4563,,0.075
72,-0.0639,-0.0835,0.7519,-0.4563,,0.0639
73,-0.0609,-0.0707,0.7519,-0.4563,,0.0609
74,-0.0695,-0.0835,0.7647,-0.4563,,0.0695
75,-0.0742,-0.0964,0.7776,-0.4177,,0.0742
76,-0.0559,-0.0707,0.7776,-0.4306,,0.0559
77,-0.0494,-0.0707,0.7647,-0.4434,,0.0494
78,-0.0404,-0.0835,0.7776,-0.482,,0.0404
79,-0.0291,-0.0707,0.7519,-0.4563,,0.0291
80,-0.0338,-0.0707,0.7647,-0.4563,,0.0338
81,-0.0429,-0.0707,0.7647,-0.4434,,0.0429
82,-0.0225,-0.0835,0.7647,-0.4306,,0.0225
83,-0.0328,-0.0835,0.7647,-0.4434,,0.0328
84,-0.024,-0.0835,0.7647,-0.4434,,0.024
85,-0.0481,-0.0707,0.7519,-0.4306,,0.0481
86,-0.0398,-0.0707,0.7647,-0.4563,,0.0398
87,-0.0452,-0.0835,0.7519,-0.4691,,0.0452
88,0.0053,-0.0707,0.7647,-0.4691,,0.0053
89,-0.0002,-0.0835,0.7647,-0.4563,,0.0002
90,0.0072,-0.0835,0.7647,-0.4434,,0.0072
91,-0.0054,-0.0835,0.7647,-0.4306,,0.0054
92,-0.0059,-0.0707,0.7519,-0.4177,,0.0059
93,-0.0181,-0.0835,0.7647,-0.4691,,0.0181
94,-0.0328,-0.0707,0.739,-0.4563,,0.0328
95,-0.0036,-0.0707,0.7647,-0.4306,,0.0036
96,-0.0037,-0.0578,0.7647,-0.4434,,0.0037
97,-0.0153,-0.0707,0.7519,-0.4434,,0.0153
98,-0.028,-0.0707,0.7519,-0.4306,,0.028
99,-0.0062,-0.0707,0.7647,-0.4691,,0.0062
100,-0.0218,-0.0835,0.7519,-0.4563,,0.0218
101,-0.0136,-0.0707,0.7647,-0.4434,,0.0136
102,-0.0162,-0.0707,0.7647,-0.4434,,0.0162
103,-0.0292,-0.0578,0.7647,-0.4563,,0.0292
104,-0.062,-0.0321,0.7647,-0.4563,,0.062
105,-0.0614,-0.0578,0.7647,-0.4177,,0.0614
106,-0.0748,-0.045,0.7776,-0.4434,,0.0748
107,-0.0888,-0.0707,0.7647,-0.4434,,0.0888
108,-0.0845,-0.0578,0.7647,-0.4563,,0.0845
109,-0.0669,-0.0707,0.7647,-0.482,,0.0669
110,-0.0971,-0.0707,0.7519,-0.4691,,0.0971
111,-0.0962,-0.0578,0.7519,-0.4691,,0.0962
112,-0.0606,-0.0707,0.7647,-0.4434,,0.0606
113,-0.0499,-0.0707,0.7647,-0.4434,,0.0499
114,-0.0345,-0.0707,0.7647,-0.4563,,0.0345
115,-0.0222,-0.0835,0.7647,-0.4563,,0.0222
