製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 11:49,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
104,0.0307,-0.6491,0.5591,-0.2892,0.0307
105,0.0276,-0.6619,0.5591,-0.2506,0.0276
106,0.0258,-0.6491,0.5719,-0.2892,0.0258
107,0.0243,-0.6619,0.5848,-0.2635,0.0243
108,0.0124,-0.6619,0.5719,-0.2635,0.0124
109,0.0252,-0.6619,0.5719,-0.2635,0.0252
110,0.0261,-0.6748,0.5719,-0.2763,0.0261
111,0.0261,-0.6619,0.5719,-0.2892,0.0261
112,0.0135,-0.6748,0.5591,-0.2892,0.0135
113,0.0256,-0.6619,0.5848,-0.2763,0.0256
114,0.0192,-0.6748,0.5719,-0.2763,0.0192
115,0.0273,-0.6619,0.5848,-0.2506,0.0273
116,0.014,-0.6619,0.5719,-0.2635,0.014
117,0.0231,-0.6748,0.5848,-0.2635,0.0231
118,0.0277,-0.6748,0.5591,-0.2892,0.0277
119,0.0283,-0.6619,0.5848,-0.2763,0.0283
120,0.031,-0.6748,0.5719,-0.2635,0.031
121,0.032,-0.6748,0.5848,-0.2635,0.032
122,0.038,-0.6619,0.5848,-0.2506,0.038
123,0.0248,-0.6748,0.5719,-0.2635,0.0248
124,0.0378,-0.6619,0.5848,-0.2763,0.0378
125,0.0376,-0.6748,0.5591,-0.2892,0.0376
126,0.0301,-0.6748,0.5719,-0.2506,0.0301
127,0.0272,-0.6619,0.5719,-0.2635,0.0272
128,0.02,-0.6619,0.5848,-0.2506,0.02
129,0.039,-0.6876,0.5719,-0.2763,0.039
130,0.0437,-0.6876,0.5591,-0.2635,0.0437
131,0.0261,-0.6748,0.5719,-0.2763,0.0261
132,0.023,-0.6748,0.5719,-0.2635,0.023
133,0.0274,-0.6105,0.5719,-0.2635,0.0274
134,0.0347,-0.6619,0.5719,-0.2892,0.0347
135,0.0319,-0.6619,0.5719,-0.2635,0.0319
136,0.0346,-0.6748,0.5719,-0.2763,0.0346
137,0.0549,-0.6748,0.5719,-0.2763,0.0549
138,0.032,-0.6748,0.5848,-0.2763,0.032
139,0.0336,-0.6748,0.5719,-0.2635,0.0336
140,0.0503,-0.6491,0.5719,-0.2763,0.0503
141,0.0391,-0.6619,0.5719,-0.2763,0.0391
142,0.0138,-0.6619,0.5591,-0.2892,0.0138
143,0.0298,-0.6619,0.5591,-0.2763,0.0298
144,0.0378,-0.6748,0.5848,-0.2635,0.0378
