製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,3,,,,,
計測開始時刻 ,2018/2/27 11:48,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
1,0,-0.7005,0.5719,-0.2121,,0
2,0.0261,-0.7262,0.5334,-0.2121,,0.0261
3,0.0213,-0.7133,0.5334,-0.2249,,0.0213
4,0.0163,-0.7262,0.5205,-0.2378,,0.0163
5,0.0105,-0.7133,0.5334,-0.2378,,0.0105
6,0.0209,-0.7133,0.5334,-0.2378,,0.0209
7,0.0587,-0.7262,0.5334,-0.2249,,0.0587
8,0.0556,-0.739,0.5205,-0.2121,,0.0556
9,0.0346,-0.7262,0.5334,-0.2378,,0.0346
10,0.0364,-0.7262,0.5334,-0.2249,,0.0364
11,0.036,-0.7133,0.5334,-0.2506,,0.036
12,0.033,-0.7262,0.5077,-0.2378,,0.033
13,0.0301,-0.7262,0.5205,-0.2121,,0.0301
14,0.0297,-0.7133,0.5205,-0.2249,,0.0297
15,0.0197,-0.7262,0.5334,-0.2121,,0.0197
16,0.019,-0.7133,0.5462,-0.2121,,0.019
17,0.0285,-0.7262,0.5205,-0.2249,,0.0285
18,0.0164,-0.6619,0.5462,-0.2121,,0.0164
19,0.0127,-0.7133,0.5205,-0.2249,,0.0127
20,0.0186,-0.7133,0.5334,-0.2249,,0.0186
21,0.0136,-0.7133,0.5334,-0.2249,,0.0136
22,0.016,-0.7262,0.5334,-0.2249,,0.016
23,0.013,-0.7262,0.5334,-0.2506,,0.013
24,0.036,-0.7133,0.5462,-0.2121,,0.036
25,0.0389,-0.7262,0.5334,-0.2249,,0.0389
26,0.0342,-0.7262,0.5334,-0.2249,,0.0342
27,0.0365,-0.7262,0.5334,-0.2249,,0.0365
28,0.0472,-0.7133,0.5462,-0.2249,,0.0472
29,0.0372,-0.7262,0.5334,-0.2378,,0.0372
30,0.0211,-0.7133,0.5205,-0.2249,,0.0211
31,0.0335,-0.7262,0.5462,-0.2121,,0.0335
32,0.02,-0.7262,0.5334,-0.2249,,0.02
33,0.0363,-0.7262,0.5462,-0.2249,,0.0363
34,0.0179,-0.7133,0.5334,-0.2121,,0.0179
35,0.0312,-0.7262,0.5334,-0.2378,,0.0312
36,0.0324,-0.7262,0.5334,-0.2249,,0.0324
37,0.0349,-0.7262,0.5334,-0.2249,,0.0349
38,0.0452,-0.7262,0.5334,-0.2249,,0.0452
39,0.0418,-0.739,0.5334,-0.2378,,0.0418
40,0.0463,-0.739,0.5334,-0.2506,,0.0463
41,0.0324,-0.7262,0.5334,-0.2121,,0.0324
42,0.0375,-0.7262,0.5205,-0.2249,,0.0375
43,0.0376,-0.7262,0.5334,-0.2249,,0.0376
44,0.0259,-0.7262,0.5205,-0.2378,,0.0259
45,0.0364,-0.7262,0.5334,-0.2249,,0.0364
46,0.0309,-0.739,0.5334,-0.1992,,0.0309
47,0.0345,-0.7262,0.5334,-0.2121,,0.0345
48,0.0244,-0.6748,0.5334,-0.2249,,0.0244
49,0.0324,-0.7133,0.5334,-0.2121,,0.0324
50,0.0398,-0.7133,0.5334,-0.2121,,0.0398
51,0.0281,-0.7262,0.5334,-0.2121,,0.0281
52,0.025,-0.7262,0.5334,-0.2249,,0.025
53,0.0245,-0.7262,0.5334,-0.1992,,0.0245
54,0.0269,-0.7262,0.5462,-0.2121,,0.0269
55,0.0327,-0.739,0.5334,-0.2121,,0.0327
56,0.0319,-0.7262,0.5334,-0.1992,,0.0319
57,0.0126,-0.7133,0.5334,-0.2249,,0.0126
58,0.019,-0.739,0.5334,-0.2378,,0.019
59,0.0104,-0.7133,0.5462,-0.2249,,0.0104
60,0.0061,-0.7133,0.5334,-0.1992,,0.0061
61,0.0229,-0.7133,0.5205,-0.2378,,0.0229
62,0.0192,-0.7262,0.5334,-0.2121,,0.0192
63,0.0288,-0.739,0.5462,-0.2249,,0.0288
64,0.013,-0.7133,0.5462,-0.1992,,0.013
65,0.0327,-0.7262,0.5334,-0.2249,,0.0327
66,0.0379,-0.7262,0.5334,-0.2249,,0.0379
67,0.0292,-0.7262,0.5205,-0.2249,,0.0292
68,0.0491,-0.7133,0.5334,-0.2249,,0.0491
69,0.0367,-0.7262,0.5334,-0.2249,,0.0367
70,0.0561,-0.739,0.5205,-0.2378,,0.0561
71,0.0367,-0.7133,0.5334,-0.2249,,0.0367
72,0.0363,-0.7262,0.5334,-0.2378,,0.0363
73,0.0234,-0.7262,0.5334,-0.2378,,0.0234
74,0.0255,-0.7133,0.5334,-0.2121,,0.0255
75,0.0294,-0.7133,0.5205,-0.2378,,0.0294
76,0.0163,-0.7262,0.5334,-0.2378,,0.0163
77,0.0302,-0.7262,0.5334,-0.2249,,0.0302
78,0.0292,-0.6748,0.5334,-0.2249,,0.0292
79,0.0313,-0.7133,0.5334,-0.2378,,0.0313
80,0.0108,-0.7005,0.5334,-0.2249,,0.0108
81,0.0237,-0.7133,0.5334,-0.2249,,0.0237
82,0.0072,-0.7262,0.5077,-0.2506,,0.0072
83,0.0105,-0.7133,0.5205,-0.2249,,0.0105
84,0.0324,-0.7133,0.5334,-0.2121,,0.0324
85,0.0305,-0.7133,0.5334,-0.2249,,0.0305
86,0.0372,-0.7262,0.5334,-0.2249,,0.0372
87,0.0279,-0.7262,0.5334,-0.2121,,0.0279
88,0.0218,-0.7262,0.5205,-0.2249,,0.0218
89,0.0259,-0.7133,0.5334,-0.2249,,0.0259
90,0.0215,-0.7133,0.5205,-0.2249,,0.0215
91,0.0214,-0.7262,0.5205,-0.2378,,0.0214
92,0.0328,-0.7133,0.5334,-0.2378,,0.0328
93,0.0281,-0.739,0.5334,-0.2249,,0.0281
94,0.0078,-0.7133,0.5334,-0.2249,,0.0078
95,0.0213,-0.7262,0.5334,-0.2249,,0.0213
96,0.0073,-0.7133,0.5334,-0.1992,,0.0073
97,0.0166,-0.7262,0.5205,-0.2249,,0.0166
98,0.0317,-0.739,0.5205,-0.2121,,0.0317
99,0.0209,-0.7262,0.5462,-0.1992,,0.0209
100,0.0153,-0.7262,0.5205,-0.2121,,0.0153
101,0.0252,-0.7133,0.5334,-0.2121,,0.0252
102,0.0269,-0.7262,0.5334,-0.1992,,0.0269
103,0.0335,-0.739,0.5205,-0.2378,,0.0335
104,0.0324,-0.7133,0.5205,-0.2249,,0.0324
105,0.0393,-0.7005,0.5334,-0.2121,,0.0393
106,0.0417,-0.7133,0.5334,-0.2121,,0.0417
107,0.0351,-0.7262,0.5205,-0.2121,,0.0351
108,0.0113,-0.7262,0.5334,-0.2121,,0.0113
109,0.0168,-0.7262,0.5462,-0.2249,,0.0168
110,0.035,-0.7133,0.5334,-0.2121,,0.035
111,0.0275,-0.7133,0.5462,-0.1864,,0.0275
112,0.0316,-0.7133,0.5334,-0.2121,,0.0316
113,0.0272,-0.7133,0.5334,-0.1992,,0.0272
114,0.0372,-0.7133,0.5334,-0.2249,,0.0372
115,0.0214,-0.7133,0.5334,-0.1864,,0.0214
116,0.0208,-0.7262,0.5205,-0.2121,,0.0208
117,0.0159,-0.7133,0.5462,-0.2378,,0.0159
118,-0.0027,-0.6748,0.5205,-0.2249,,0.0027
119,0.0034,-0.7262,0.5077,-0.2121,,0.0034
120,0.0186,-0.7262,0.5334,-0.2249,,0.0186
